NAME,P_201101,P_201201,P_201301,P_201401,P_201501,P_201601,P_201701,P_201801,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,GPM_2012,GPM_2013,GPM_2014,GPM_2015,GPM_2016,GPM_2017,Ops_2012,Ops_2013,Ops_2014,Ops_2015,Ops_2016,Ops_2017,EBIT_2012,EBIT_2013,EBIT_2014,EBIT_2015,EBIT_2016,EBIT_2017,NPM_2012,NPM_2013,NPM_2014,NPM_2015,NPM_2016,NPM_2017,IBD_2012,IBD_2013,IBD_2014,IBD_2015,IBD_2016,IBD_2017,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,DPS_2012,DPS_2013,DPS_2014,DPS_2015,DPS_2016,DPS_2017,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,Payout_2012,Payout_2013,Payout_2014,Payout_2015,Payout_2016,Payout_2017,CAGR_P,CAGR_EPS,CAGR_GPM,CAGR_Ops,CAGR_EBIT,CAGR_NPM,CAGR_IRD,CAGR_ROE,CAGR_ROA,CAGR_DPS,CAGR_BV,CAGR_Payout,sector,sector_code,business_group
RPC,3.24,1.97,1.45,1.43,1.11,0.67,0.91,0.7,-0.2,-0.2,-0.2,0.08,-0.05,-0.03,3.92,6.58,7.58,8.77,8.95,7.58,2.53,2.55,2.92,2.27,2.43,7.69,-0.05,-0.01,-0.01,-0.03,-0.08,-0.03,-1.9,-4.1,-7.6,4.14,-3.07,-1.5,0.01,0,0,0,0,0,-10.74,-14.13,-21.2,7.65,-5.22,-2.83,-3.81,-4.95,-8.46,3.16,-2.13,-1.16,0.79,0.79,0.79,0.79,0.79,0.79,1.37,1.17,0.96,1.04,0.99,0.99,-391.7,-391.7,-396.2,990.5,-1584.8,-2641.33,-14.3129812,13.11348368,14.05824901,24.89963,7.324901935,3.823305033,-46.193281,11.66567701,11.12187483,0,-6.179409559,-236.5264284,ทรัพยากร,,พลังงานและสาธารณูปโภค
SAM,0.82,0.72,1.5,1.26,2.12,0.95,1.63,0.99,0.18,0.13,0.09,-0.06,0.05,-0.08,12.47,14.12,11.48,6.21,10.31,4.87,3.55,3.69,3.98,4.08,3.78,4.48,0.43,0.35,0.29,5.93,0.45,-0.9,3.85,4.39,3.15,-1.84,1.64,-2.94,0.82,0.73,0.73,0.79,0.69,0.79,7.86,6.21,4.52,-2.86,2.32,-3.89,3.64,3.23,2.45,-1.49,1.21,-2.08,0.19,0.11,,,,,2.02,2.02,2.01,1.95,1.99,1.91,105.56,84.62,,,,,17.75274001,-185.0283,-17.16150068,4.763484,-215.9879075,-194.7569157,-0.781499137,-186.8650023,-189.4098209,,-1.04228456,,สินค้าอุตสาหกรรม,,เหล็ก
SAT,29.5,21.3,30.75,13.7,16.2,16,14.9,22,1.51,2.27,1.53,1.51,1.43,1.91,15.77,17.49,17.53,14.59,14.9,16.79,7.3,6.39,8.15,6.8,7.75,6.81,0.19,0.19,0.21,0.19,0.22,0.17,8.54,10.77,8.04,7.42,7.32,9.3,0.65,0.67,0.56,0.41,0.3,0.19,19.29,21.42,12.88,11.94,10.64,13.18,8.81,9.99,6.59,6.6,6.38,8.54,0.46,0.75,0.6,0.6,0.6,0.9,9.76,11.47,12.27,13.01,13.85,15.1,30.48,33.04,39.22,39.74,41.96,47.12,-6.897502117,4.784323822,1.263702254,-1.38003,-1.706470055,1.710813537,-21.92026756,-7.329072428,-0.603492364,14.32626298,9.107948801,9.10626591,สินค้าอุตสาหกรรม,,ยานยนต์
SCG,3.96,3.7,7.4,4.2,6.3,5,4.9,4.82,0.28,0.33,0.23,0.06,0.17,0.31,14.16,13.69,12.54,7.77,14.31,15.92,4.42,4.49,4.2,4.94,4.96,4.25,0.34,0.31,0.36,0.5,0.29,0.27,6.62,6.91,4.68,1.59,4.15,7.43,1.4,1.28,1.4,1.44,1.68,1.53,12.15,13.33,8.99,2.58,6.94,12.1,4.6,5.06,3.49,0.99,2.53,4.28,0.18,0.2,0.18,0.1,0.14,0.15,2.4,2.55,2.58,2.47,2.5,2.68,64.29,60.61,78.26,166.67,82.35,48.39,5.778857312,2.05651463,2.366813892,-0.78135,-4.561189837,2.334150674,1.809200879,-0.07123125,-1.451582081,-3.5807496,2.205278156,-5.523669166,ทรัพยากร,,พลังงานและสาธารณูปโภค
SGP,19.7,14.5,14.1,14.8,9.45,9.9,12.3,24.9,0.45,0.87,-0.28,0.61,0.61,1.53,4.38,3.6,1.35,5.23,6,8.36,,2.46,2.58,2.75,2.38,1.96,0.38,0.45,-2.27,0.24,0.26,0.11,1.74,2.46,-0.83,1.92,2.32,4.75,1.22,1.44,1.39,1.07,0.97,0.95,11.71,19.7,-5.97,12.46,11.57,27.01,3.2,5.55,-1.78,3.89,3.88,9.37,0.2,0.3,0.18,0.25,0.25,0.75,3.97,4.88,4.49,5.25,5.27,6.06,44.44,34.48,-62.5,41.32,40.98,49.02,-3.23742394,27.73084446,13.80376639,,-21.85942537,22.25901836,-5.00160513,18.18927291,23.93334284,30.25855423,8.852856173,1.978934522,ทรัพยากร,,พลังงานและสาธารณูปโภค
SMIT,2.68,2.92,4.9,4.68,4.44,4.18,4.1,5.85,0.58,0.5,0.37,0.3,0.37,0.46,26.71,28.95,28.4,28.9,29.23,31.93,14.57,16.27,17.57,13.95,14.09,13.65,0.03,0.01,0,0,0,0,10.83,11.14,9.31,8.28,9.7,11.16,0.12,0.01,0,0,0,0.01,17.93,14.25,10,7.89,9.42,11.25,12.86,11.56,8.72,7.01,8.34,9.76,0.32,0.26,0.22,0.26,0.3,0.26,3.39,3.61,3.72,3.89,4,4.13,55.17,52.21,59.95,86.67,80.86,56.52,7.0237591,-4.530209922,3.637389663,-1.29603,-37.73463189,0.612661946,-41.34045734,-8.891324262,-5.376492631,-4.067740419,4.051184212,0.484414497,สินค้าอุตสาหกรรม,,เหล็ก
SNC,18.6,22.4,24.8,15.3,14,13.5,14.9,14.1,1.72,1.47,1.31,1.42,1.38,1.4,11,11.86,11.1,10.63,12.74,11.79,7.83,5.2,3.79,3.42,3.63,4.62,0,0.01,0.04,0.04,0.05,0.08,6.47,5.92,5.1,5.04,5.45,5.33,0.02,0.15,0.16,0.11,0.38,0.28,25.37,21.14,17.73,17.86,16.43,15.53,14.15,10.95,9.45,9.87,8.58,7.96,1.6,1,0.66,0.9,0.4,0.4,6.82,7.09,7.7,8.25,8.74,9.21,93.02,68.03,50.38,63.38,28.99,28.57,-7.830411188,-4.033442141,1.389384533,-10.0138,89.42845318,-3.799330958,69.52731718,-9.345227484,-10.85589357,-24.21417167,6.201475443,-21.02891881,สินค้าอุตสาหกรรม,,วัสดุอุตสาหกรรมและเครื่องจักร
SOLAR,3.04,1.86,3.28,4.52,13.5,9.85,4.38,1.99,0.37,0.25,0.07,-0.11,-0.09,-0.35,21.07,17.61,14.93,7.04,7.3,-1.9,99.65,17.7,61.37,30.54,4.72,7.97,0.03,0.03,0.36,-0.3,-0.77,-0.54,14.85,8.97,3.68,-8.79,-3.69,-16.12,0.16,0.12,0.34,0.54,0.88,0.64,15.49,8.85,2.24,-3.4,-2.54,-10.12,8.03,5.28,1.55,-2.1,-1.34,-4.88,0.05,0.05,0.02,,,,2.7,3,3.02,3.7,3.61,3.26,13.17,20.02,35.65,,,,18.68401595,-198.6612108,-161.7822028,-39.6613,-280.5587634,-201.6560416,32.65201992,-191.8371679,-190.5210358,,3.81938683,,ทรัพยากร,,พลังงานและสาธารณูปโภค
SPACK,4.06,3.12,3.78,2.2,2.2,2.1,2.84,2.34,0.12,-0.16,-0.3,-0.12,-0.12,-0.06,14.6,8.68,5.28,9.56,9.21,10.62,6.18,6.5,5.97,6.25,6.64,8.15,0.3,-3.41,-0.6,-3.11,-2.68,2.06,2.91,-5.15,-9.42,-3.84,-3.93,-1.72,1.24,1.28,1.26,1.21,1.33,1.43,4.97,-7.24,-15.14,-6.82,-7.19,-3.83,2.5,-3.03,-6.18,-2.75,-2.82,-1.4,,,0.01,0.03,0.02,0.03,2.32,2.14,1.84,1.69,1.57,1.49,,,-4.67,-23.33,-15.83,-46.67,-1.863006434,-187.0550563,-6.167900576,5.689983,47.01173143,-190.0232064,2.952612105,-194.8937338,-189.0331958,,-8.514390092,,สินค้าอุตสาหกรรม,,บรรจุภัณฑ์
SPCG,19,14.5,17.9,17.8,27,21.1,21.3,22.1,0.1,0.76,1.89,2.37,2.5,2.73,53.26,67.4,73.21,72.81,64.76,62.11,,,,,,20.85,0.6,0.47,0.35,0.3,0.22,0.18,4.45,20.19,38,43.8,42.48,42.01,4.45,6.31,3.11,2.21,1.61,1.09,4.44,22.17,39.3,33.81,29.93,28.03,0.59,2.81,6.89,8.71,9.45,10.68,,,0.85,1.25,1.1,0.5,3.33,3.14,6.26,7.76,8.98,10.51,,,45.07,52.74,44,18.32,7.994669632,94.53032585,3.122414727,,-21.61375045,56.66107247,-24.49878819,44.58431585,78.32639731,,25.85409651,,ทรัพยากร,,พลังงานและสาธารณูปโภค
