NAME,P_201101,P_201201,P_201301,P_201401,P_201501,P_201601,P_201701,P_201801,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,GPM_2012,GPM_2013,GPM_2014,GPM_2015,GPM_2016,GPM_2017,Ops_2012,Ops_2013,Ops_2014,Ops_2015,Ops_2016,Ops_2017,EBIT_2012,EBIT_2013,EBIT_2014,EBIT_2015,EBIT_2016,EBIT_2017,NPM_2012,NPM_2013,NPM_2014,NPM_2015,NPM_2016,NPM_2017,IBD_2012,IBD_2013,IBD_2014,IBD_2015,IBD_2016,IBD_2017,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,DPS_2012,DPS_2013,DPS_2014,DPS_2015,DPS_2016,DPS_2017,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,Payout_2012,Payout_2013,Payout_2014,Payout_2015,Payout_2016,Payout_2017,CAGR_P,CAGR_EPS,CAGR_GPM,CAGR_Ops,CAGR_EBIT,CAGR_NPM,CAGR_IRD,CAGR_ROE,CAGR_ROA,CAGR_DPS,CAGR_BV,CAGR_Payout,sector,sector_code,business_group
TOP,79,60.25,69.5,54,42.75,62.75,73,107,6.04,4.57,-2.03,5.97,10.4,12.18,3.38,4.11,-1.05,6.73,10,9.49,0.68,0.25,0.5,0.59,0.54,0.58,0.17,0.25,-1.13,0.18,0.14,0.11,2.75,2.25,-1.06,4.15,7.72,7.37,0.54,0.82,0.96,0.81,0.71,0.54,14.84,10.5,-4.75,13.86,21.3,21.7,7.58,4.91,-2.06,6.32,10.35,11.15,2.7,2.3,1.16,2.7,4.5,5.25,42.42,44.57,40.88,45.28,52.38,59.91,44.7,50.33,-57.14,45.23,43.27,43.1,3.913784459,15.05939072,22.9277706,-3.13122,-7.665183986,21.75528157,0.111926089,7.892925036,8.03705989,14.22445849,7.150116648,-0.725653265,ทรัพยากร,,พลังงานและสาธารณูปโภค
TRU,6.4,5.6,11.5,6.55,4.7,3.96,4.06,4.8,0.94,0.6,0.26,0.21,0.11,0.14,19.05,16.2,12.05,16.27,15.27,15.83,21.6,18.67,25.98,14.63,11.46,7.55,0,0,0.01,0.01,0.01,0,15.88,11.27,6.76,6.15,3.66,4.04,0,0.01,0.01,0,0,0,20.01,11.7,4.95,4.01,2.07,2.63,16.19,9.44,4.19,3.46,1.81,2.3,0.5,0.17,0.15,0.15,0.09,0.14,5.07,5.17,5.26,5.33,5.31,5.36,53.1,27.78,57.69,71.43,81.82,100,-6.22920429,-31.69647881,-3.635505506,-18.9601,-16.48425745,-23.95106749,-32.7923738,-33.331965,-32.31324269,-22.47681516,1.129229586,13.49807958,สินค้าอุตสาหกรรม,,ยานยนต์
TRUBB,7.3,3.16,3.38,1.83,1.67,1.31,2.14,2.08,-0.31,-0.23,-0.18,-0.11,-0.25,0.21,3.68,5.44,5.54,8.84,8.02,10.88,5.84,5.08,5.76,4.25,3.87,4.33,-1.74,5.27,-10.55,2.67,-4.79,0.43,-1.2,-1.14,-1.08,-0.86,-2.17,1.53,3.85,3.69,3.04,2.99,2.31,2.16,-12.12,-10.5,-8.14,-4.89,-9.51,6.81,-2.72,-2.14,-1.76,-1.12,-2.37,1.85,,,,,,0.04,2.24,2.09,2.36,2.21,2.97,1.32,,,,,,19.05,-7.499232084,21.77083378,24.2034505,-5.80778,17.566443,26.7850188,-10.89613438,20.69821745,21.81264255,,-10.11675923,,เกษตรและอุตสาหกรรมอาหาร,,ธุรกิจการเกษตร
TSTH,1.63,0.84,1.11,0.69,0.75,0.47,1.06,0.97,-0.56,,-0.07,0.02,0.03,0.05,1.16,4.44,2.65,5.67,9.93,7.06,4.59,3.61,2.62,3.12,2.66,2.92,-0.76,0.95,-1.54,0.47,0.19,0.13,-18.17,0.12,-2.86,0.92,1.09,2.04,0.38,0.77,0.38,0.33,0.27,0.25,-41.8,0.35,-6.99,1.82,2.47,5.05,-22.14,0.18,-4.09,1.16,1.66,3.55,,,,,,,1.05,1.07,1,1.02,1.04,1.1,,,,,,,4.762370264,15.87762007,43.54466973,-8.64885,16.74451178,16.13340131,-8.082253491,16.22419101,16.65526435,,0.823840737,,สินค้าอุตสาหกรรม,,เหล็ก
TTW,6.3,5.2,9.55,9.65,11.2,10.5,10.5,12.4,0.59,0.65,0.74,0.67,0.62,0.67,69.64,70.09,71.48,72.19,72.16,72.04,,4.67,5.13,4.48,4.88,5.33,0.21,0.2,0.16,0.17,0.16,0.15,47.46,49.66,55.21,49.37,46.02,47.6,1.25,1.18,1.08,1.26,1.16,0.9,22.4,23.74,26.62,23.57,21.64,22.83,10.08,10.46,12.09,10.46,9.45,10.86,0.22,0.55,0.65,0.65,0.6,0.28,2.68,2.75,2.85,2.85,2.88,2.97,37.29,84.62,87.84,97.01,96.77,42.39,15.08989427,2.575716259,0.680584503,,-5.667440091,0.058044061,-6.377887359,0.38106316,1.512545195,5.239586216,2.024081693,2.596979143,ทรัพยากร,,พลังงานและสาธารณูปโภค
TU,52,58.75,73.5,70,22,16.9,21.1,20.7,1.1,0.62,1.1,1.13,1.1,1.26,15.34,12.61,15.67,15.99,14.83,13.29,9.52,8.58,9.14,8.54,9,8.9,0.32,0.41,0.23,0.14,0.17,0.32,4.4,2.53,4.19,4.3,3.91,4.41,0.94,1.09,1.06,0.85,1.52,1.51,15.22,7.43,12.24,12.09,11.88,13.73,5.27,2.81,4.55,4.75,4.15,4.17,0.53,0.38,1.45,0.63,0.63,0.66,8.11,8.61,9.15,9.48,9.06,9.32,47.84,60.24,131.94,55.75,57.27,52.38,-18.51926895,2.800020968,-2.827201876,-1.33784,0.354972357,0.048145294,9.941689162,-2.04113189,-4.575802071,4.683184708,2.820782009,1.831870969,เกษตรและอุตสาหกรรมอาหาร,,อาหารและเครื่องดื่ม
TVO,33,17.6,24.3,18.5,21.2,22.5,40.25,29.5,2.26,1.19,2.08,2.35,3.41,1.64,10.74,7.21,11.4,11.91,15.99,10.76,3.03,2.1,2.65,3.32,2.64,2.63,0.01,0.01,0.01,0.01,0,,6.61,3.72,6.54,7.23,9.75,5.4,0.02,0.02,0.01,,,,29,14.16,24.23,25.92,34.26,15.86,16.16,8.34,15.83,18.37,25.63,11.69,1.8,0.3,1.75,1.9,1.25,0.58,8.43,8.32,8.83,9.32,10.56,10.13,79.65,25.21,84.13,80.85,36.66,35.37,17.99147857,-6.212041676,0.034233649,-2.79186,,-3.969804448,,-11.36869777,-6.269362472,-20.26828647,3.726351331,-14.98725961,เกษตรและอุตสาหกรรมอาหาร,,อาหารและเครื่องดื่ม
UPOIC,7.75,7.2,11.3,9.8,9.95,4.56,7.15,5.3,1.01,0.68,0.58,-0.04,0.22,-0.06,28.75,24.02,25.87,4.26,15.83,7.17,11.18,6.68,9.31,11.71,10.31,6.48,,0.01,0.03,1.63,0.09,-11.76,21.34,16.31,16.3,-0.95,7.63,-2.4,,0.27,0.33,0.45,0.3,0.37,31.05,20.56,16.92,-1.09,6.53,-1.65,27.46,16.49,12.32,-0.76,4.61,-1.2,0.5,0.4,0.3,0.1,0.15,0.1,3.22,3.4,3.47,3.28,3.55,3.3,49.5,58.82,51.72,-250,68.18,-166.67,-0.139276307,-156.854648,-24.25364997,-10.3342,,-164.6129698,,-155.6213992,-153.4284965,-27.52203363,0.476159287,-227.4794038,เกษตรและอุตสาหกรรมอาหาร,,ธุรกิจการเกษตร
UTP,8.5,5.25,8.35,2.48,4.24,3.3,6.3,9.25,0.14,0.33,0.34,0.25,0.29,0.49,9.37,15.6,15.72,13.53,15.71,16.13,3.7,3.79,4.08,3.29,3.54,3.57,0.03,,,,0,0.1,4.8,10.67,10.97,8.94,10.33,12.35,,,,0.15,0.42,0.47,7.41,14.08,12.19,8.64,9.59,14.65,5.9,11.34,10.07,6.86,6.57,9.04,0.02,0.2,0.2,0.15,0.15,0.15,1.99,2.72,2.84,3,3.14,3.48,16.69,60.61,58.82,60,51.72,30.61,3.713728934,27.78722488,11.47977829,-0.71279,27.66029394,20.79365818,,14.59036437,8.91921803,44.26999059,11.87277752,12.89860213,สินค้าอุตสาหกรรม,,กระดาษและวัสดุการพิมพ์
UVAN,91,83.75,95.25,10.2,10.6,7.8,7.75,8.1,1.05,0.78,0.68,0.4,0.37,0.66,19.07,17.88,15.14,15.52,12.95,16.06,3.52,3.04,4.45,4.28,2.87,3.67,,,0,0.02,0.02,0.01,15.47,12.83,11.16,9.39,7.75,9.46,,,0.05,0.05,0.04,0.04,34.07,23.49,19.77,11.52,10.7,18.66,30.04,20.91,17.14,9.76,9.15,15.91,0.07,0.2,0.5,0.4,0.23,0.23,3.28,3.36,3.49,3.42,3.43,3.69,6.67,25.64,73.53,100,62.16,34.85,-37.87543263,-8.861049606,-3.383798183,0.838106,,-9.366144859,,-11.34767207,-11.93366809,26.86036576,2.420312683,39.19445551,เกษตรและอุตสาหกรรมอาหาร,,ธุรกิจการเกษตร
VNT,14.5,17.2,18.2,10.2,9.75,9.25,16.7,21,1.31,0.17,-0.81,0.48,0.95,1.9,17,8.04,7.7,10.79,13.54,20.56,6.59,6.25,6.6,6.73,6.46,7.05,0.07,1.23,0.86,0.23,0.04,0.01,9.17,1.14,-5.43,3.42,7.18,11.66,0.18,0.21,0.2,0.12,0.04,,9.37,1.2,-6.17,3.7,7.1,13.21,7.55,0.92,-4.64,2.92,5.97,11.69,0.86,0.06,0.1,0.4,0.4,0.45,14.21,13.62,12.72,13.07,13.64,15.08,65.65,37.65,-12.35,83.33,42.19,23.68,-0.588276128,7.720028851,3.883676047,1.358632,-32.79198165,4.920258293,,7.104445343,9.152269136,-12.14978828,1.185616566,-18.44579633,สินค้าอุตสาหกรรม,,ปิโตรเคมีและเคมีภัณฑ์
