Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2015,,,,1712.95
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2014,,,,1714.03
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2013,,,,1805.53
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2012,,,,1689.54
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2012,,,,322.52
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2013,,,,380.36
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2015,,,,425.79
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2014,,,,380.67
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2017,,,,468.77
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2016,,,,442.56
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2017,,,,468.77
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2013,,,,380.36
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2014,,,,380.67
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2016,,,,442.56
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2015,,,,425.79
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2012,,,,322.52
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2013,,,,41779.599
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2015,,,,44922.305
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2012,,,,33855.5
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2014,,,,38417.746
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2017,,,,56937.581
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2016,,,,48792.368
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2013,,,,4534.4
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2012,,,,3864.84
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2016,,,,4058.03
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2015,,,,3907.7
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2014,,,,3652.4
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2017,,,,2300.31
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2017,,,,54637.271
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2014,,,,34765.346
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2012,,,,29990.6
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2013,,,,37245.199
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2015,,,,41014.605
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2016,,,,44734.338
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2015,,,,467.208
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2014,,,,397.447
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2013,,,,389.446
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2012,,,,389.252
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2016,,,,533.14
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2017,,,,588.588
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2012,,,,189.591
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2013,,,,142.958
