Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,286.941795
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SF,Insurance and pension services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,124.449591
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,780.168997
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,161.676091
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI,"Telecommunications, computer, and information services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,630.702725
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI1,Telecommunications services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,567.137822
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI2,Computer services,A,Annual,A,Annual,USM,Million US dollar,2013,E,Estimate,,37.405
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI2,Computer services,A,Annual,A,Annual,USM,Million US dollar,2012,E,Estimate,,20.395
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ,Other business services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,11031.70399
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ3,"Technical, trade-related, and other business services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,11031.70399
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK,"Personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,88.45656
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK2,"Other personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,88.442324
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SL,Memo item: Government goods and services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,321.742478
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX,Commercial services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,83768.81132
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX1,Other commercial services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,13104.09975
Trade in commercial services,ITS_CS_AX6,Commercial services exports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX1,Memo item: Other services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,13425.84223
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,55276.1175
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,19018.02134
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,12346.22279
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SE,Construction,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,265.169009
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SF,Insurance and pension services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,2306.890053
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SG,Financial services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,1003.200685
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SH,Charges for the use of intellectual property n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,5273.933696
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SI,"Telecommunications, computer, and information services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,614.831343
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ,Other business services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,14133.83377
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SJ3,"Technical, trade-related, and other business services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,14133.83377
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK,"Personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,36.523057
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SK2,"Other personal, cultural, and recreational services",A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,36.513868
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SL,Memo item: Government goods and services n.i.e.,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,277.491757
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX,Commercial services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,54998.62574
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SOX1,Other commercial services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,23634.38161
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SPX1,Memo item: Other services,A,Annual,A,Annual,USM,Million US dollar,2018,E,Estimate,,23911.87337
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2016,,,,43511.422
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2017,,,,46668.374
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2015,,,,42518.31
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2014,,,,45247.261
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2013,,,,47402.806
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),S,Memo item: Total services,A,Annual,A,Annual,USM,Million US dollar,2012,,,,45671.398
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2013,,,,21347.63
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2012,,,,21759.73
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2017,,,,16829.4
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2014,,,,19063.92
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2016,,,,15063.07
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SC,Transport,A,Annual,A,Annual,USM,Million US dollar,2015,,,,15662.25
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2017,,,,2171.95
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2016,,,,2195.19
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2015,,,,1821.03
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2012,,,,1846.99
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2013,,,,1756.69
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCA,Passenger (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2014,,,,1752.54
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2017,,,,13943.04
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2016,,,,12202.73
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2012,,,,19151.25
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2013,,,,18779.1
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2014,,,,16533.94
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCB,Freight (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2015,,,,13113.98
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2012,,,,761.49
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2013,,,,811.84
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2014,,,,777.44
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2017,,,,714.41
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2016,,,,665.15
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC,Other (All modes of transport),A,Annual,A,Annual,USM,Million US dollar,2015,,,,727.24
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2012,,,,761.49
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2015,,,,727.24
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2016,,,,665.15
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2017,,,,714.41
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2013,,,,811.84
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SCC1,Other (All modes of transport- other than Postal and courier services),A,Annual,A,Annual,USM,Million US dollar,2014,,,,777.44
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2014,,,,7070.631
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2017,,,,10503.964
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2013,,,,6481.356
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2012,,,,6247.548
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2015,,,,7718.21
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SD,Travel,A,Annual,A,Annual,USM,Million US dollar,2016,,,,9072.192
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2017,,,,1023.58
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2016,,,,854.67
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2015,,,,704.31
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2014,,,,449.18
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2012,,,,247.49
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDA,Business,A,Annual,A,Annual,USM,Million US dollar,2013,,,,337.9
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2017,,,,9480.384
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2014,,,,6621.451
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2013,,,,6143.456
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2012,,,,6000.058
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2016,,,,8217.522
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB,Personal,A,Annual,A,Annual,USM,Million US dollar,2015,,,,7013.9
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2017,,,,12.707
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2013,,,,21.477
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2012,,,,9.886
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2014,,,,16.737
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2015,,,,9.692
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB1,Health-related,A,Annual,A,Annual,USM,Million US dollar,2016,,,,7.112
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2013,,,,1692.403
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2015,,,,1859.4
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2016,,,,1929.792
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2014,,,,1818.95
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2012,,,,1795.953
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB2,Education-related,A,Annual,A,Annual,USM,Million US dollar,2017,,,,2031.174
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2017,,,,7436.503
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2016,,,,6280.618
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2015,,,,5144.808
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2013,,,,4429.576
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2014,,,,4785.764
Trade in commercial services,ITS_CS_AM6,Commercial services imports by sector and partner – annual (2005-onwards),764,Thailand,0,World,BOP6,Services - Extended Balance of Payments Classification (EBOPS 2010),SDB3,Other (Personal),A,Annual,A,Annual,USM,Million US dollar,2012,,,,4194.219
