<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190214,11.15,11.17,11.12,11.16,18200
BMSCG,20190214,8.23,8.23,8.22,8.23,7500
BMSCITH,20190214,12.52,12.53,12.48,12.5,127800
BSET100,20190214,10.57,10.57,10.53,10.55,3101600
CHINA,20190214,4.94,5,4.94,5,158300
EBANK,20190214,5.68,5.68,5.68,5.68,100
GLD,20190214,1.74,1.74,1.74,1.74,12000
TDEX,20190214,10.77,10.78,10.72,10.74,327800
TGOLDETF,20190214,3.81,3.81,3.81,3.81,600
2S,20190214,2.4,2.44,2.38,2.44,200300
7UP,20190214,0.41,0.42,0.41,0.42,4615200
A,20190214,6.4,6.4,6.4,6.4,10000
AAV,20190214,4.42,4.42,4.36,4.38,13426000
ABICO,20190214,4.84,4.9,4.84,4.86,26900
ABM,20190214,0.92,0.93,0.92,0.92,92300
ABPIF,20190214,6.55,6.6,6.45,6.45,361100
ACAP,20190214,4.46,4.46,4.34,4.34,2162200
ACC,20190214,0.53,0.55,0.53,0.53,2623800
ADB,20190214,0.97,0.97,0.95,0.95,267900
ADVANC,20190214,183.5,185.5,182.5,184.5,9026200
AEC,20190214,0.47,0.61,0.47,0.57,22748900
AEONTS,20190214,188,188.5,185,187,220100
AFC,20190214,9.05,9.05,9,9,1000
AGE,20190214,1.01,1.02,1,1,89800
AH,20190214,23.6,24.4,23.5,24.2,4577800
AHC,20190214,18.3,18.6,18.3,18.6,2400
AIMIRT,20190214,10.5,10.5,10.5,10.5,240100
AIRA,20190214,1.48,1.5,1.48,1.5,400
AIT,20190214,21.1,21.1,20.9,21,55900
AJ,20190214,8.2,8.2,8,8.1,9900
AJA,20190214,0.27,0.27,0.25,0.27,6678800
AKP,20190214,2.02,2.02,1.99,2.02,103000
AKR,20190214,0.89,0.89,0.87,0.87,4046600
ALLA,20190214,1.41,1.41,1.39,1.41,143100
ALT,20190214,3.44,3.48,3.4,3.4,39700
ALUCON,20190214,177.5,178.5,177.5,177.5,1600
AMA,20190214,4.46,4.48,4.44,4.44,340500
AMANAH,20190214,1.79,1.81,1.75,1.76,5331700
AMARIN,20190214,5,5,4.98,4.98,16000
AMATA,20190214,22.1,22.1,21.9,21.9,5342800
AMATAR,20190214,11.1,11.1,11.1,11.1,11500
AMATAV,20190214,5.3,5.45,5.2,5.2,372600
AMC,20190214,2.16,2.16,2.1,2.14,83400
ANAN,20190214,3.7,3.74,3.7,3.7,4270700
AOT,20190214,69,69.25,68.5,68.75,9254700
AP,20190214,7.25,7.3,7.15,7.15,6055100
APCO,20190214,4.18,4.2,4.18,4.2,68700
APCS,20190214,4.76,4.78,4.7,4.78,89100
APEX,20190214,0.2,0.21,0.19,0.2,86100
APURE,20190214,1.44,1.46,1.42,1.42,620000
AQ,20190214,0.02,0.03,0.02,0.03,7072500
AQUA,20190214,0.44,0.44,0.43,0.44,8513100
ARIP,20190214,0.51,0.65,0.49,0.65,25105700
ARROW,20190214,8.3,8.45,8.3,8.45,95100
