<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190717,11.5,11.52,11.45,11.45,10900
BMSCG,20190717,8.76,8.8,8.76,8.8,22400
BMSCITH,20190717,12.94,12.98,12.93,12.94,390800
BSET100,20190717,11.1,11.14,11.09,11.1,182100
CHINA,20190717,5.5,5.5,5.45,5.45,32400
ENGY,20190717,6.52,6.52,6.5,6.5,1400
GLD,20190717,1.83,1.83,1.82,1.82,38600
TDEX,20190717,11.34,11.34,11.26,11.28,336200
TGOLDETF,20190717,4.02,4.02,4.01,4.01,112300
2S,20190717,2.24,2.24,2.22,2.24,15000
7UP,20190717,0.29,0.29,0.29,0.29,391700
A,20190717,6.3,6.3,6.3,6.3,11600
A5,20190717,1.22,1.25,1.21,1.22,93900
AAV,20190717,3.96,3.98,3.92,3.92,9204700
ABICO,20190717,4.6,4.6,4.5,4.5,48400
ABM,20190717,0.95,1.01,0.95,0.98,1575500
ABPIF,20190717,6.5,6.5,6.45,6.5,224200
ACAP,20190717,2.9,2.9,2.8,2.82,1081200
ACC,20190717,0.69,0.69,0.68,0.69,173600
ACG,20190717,1.55,1.63,1.53,1.6,16415900
ADB,20190717,0.77,0.77,0.57,0.76,174800
ADVANC,20190717,213,218,213,216,4958200
AEC,20190717,0.53,0.55,0.53,0.54,200600
AEONTS,20190717,229,232,228,230,413700
AF,20190717,0.69,0.69,0.67,0.67,33800
AFC,20190717,7.6,7.6,7.6,7.6,400
AGE,20190717,1.07,1.08,1.05,1.05,1798900
AH,20190717,18.6,18.7,18.5,18.6,320100
AHC,20190717,15.2,15.2,15,15,17300
AI,20190717,1.5,1.5,1.46,1.46,8916300
AIE,20190717,0.65,0.65,0.64,0.65,16594100
AIMCG,20190717,9.95,9.95,9.9,9.9,1908300
AIMIRT,20190717,12.5,12.5,11.9,11.9,3475100
AIRA,20190717,1.3,1.3,1.29,1.29,29000
AIT,20190717,23.4,23.4,23.3,23.4,76100
AJ,20190717,8.75,8.75,8.6,8.75,28300
AJA,20190717,0.2,0.2,0.19,0.2,3054700
AKP,20190717,1.48,1.48,1.46,1.46,175900
AKR,20190717,0.81,0.81,0.8,0.81,825400
ALL,20190717,4.88,4.88,4.78,4.8,4927800
ALLA,20190717,1.35,1.48,1.35,1.48,15380800
ALT,20190717,2.94,2.94,2.9,2.9,8100
ALUCON,20190717,174,174.5,172,172,6400
AMA,20190717,9.3,9.8,9.3,9.3,7876500
AMANAH,20190717,2.32,2.32,2.22,2.24,9784200
AMARIN,20190717,5,5.1,4.96,5,6500
AMATA,20190717,23.8,23.9,23.5,23.5,10764100
AMATAR,20190717,12,12,11.8,11.9,121200
AMATAV,20190717,4.9,4.94,4.9,4.92,400100
AMC,20190717,1.75,1.75,1.74,1.74,7000
ANAN,20190717,3.8,3.82,3.7,3.7,19620700
AOT,20190717,73.75,74,73.5,73.5,11195000
AP,20190717,8,8.05,7.9,7.95,6111200
APCO,20190717,3.7,3.7,3.66,3.68,36900
APCS,20190717,4.58,4.58,4.3,4.48,665700
APEX,20190717,0.18,0.18,0.18,0.18,250300
APURE,20190717,1.4,1.45,1.38,1.39,1581300
AQ,20190717,0.02,0.03,0.02,0.02,12384900
AQUA,20190717,0.54,0.56,0.53,0.55,40207500
ARIN,20190717,1.12,1.21,1.12,1.18,49728800
ARIP,20190717,0.5,0.5,0.49,0.5,266100
ARROW,20190717,8.35,8.4,8.35,8.35,42700
AS,20190717,0.74,0.75,0.74,0.74,5400
ASAP,20190717,3.14,3.36,3.14,3.34,5247600
ASEFA,20190717,5.3,5.45,5.15,5.2,1676400
ASIA,20190717,7.15,7.3,7.15,7.3,18400
ASIAN,20190717,7.15,7.2,7,7.05,567700
ASIMAR,20190717,1.91,2.06,1.91,1.98,6028500
ASK,20190717,24.2,24.2,24,24.1,52600
ASN,20190717,4.42,5.55,4.42,5.45,5600
ASP,20190717,2.8,2.8,2.78,2.78,3612600
ATP30,20190717,1.51,1.53,1.48,1.48,2387500
AU,20190717,16,16.6,15.8,16.1,2195100
AUCT,20190717,7.8,7.8,7.7,7.75,1230400
AYUD,20190717,42,42,41.75,41.75,13300
B,20190717,0.6,0.6,0.59,0.59,977100
B-WORK,20190717,12.1,12.1,11.8,11.9,738500
B52,20190717,0.24,0.24,0.23,0.23,200600
BA,20190717,11.3,11.3,11.1,11.2,423300
BAFS,20190717,36,36.75,35.75,36.75,554000
BANPU,20190717,14.6,14.6,14.4,14.5,26305700
BAY,20190717,38.5,38.5,38.25,38.25,84200
BBL,20190717,195.5,195.5,193,193,5987100
BCH,20190717,14.8,15,14.6,14.9,24374100
BCP,20190717,31,31,30.5,30.5,1917400
BCPG,20190717,19.1,19.1,18.6,18.8,11952200
BCT,20190717,47,47,46.5,47,5500
BDMS,20190717,24.6,25.25,24.5,24.8,33057900
BEAUTY,20190717,3.94,3.94,3.86,3.9,64952300
BEC,20190717,10.1,10.2,9.7,9.8,13602400
BEM,20190717,10.3,10.6,10.2,10.3,176864300
BFIT,20190717,17.9,17.9,17.8,17.9,126000
BGC,20190717,13.5,13.9,13.4,13.4,15326000
BGRIM,20190717,36,36.25,34.75,35,10280000
BGT,20190717,1.04,1.04,1.01,1.03,338400
BH,20190717,171.5,173.5,171,173,1142300
BIG,20190717,1.08,1.08,1.06,1.07,1146000
BIZ,20190717,2.6,2.6,2.56,2.56,42700
BJC,20190717,49.75,50.25,49.75,50,3544500
BJCHI,20190717,2.6,2.6,2.54,2.56,685900
BKD,20190717,2.86,2.88,2.86,2.86,14400
BKI,20190717,331,332,330,331,7000
BKKCP,20190717,13.4,13.4,13,13.1,295800
