<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20191029,10.3,10.55,10.3,10.32,102900
BMSCG,20191029,7.6,7.64,7.56,7.56,6700
BMSCITH,20191029,11.6,11.64,11.52,11.54,340900
BSET100,20191029,10.29,10.32,10.21,10.22,329900
CHINA,20191029,5.36,5.36,5.26,5.26,12500
EBANK,20191029,4.9,4.9,3.26,4.67,9000
EFOOD,20191029,5.58,5.58,5.58,5.58,200
GLD,20191029,1.92,1.92,1.91,1.92,48600
TDEX,20191029,10.6,10.72,10.6,10.64,115200
TGOLDETF,20191029,4.15,4.16,4.15,4.16,90200
2S,20191029,2.3,2.38,2.22,2.26,742700
7UP,20191029,0.5,0.51,0.5,0.51,3381000
A,20191029,6.15,6.2,6.15,6.2,8300
AAV,20191029,2.52,2.6,2.5,2.5,11655100
ABICO,20191029,4.02,4.02,3.8,3.9,14800
ABM,20191029,0.85,0.87,0.83,0.83,71800
ABPIF,20191029,4.76,4.76,4.74,4.74,138800
ACAP,20191029,1.57,1.61,1.5,1.5,1459400
ACC,20191029,0.68,0.68,0.66,0.67,207900
ACG,20191029,1.1,1.15,1.1,1.11,44600
ADB,20191029,0.58,0.59,0.58,0.59,248200
ADVANC,20191029,232,238,232,238,8083200
AEC,20191029,0.32,0.34,0.32,0.33,1024000
AEONTS,20191029,207,208,204,206,260100
AF,20191029,0.64,0.64,0.64,0.64,200
AGE,20191029,0.93,0.93,0.91,0.91,576600
AH,20191029,15.2,15.4,15.2,15.3,247100
AHC,20191029,15.5,15.5,15.5,15.5,6500
AI,20191029,1.07,1.09,1.06,1.07,2329700
AIE,20191029,0.34,0.34,0.33,0.33,5662400
AIMCG,20191029,9.9,9.9,9.9,9.9,641500
AIMIRT,20191029,13.8,13.9,13.8,13.8,170200
AIRA,20191029,1.3,1.3,1.29,1.29,102600
AIT,20191029,19.2,19.3,19.2,19.2,102200
AJ,20191029,8,8.4,8,8.1,150800
AJA,20191029,0.17,0.17,0.16,0.16,1485500
AKP,20191029,1.25,1.26,1.23,1.23,869500
AKR,20191029,0.66,0.67,0.65,0.65,598200
ALL,20191029,4.46,4.48,4.42,4.42,1946900
ALLA,20191029,1.04,1.07,1.04,1.04,97000
ALT,20191029,2.18,2.2,2.1,2.16,71600
ALUCON,20191029,160,160,156,159,1600
AMA,20191029,6.2,6.45,6.15,6.2,560500
AMANAH,20191029,2.9,3.08,2.84,2.86,37435900
AMARIN,20191029,4.8,4.8,4.76,4.76,16300
AMATA,20191029,24.5,24.8,24.4,24.4,3673100
AMATAR,20191029,12.8,12.8,12.7,12.7,60400
AMATAV,20191029,4.94,4.94,4.9,4.9,316200
AMC,20191029,1.76,1.76,1.75,1.76,41100
ANAN,20191029,3,3.04,3,3.02,2919100
AOT,20191029,77.5,78.75,77.25,78.25,29714200
AP,20191029,6.55,6.7,6.55,6.7,6699900
APCO,20191029,3.24,3.26,3.1,3.18,97700
APEX,20191029,0.14,0.14,0.13,0.13,93700
APURE,20191029,0.7,0.7,0.66,0.66,729900
AQ,20191029,0.02,0.02,0.01,0.02,278800
AQUA,20191029,0.45,0.45,0.43,0.44,46103700
ARIN,20191029,0.58,0.59,0.55,0.56,1496200
ARIP,20191029,0.43,0.43,0.4,0.41,655300
ARROW,20191029,8.2,8.3,8.2,8.3,45600
AS,20191029,0.82,0.84,0.82,0.83,48300
ASAP,20191029,2.2,2.26,2.2,2.22,334000
ASEFA,20191029,4.3,4.3,4.1,4.12,304200
ASIA,20191029,6.2,6.2,6.1,6.1,21700
