<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190930,10.7,10.7,10.58,10.58,2600
BMSCG,20190930,8.06,8.06,8.04,8.04,16200
BMSCITH,20190930,12.01,12.04,11.95,11.97,332600
BSET100,20190930,10.66,10.66,10.6,10.61,212300
CHINA,20190930,5.34,5.35,5.25,5.3,32300
EBANK,20190930,5.17,5.17,5.08,5.08,15100
ECOMM,20190930,8.6,8.6,8.6,8.6,2000
EICT,20190930,5,5.27,5,5.27,2000
ESET50,20190930,5.82,5.82,5.82,5.82,10100
GLD,20190930,1.95,1.95,1.94,1.94,246500
TDEX,20190930,10.9,10.9,10.84,10.84,197000
TGOLDETF,20190930,4.21,4.22,4.21,4.22,49300
TH100,20190930,4.74,4.74,4.74,4.74,500
2S,20190930,2.4,2.4,2.34,2.36,755700
7UP,20190930,0.59,0.59,0.58,0.59,6495200
A,20190930,6.25,6.25,6.2,6.25,9000
AAV,20190930,3.04,3.06,3.02,3.04,4308700
ABICO,20190930,4.3,4.3,4.14,4.2,303500
ABM,20190930,0.85,0.85,0.83,0.83,10100
ABPIF,20190930,4.9,4.9,4.86,4.88,184300
ACAP,20190930,1.74,1.75,1.68,1.68,2274800
ACC,20190930,0.64,0.66,0.64,0.66,17200
ACG,20190930,1.35,1.38,1.32,1.33,750700
ADB,20190930,0.63,0.63,0.6,0.61,26600
ADVANC,20190930,222,222,219,220,3537400
AEC,20190930,0.28,0.28,0.24,0.28,1990100
AEONTS,20190930,207,209,205,208,125900
AFC,20190930,6.9,6.9,6.9,6.9,400
AGE,20190930,0.96,0.97,0.95,0.95,75000
AH,20190930,17.9,17.9,17.8,17.9,22600
AI,20190930,1.22,1.25,1.22,1.24,11174700
AIE,20190930,0.42,0.45,0.41,0.43,24332200
AIMCG,20190930,9.95,10,9.95,10,87100
AIMIRT,20190930,15,15.1,15,15.1,136600
AIRA,20190930,1.3,1.3,1.29,1.3,81000
AIT,20190930,21,21.1,20.9,21,34000
AJ,20190930,8.05,9.2,8,8.4,16100
AJA,20190930,0.17,0.17,0.15,0.16,5913100
AKP,20190930,1.38,1.39,1.37,1.39,44700
AKR,20190930,0.75,0.75,0.74,0.74,291600
ALL,20190930,4.1,4.16,4.1,4.14,494600
ALLA,20190930,1.22,1.26,1.19,1.26,1966900
ALT,20190930,2.46,2.5,2.46,2.46,45700
ALUCON,20190930,168,168,165,165,200
AMA,20190930,6.45,6.8,6.45,6.7,1295100
AMANAH,20190930,3.62,3.74,3.56,3.56,28656600
AMARIN,20190930,4.88,4.88,4.86,4.88,14500
AMATA,20190930,25,25.25,24.9,25,2061900
AMATAR,20190930,12.8,12.8,12.8,12.8,24400
AMATAV,20190930,4.96,4.96,4.82,4.82,49000
AMC,20190930,1.8,1.83,1.8,1.83,31900
ANAN,20190930,3.18,3.2,3.12,3.12,2948400
AOT,20190930,74,75.25,73.75,74.75,30101800
AP,20190930,6.75,6.85,6.55,6.75,9806100
APCO,20190930,3.4,3.42,3.4,3.42,34900
APCS,20190930,4,4.02,4,4,1300
APEX,20190930,0.16,0.17,0.16,0.17,1887100
APURE,20190930,0.85,0.86,0.84,0.86,172600
AQ,20190930,0.02,0.02,0.01,0.02,3352000
AQUA,20190930,0.5,0.51,0.5,0.5,2375600
ARIN,20190930,0.65,0.74,0.65,0.72,21582200
ARIP,20190930,0.43,0.44,0.43,0.43,692200
ARROW,20190930,8.95,9,8.85,8.95,74200
AS,20190930,0.76,0.84,0.76,0.77,55500
ASAP,20190930,2.72,2.74,2.7,2.74,299400
ASEFA,20190930,4.66,4.66,4.62,4.66,67700
ASIA,20190930,6.55,6.55,6.5,6.5,2400
ASIAN,20190930,5.7,5.7,5.6,5.6,64200
ASIMAR,20190930,1.46,1.46,1.43,1.44,48800
ASK,20190930,26.75,26.75,26.5,26.75,35700
ASN,20190930,5.85,5.9,5.7,5.8,18200
ASP,20190930,2.08,2.12,2.06,2.08,4574700
ATP30,20190930,1.41,1.43,1.41,1.41,203700
AU,20190930,12.9,13.2,12.8,12.8,3393400
AUCT,20190930,8.95,9.1,8.85,8.9,1273200
AYUD,20190930,41,41,40.75,40.75,102400
B,20190930,0.29,0.29,0.27,0.28,632200
B-WORK,20190930,12.8,12.8,12.7,12.8,6300
B52,20190930,0.23,0.24,0.23,0.23,111000
BA,20190930,8.85,8.85,8.7,8.7,600800
BAFS,20190930,32.75,33,32.75,33,162200
BANPU,20190930,12,12,11.7,11.8,24913200
BAY,20190930,33.75,33.75,33.25,33.25,372800
BBL,20190930,174,175,173.5,173.5,3637800
BCH,20190930,15.7,15.9,15.7,15.8,9809100
BCP,20190930,27.25,27.5,26.75,27.25,2515100
BCPG,20190930,18.6,18.6,18.1,18.2,4614800
BCT,20190930,45.75,45.75,42.75,43.5,2100
BDMS,20190930,24.2,24.4,24.1,24.2,35001200
BEAUTY,20190930,2.48,2.5,2.4,2.4,32488600
BEC,20190930,7.7,7.85,7.4,7.4,12807400
BEM,20190930,10.8,10.9,10.7,10.8,45872300
BFIT,20190930,22.6,24.1,22.6,24,4856900
BGC,20190930,15,15.1,14.3,14.5,4436600
BGRIM,20190930,43.5,44.5,43,43.25,15700200
BGT,20190930,1,1.02,1,1.02,40100
BH,20190930,128,130,128,128,1929500
BIG,20190930,0.77,0.78,0.76,0.76,2611900
BIZ,20190930,2.7,2.76,2.7,2.74,139600
BJC,20190930,53,54,52.75,52.75,8144900
BJCHI,20190930,2.5,2.5,2.48,2.48,263200
BKD,20190930,2.7,2.7,2.7,2.7,16200
BKI,20190930,319,321,319,321,3200
BKKCP,20190930,13.9,13.9,13.8,13.9,48600
BLA,20190930,20.1,20.3,20.1,20.3,356400
BLAND,20190930,1.47,1.48,1.45,1.47,10245900
BM,20190930,2.14,2.14,2.1,2.12,28800
BOFFICE,20190930,17.1,17.1,16.7,16.9,13700
BOL,20190930,3.14,3.42,3.1,3.28,895500
BPP,20190930,19.2,19.3,19,19.1,1458700
BR,20190930,2.86,2.9,2.86,2.88,248200
BROOK,20190930,0.47,0.47,0.46,0.47,28700
BRR,20190930,4.86,4.86,4.8,4.8,42800
BRRGIF,20190930,9.25,9.25,9.2,9.2,34000
BSBM,20190930,0.89,0.89,0.88,0.88,150600
BSM,20190930,0.38,0.38,0.36,0.38,678300
BTS,20190930,13.5,13.6,13.4,13.4,38831300
BTSGIF,20190930,11.1,11.1,11,11,2407400
BTW,20190930,1.1,1.18,1.09,1.12,611900
BWG,20190930,0.71,0.71,0.69,0.7,7750900
CAZ,20190930,2.26,2.28,2.24,2.28,75900
CBG,20190930,81,81.75,80.25,81.5,1456100
CCET,20190930,1.7,1.71,1.67,1.68,1213700
CCP,20190930,0.33,0.33,0.33,0.33,290800
CENTEL,20190930,33,33.5,32.5,33,5105900
