<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190822,10.68,10.68,10.66,10.67,17400
ABFTH,20190822,1378,1378,1378,1378,50
BMSCG,20190822,8.28,8.32,8.28,8.32,20900
BMSCITH,20190822,11.85,11.93,11.84,11.9,332700
BSET100,20190822,10.48,10.52,10.47,10.51,32200
CHINA,20190822,5.32,5.32,5.29,5.29,16600
EBANK,20190822,5.09,5.09,5.09,5.09,1000
EICT,20190822,5.42,5.52,5.42,5.52,2600
ENGY,20190822,6.08,6.08,6.08,6.08,1000
GLD,20190822,1.94,1.95,1.93,1.93,332600
TDEX,20190822,10.73,10.73,10.67,10.71,157400
TGOLDETF,20190822,4.25,4.26,4.24,4.24,20600
2S,20190822,2.4,2.4,2.38,2.4,255300
7UP,20190822,0.51,0.52,0.48,0.48,42962100
A,20190822,6.25,6.25,6.2,6.25,10000
AAV,20190822,3.24,3.24,3.14,3.14,13700900
ABICO,20190822,4.22,4.24,4.18,4.18,107200
ABM,20190822,0.84,0.84,0.83,0.83,6000
ABPIF,20190822,6.2,6.25,6.2,6.2,151200
ACAP,20190822,2.34,2.42,2.26,2.3,3158900
ACC,20190822,0.68,0.68,0.66,0.66,266600
ACG,20190822,1.51,1.51,1.48,1.49,299600
ADB,20190822,0.67,0.69,0.6,0.63,341900
ADVANC,20190822,225,230,224,230,8339700
AEC,20190822,0.29,0.29,0.27,0.27,843900
AEONTS,20190822,219,220,217,218,138300
AF,20190822,0.66,0.67,0.65,0.67,31100
AGE,20190822,1.05,1.05,1.03,1.03,2295500
AH,20190822,17.9,18.1,17.8,17.9,159300
AHC,20190822,15.4,15.5,15.4,15.4,9300
AI,20190822,1.22,1.22,1.19,1.19,1856300
AIE,20190822,0.38,0.39,0.37,0.38,3773800
AIMCG,20190822,9.7,9.8,9.7,9.8,897400
AIMIRT,20190822,13.6,13.6,13.4,13.6,1134400
AIRA,20190822,1.3,1.3,1.3,1.3,800
AIT,20190822,22.3,22.6,22.3,22.4,150200
AJ,20190822,9,9,8.9,8.9,39500
AJA,20190822,0.2,0.21,0.19,0.19,2498100
AKP,20190822,1.4,1.4,1.37,1.37,62800
AKR,20190822,0.76,0.79,0.76,0.77,2795100
ALL,20190822,4.24,4.24,4.16,4.16,538300
ALLA,20190822,1.32,1.36,1.28,1.28,2045500
ALT,20190822,2.62,2.62,2.56,2.58,24200
ALUCON,20190822,167.5,167.5,167.5,167.5,500
AMA,20190822,7.65,7.8,7.5,7.5,1764300
AMANAH,20190822,2.32,2.36,2.3,2.32,4246500
AMARIN,20190822,4.96,5,4.82,4.82,49900
AMATA,20190822,25,25.5,24.9,25,6501000
AMATAR,20190822,12.3,12.5,12.3,12.5,11800
AMATAV,20190822,4.52,4.54,4.52,4.54,81400
AMC,20190822,1.94,1.94,1.85,1.88,640700
ANAN,20190822,3.34,3.46,3.34,3.4,14044400
AOT,20190822,69.75,70.25,69.5,70.25,19688000
AP,20190822,7.45,7.55,7.4,7.4,5474200
APCO,20190822,3.42,3.44,3.42,3.44,2400
APCS,20190822,4.28,4.28,4.22,4.28,6700
APEX,20190822,0.15,0.17,0.15,0.16,4587100
APURE,20190822,0.96,0.96,0.95,0.95,176800
AQ,20190822,0.02,0.03,0.02,0.02,9115500
AQUA,20190822,0.56,0.56,0.54,0.55,45122200
ARIN,20190822,0.8,0.8,0.77,0.77,5428000
ARIP,20190822,0.46,0.46,0.45,0.46,389400
ARROW,20190822,8.4,8.45,8.35,8.35,69600
AS,20190822,0.85,0.85,0.8,0.84,29300
ASAP,20190822,2.72,2.76,2.68,2.76,875100
ASEFA,20190822,4.68,4.72,4.68,4.7,37900
ASIA,20190822,6.85,6.85,6.85,6.85,500
ASIAN,20190822,5.85,5.95,5.75,5.75,348900
ASIMAR,20190822,1.59,1.6,1.55,1.56,122600
ASK,20190822,25,25.25,24.9,25.25,161000
ASN,20190822,5.65,6.05,5.25,5.25,66600
ASP,20190822,2.52,2.54,2.5,2.52,1142200
ATP30,20190822,1.4,1.4,1.38,1.38,291900
AU,20190822,14.2,14.3,14,14,850500
AUCT,20190822,7.8,7.8,7.65,7.65,1521700
AYUD,20190822,40.75,41,40.75,41,900
B,20190822,0.34,0.34,0.33,0.34,1669500
B-WORK,20190822,12.1,12.1,12,12.1,20600
B52,20190822,0.2,0.21,0.19,0.21,596100
BA,20190822,9,9,8.85,8.9,674400
BAFS,20190822,33.75,33.75,33.25,33.5,32700
BANPU,20190822,11.8,12,11.4,11.5,38910900
BAT-3K,20190822,250,250,250,250,100
BAY,20190822,34.75,34.75,34.25,34.5,379700
BBL,20190822,170,171.5,169,171,6355000
BCH,20190822,15.9,16.1,15.6,15.8,16737700
BCP,20190822,26.75,27,26.25,26.75,4886800
BCPG,20190822,18.4,18.5,18.3,18.4,4157300
BCT,20190822,43,43,42,43,13600
BDMS,20190822,23,23.3,23,23.1,31382800
BEAUTY,20190822,3.02,3.04,2.9,2.9,79487200
BEC,20190822,8.5,8.55,8.35,8.4,4354500
