<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20191031,10.5,10.5,10.33,10.33,36700
BMSCG,20191031,7.57,7.65,7.57,7.64,8400
BMSCITH,20191031,11.71,11.71,11.63,11.63,327000
BSET100,20191031,10.33,10.35,10.29,10.29,85500
CHINA,20191031,5.36,5.36,5.32,5.32,20300
EBANK,20191031,4.81,4.81,4.81,4.81,5000
GLD,20191031,1.92,1.92,1.91,1.92,94700
TDEX,20191031,10.71,10.75,10.68,10.68,120800
TGOLDETF,20191031,4.15,4.17,4.15,4.17,16800
2S,20191031,2.26,2.26,2.22,2.26,438900
7UP,20191031,0.51,0.51,0.5,0.5,2310500
A,20191031,6.15,6.15,6.15,6.15,7500
AAV,20191031,2.54,2.64,2.54,2.56,20208000
ABICO,20191031,3.76,4,3.76,3.92,400
ABM,20191031,0.84,0.86,0.82,0.83,59000
ABPIF,20191031,4.7,4.72,4.68,4.72,65100
ACAP,20191031,1.51,1.52,1.49,1.49,1214100
ACC,20191031,0.67,0.67,0.66,0.66,36600
ACG,20191031,1.08,1.09,1.04,1.04,365300
ADB,20191031,0.59,0.61,0.59,0.61,462900
ADVANC,20191031,239,240,227,229,11912600
AEC,20191031,0.33,0.34,0.32,0.34,12100
AEONTS,20191031,206,206,200,204,399800
AF,20191031,0.66,0.67,0.66,0.67,3900
AGE,20191031,0.92,0.93,0.92,0.93,711000
AH,20191031,15.1,15.1,14.9,14.9,188200
AHC,20191031,15.5,15.5,15.5,15.5,1000
AI,20191031,1.1,1.14,1.1,1.12,3508600
AIE,20191031,0.35,0.37,0.35,0.35,5020100
AIMCG,20191031,9.85,9.9,9.85,9.9,94200
AIMIRT,20191031,13.9,13.9,13.8,13.8,923600
AIRA,20191031,1.3,1.31,1.3,1.3,5300
AIT,20191031,19.4,19.4,19.1,19.2,92300
AJ,20191031,8.2,8.2,8.2,8.2,100
AJA,20191031,0.16,0.17,0.16,0.17,2190400
AKP,20191031,1.24,1.25,1.23,1.23,1926800
AKR,20191031,0.67,0.7,0.67,0.67,463100
ALL,20191031,4.42,4.44,4.36,4.36,573200
ALLA,20191031,1.05,1.08,1.04,1.08,442900
ALT,20191031,1.88,1.92,1.88,1.92,38100
ALUCON,20191031,161,161,161,161,100
AMA,20191031,6.1,6.25,6.1,6.25,232200
AMANAH,20191031,3,3.04,2.96,2.98,25845300
AMARIN,20191031,4.78,4.82,4.7,4.82,65200
AMATA,20191031,25,25.25,24.7,24.8,8200600
AMATAR,20191031,12.8,12.8,12.8,12.8,38100
AMATAV,20191031,4.9,4.94,4.88,4.88,188700
AMC,20191031,1.76,1.77,1.75,1.77,50100
ANAN,20191031,3,3.02,2.88,2.9,14385800
AOT,20191031,78.75,79.5,78.25,78.25,21721000
AP,20191031,6.5,6.6,6.5,6.6,3155700
APCO,20191031,3.18,3.2,3.08,3.2,153200
APEX,20191031,0.13,0.14,0.12,0.14,1355000
APURE,20191031,0.64,0.65,0.63,0.63,1830200
AQ,20191031,0.02,0.02,0.01,0.01,1065600
AQUA,20191031,0.43,0.44,0.42,0.44,12314500
ARIN,20191031,0.57,0.57,0.55,0.55,613400
ARIP,20191031,0.42,0.44,0.41,0.44,488600
ARROW,20191031,8.5,8.55,8.4,8.55,11000
AS,20191031,0.83,0.83,0.83,0.83,48500
ASAP,20191031,2.24,2.28,2.22,2.22,690800
ASEFA,20191031,4.22,4.22,4.12,4.16,40700
ASIA,20191031,6.05,6.1,6.05,6.1,21200
ASIAN,20191031,5,5.1,4.98,4.98,409000
ASIMAR,20191031,1.3,1.31,1.3,1.31,13000
ASK,20191031,25.75,26,25.75,26,76400
ASN,20191031,6.5,6.7,6.4,6.7,30100
ASP,20191031,1.75,1.81,1.75,1.79,3130000
ATP30,20191031,1.33,1.33,1.3,1.32,194100
AU,20191031,11.1,11.7,11.1,11.5,2632700
AUCT,20191031,8.35,8.65,8.2,8.2,2562100
AWC,20191031,6.05,6.1,6,6.05,153002200
AYUD,20191031,39,39.25,39,39,1600
B,20191031,0.27,0.27,0.26,0.27,232200
B-WORK,20191031,12.8,12.8,12.7,12.7,279700
B52,20191031,0.24,0.24,0.22,0.23,66500
BA,20191031,7.8,7.8,7.55,7.65,1197800
BAFS,20191031,31.5,32.25,31.5,32,51600
BANPU,20191031,11.6,11.7,11.4,11.6,29453000
BAY,20191031,31.25,32.25,31.25,31.75,179100
BBL,20191031,176.5,178,174,174,8902400
BCH,20191031,16.7,16.8,16.6,16.8,5081000
BCP,20191031,24,24.7,24,24.7,4539300
BCPG,20191031,18.2,18.2,17.9,18,1762100
BCT,20191031,41.75,42.25,41.75,42,10000
BDMS,20191031,23.9,24.1,23.8,24,24543300
BEAUTY,20191031,2.14,2.22,2.14,2.14,60352400
BEC,20191031,6.45,6.7,6.45,6.65,4532700
BEM,20191031,10.8,11,10.8,10.8,27922600
BFIT,20191031,37.75,37.75,35,35,1260700
BGC,20191031,15.8,15.9,15.5,15.6,1203000
BGRIM,20191031,47.5,48.5,47,48,20082900
BGT,20191031,1.02,1.02,1.01,1.02,17100
BH,20191031,119,123,118.5,120.5,1274500
BIG,20191031,0.51,0.53,0.51,0.53,2120400
BIZ,20191031,2.62,2.62,2.58,2.62,676500
BJC,20191031,47.75,49,47.75,48.75,5850200
BJCHI,20191031,2.16,2.16,2.1,2.1,474900
