<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190621,11.5,11.5,11.44,11.48,11000
BMSCG,20190621,8.57,8.58,8.47,8.5,99700
BMSCITH,20190621,13.04,13.07,12.96,13,330400
BSET100,20190621,11.17,11.19,11.11,11.12,632700
CHINA,20190621,5.5,5.56,5.5,5.53,58000
EBANK,20190621,5.73,5.73,5.73,5.73,100
ECOMM,20190621,8.86,8.86,8.86,8.86,1000
ENGY,20190621,6.35,6.51,6.35,6.5,5600
ENY,20190621,7.62,7.62,7.62,7.62,1100
GLD,20190621,1.8,1.82,1.79,1.79,3210600
TDEX,20190621,11.29,11.35,11.28,11.29,227000
TGOLDETF,20190621,3.99,4.01,3.96,3.97,193900
2S,20190621,2.22,2.24,2.22,2.24,276500
7UP,20190621,0.24,0.25,0.24,0.24,861700
A,20190621,6.35,6.35,6.35,6.35,12000
AAV,20190621,4.16,4.18,4.06,4.06,37183500
ABICO,20190621,4.22,4.22,4.16,4.16,95700
ABM,20190621,0.86,0.86,0.86,0.86,42000
ABPIF,20190621,6.15,6.15,6.1,6.15,172800
ACAP,20190621,2.92,3.1,2.92,3.02,9418100
ACC,20190621,0.72,0.73,0.7,0.7,245900
ADB,20190621,0.84,0.84,0.83,0.84,114900
ADVANC,20190621,205,206,203,206,6073600
AEC,20190621,0.55,0.58,0.53,0.57,3371800
AEONTS,20190621,223,230,223,230,690200
AF,20190621,0.68,0.7,0.68,0.7,31400
AFC,20190621,8.1,8.1,8.1,8.1,1000
AGE,20190621,1.03,1.04,1.01,1.02,4091700
AH,20190621,19.3,19.4,19.2,19.4,256300
AHC,20190621,16.3,16.3,16,16,38400
AI,20190621,1.59,1.64,1.55,1.64,73665700
AIE,20190621,0.73,0.74,0.69,0.7,79792400
AIMIRT,20190621,12.6,12.7,12.6,12.6,315400
AIRA,20190621,1.3,1.3,1.28,1.28,925300
AIT,20190621,23,23,22.9,23,113100
AJ,20190621,9.5,9.65,9.5,9.65,144600
AJA,20190621,0.21,0.22,0.2,0.21,12708000
AKP,20190621,1.4,1.41,1.38,1.39,398600
AKR,20190621,0.78,0.8,0.76,0.77,3013700
ALL,20190621,4.64,4.66,4.58,4.58,2927500
ALLA,20190621,1.38,1.4,1.36,1.37,711500
ALT,20190621,2.98,3.02,2.96,2.96,121000
ALUCON,20190621,173.5,173.5,173,173,3600
AMA,20190621,6.15,6.75,6.1,6.6,10140700
AMANAH,20190621,1.83,1.83,1.79,1.81,3625400
AMARIN,20190621,5.15,5.15,4.92,4.96,87500
