<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190411,11.26,11.26,11.26,11.26,2000
BMSCG,20190411,8.2,8.23,8.18,8.23,1003400
BMSCITH,20190411,12.57,12.57,12.54,12.56,127800
BSET100,20190411,10.66,10.68,10.66,10.66,77600
CHINA,20190411,6.1,6.1,6,6,48000
ENGY,20190411,6.46,6.46,6.43,6.43,3500
ENY,20190411,7.52,7.53,7.52,7.53,300
GLD,20190411,1.74,1.75,1.74,1.75,410600
TDEX,20190411,10.88,10.88,10.82,10.82,24000
TGOLDETF,20190411,3.84,3.84,3.83,3.83,5900
2S,20190411,2.28,2.32,2.28,2.28,55300
7UP,20190411,0.31,0.33,0.27,0.28,15160600
A,20190411,6.35,6.35,6.35,6.35,10000
AAV,20190411,4.12,4.12,4.1,4.1,1880000
ABICO,20190411,4.4,4.4,4.4,4.4,1400
ABM,20190411,0.95,0.95,0.94,0.94,34500
ABPIF,20190411,5.9,5.9,5.85,5.85,422800
ACAP,20190411,3.8,3.84,3.78,3.78,406600
ACC,20190411,0.75,0.75,0.72,0.74,510400
ADB,20190411,0.91,0.93,0.91,0.91,272600
ADVANC,20190411,190,192,189.5,190.5,6158800
AEC,20190411,0.49,0.51,0.47,0.48,1036700
AEONTS,20190411,179,181.5,179,180,322500
AF,20190411,0.7,0.7,0.7,0.7,3800
AFC,20190411,8.8,8.8,8.8,8.8,200
AGE,20190411,0.91,0.91,0.89,0.89,98400
AH,20190411,19.8,19.9,19.7,19.8,234600
AHC,20190411,17.3,17.3,17.3,17.3,5500
AIMIRT,20190411,11.9,12,11.9,12,137600
AIRA,20190411,1.45,1.45,1.45,1.45,200
AIT,20190411,21.9,21.9,21.8,21.9,34200
AJ,20190411,9.4,10.1,9.4,9.9,441700
AJA,20190411,0.21,0.22,0.2,0.21,1004200
AKP,20190411,1.9,1.91,1.87,1.91,621500
AKR,20190411,0.81,0.81,0.79,0.8,465300
ALLA,20190411,1.72,1.72,1.7,1.7,323400
ALT,20190411,3.04,3.04,2.94,2.94,35100
ALUCON,20190411,178,178,178,178,3600
AMA,20190411,4.42,4.42,4.36,4.38,68900
AMANAH,20190411,1.7,1.7,1.68,1.69,818000
AMARIN,20190411,5.05,5.25,5.05,5.1,843500
AMATA,20190411,22.1,22.1,21.9,22,4853300
AMATAR,20190411,11.8,11.8,11.7,11.7,600
AMATAV,20190411,5.35,5.35,5.25,5.3,22600
AMC,20190411,1.78,1.8,1.78,1.8,27500
ANAN,20190411,3.78,3.86,3.74,3.84,15708100
AOT,20190411,68.5,68.5,68,68,8495400
AP,20190411,7.8,7.85,7.65,7.75,26404500
APCO,20190411,4.08,4.12,4.08,4.12,93500
APCS,20190411,4.88,4.88,4.86,4.88,107100
APEX,20190411,0.19,0.2,0.19,0.2,1963600
APURE,20190411,1.3,1.3,1.29,1.29,40500
AQ,20190411,0.03,0.03,0.02,0.03,3065400
AQUA,20190411,0.54,0.55,0.53,0.53,19580700
ARIP,20190411,0.48,0.49,0.47,0.47,122200
ARROW,20190411,9.15,9.15,9,9,240100
AS,20190411,0.88,0.89,0.82,0.85,9300
ASAP,20190411,2.9,2.92,2.88,2.9,517000
ASEFA,20190411,5.55,5.55,5.45,5.55,290500
ASIA,20190411,7.85,7.85,7.85,7.85,7100
ASIAN,20190411,7.7,7.75,7.65,7.7,277300
ASIMAR,20190411,1.97,1.98,1.95,1.95,165400
ASK,20190411,22.9,23,22.9,23,25700
ASN,20190411,3.74,3.76,3.54,3.54,7200
ASP,20190411,3.1,3.12,3.08,3.08,788700
ATP30,20190411,1.46,1.47,1.46,1.46,460400
AU,20190411,8.25,8.35,8.15,8.2,579700
AUCT,20190411,5.95,6,5.9,5.95,117500
AYUD,20190411,48.75,49.25,48.75,49.25,160100
B,20190411,0.49,0.49,0.47,0.47,263600
B-WORK,20190411,11,11.1,11,11.1,22200
BA,20190411,11.9,12,11.9,11.9,148000
BAFS,20190411,37.5,37.75,37.25,37.5,713500
BANPU,20190411,16,16.1,15.9,16,11754600
BAY,20190411,37,37.25,37,37.25,100200
BBL,20190411,209,210,208,209,2953900
BCH,20190411,17.3,17.3,17,17,9953000
BCP,20190411,32.75,33,32.5,32.75,2595500
BCPG,20190411,16.8,17,16.7,16.8,6416500
BCT,20190411,44.75,45.25,44.75,45.25,14600
BDMS,20190411,24.9,25.25,24.8,25,25734300
BEAUTY,20190411,6.7,6.75,6.6,6.7,28030900
BEC,20190411,7.35,8,7.2,8,76005600
BEM,20190411,10.1,10.1,9.95,10,41061400
BFIT,20190411,18,18.1,17.9,18,57400
BGC,20190411,11.4,11.4,11.2,11.2,337700
BGRIM,20190411,31.75,31.75,31.5,31.75,1568100
BGT,20190411,1,1.01,1,1,539000
BH,20190411,179.5,180,177.5,178.5,1106900
BIG,20190411,1.24,1.25,1.23,1.25,3332200
BIZ,20190411,2.88,2.94,2.88,2.92,250900
BJC,20190411,51,52,51,51.75,4737400
BJCHI,20190411,2,2.02,1.99,2,161600
BKD,20190411,3.04,3.06,3.02,3.04,155700
BKI,20190411,326,326,326,326,1700
BKKCP,20190411,12.7,12.7,12.7,12.7,5000
BLA,20190411,28.75,29,28.5,29,700500
BLAND,20190411,1.56,1.57,1.55,1.56,8321300
BM,20190411,2.86,2.9,2.86,2.86,55500
BOL,20190411,2.18,2.18,2.14,2.14,1100
BPP,20190411,23,23,22.6,22.7,4249600
BR,20190411,3.82,3.84,3.8,3.82,654500
BROCK,20190411,1.91,1.91,1.91,1.91,55000
BROOK,20190411,0.51,0.51,0.5,0.51,533500
BRR,20190411,6.1,6.1,6.1,6.1,3000
BRRGIF,20190411,10.1,10.1,10,10,19000
BSBM,20190411,0.91,0.91,0.9,0.9,122100
BSM,20190411,0.58,0.58,0.57,0.58,426800
BTS,20190411,11.1,11.2,10.9,11.2,50106300
BTSGIF,20190411,12.2,12.2,12.1,12.2,709600
BWG,20190411,1.12,1.12,1.11,1.11,2349900
CAZ,20190411,2.88,2.88,2.8,2.82,3098300
CBG,20190411,53.25,54.5,52.5,54.5,2717500
CCET,20190411,1.87,1.93,1.86,1.91,5702200
CCP,20190411,0.35,0.35,0.34,0.35,234900
CEN,20190411,1.07,1.07,1.06,1.06,195500
CENTEL,20190411,43.25,43.75,42.75,43.5,6800200
CFRESH,20190411,3.8,3.84,3.8,3.84,36300
CGD,20190411,1.12,1.13,1.11,1.11,634100
CGH,20190411,0.92,0.92,0.91,0.91,209000
CHAYO,20190411,4.22,4.26,4.22,4.22,296000
CHEWA,20190411,1.08,1.1,1.08,1.1,2301500
CHG,20190411,1.91,1.92,1.9,1.91,6805300
CHO,20190411,1.14,1.14,1.12,1.13,410600
CHOW,20190411,2.52,2.52,2.46,2.46,299700
CI,20190411,1.27,1.28,1.26,1.26,36700
CIG,20190411,0.28,0.28,0.28,0.28,112800
CIMBT,20190411,0.74,0.75,0.74,0.74,849800
CITY,20190411,2.24,2.26,2.22,2.26,131400
CK,20190411,25.25,25.5,25,25,2157900
CKP,20190411,5.1,5.1,5.05,5.05,7222800
CM,20190411,4.1,4.16,4.1,4.16,134100
CMAN,20190411,2.6,2.62,2.6,2.62,132700
CMC,20190411,1.68,1.68,1.66,1.67,961900
CMO,20190411,1.63,1.63,1.58,1.59,2134300
CMR,20190411,2.32,2.34,2.32,2.34,57900
CNS,20190411,1.91,1.91,1.89,1.89,8900
CNT,20190411,1.97,1.98,1.96,1.97,218900
COL,20190411,24.9,25,24.9,25,63600
COLOR,20190411,1.28,1.28,1.28,1.28,1000
COM7,20190411,18.5,18.7,18.4,18.5,3047000
COMAN,20190411,4.18,4.2,4.18,4.2,2800
COTTO,20190411,2.14,2.16,2.14,2.16,479500
CPALL,20190411,77.25,77.25,76.5,77.25,13844600
CPF,20190411,25.25,25.5,25,25.25,21629400
CPI,20190411,1.43,1.43,1.42,1.42,3300
CPL,20190411,2.02,2.06,2.02,2.04,4700
CPN,20190411,74,74.25,73.25,74.25,7915900
CPNCG,20190411,15,15,14.9,15,476100
CPNREIT,20190411,29.25,29.5,29.25,29.5,869100
CPR,20190411,4.96,5,4.96,5,29000
CPT,20190411,1.21,1.21,1.19,1.2,6205700
CPTGF,20190411,13.1,13.1,13,13,833700
CRANE,20190411,1.72,1.75,1.72,1.75,12000
CRD,20190411,1.01,1.02,1.01,1.02,108900
CRYSTAL,20190411,9,9,9,9,8500
CSP,20190411,1.26,1.26,1.25,1.25,22400
CSS,20190411,1.99,2,1.98,1.99,679100
CTARAF,20190411,4.72,4.74,4.72,4.74,65200
CTW,20190411,7.9,8,7.85,7.9,42800
CWT,20190411,3.1,3.1,3.04,3.1,139900
D,20190411,7.1,7.2,7.1,7.2,165100
DCC,20190411,2.14,2.14,2.12,2.12,1073800
DCON,20190411,0.48,0.49,0.48,0.48,1162100
DCORP,20190411,0.59,0.6,0.56,0.56,1158100
DDD,20190411,31,31,30,30,406300
DELTA,20190411,78.5,79,77.5,78,704500
DEMCO,20190411,2.96,2.96,2.92,2.92,125200
DIF,20190411,15.5,15.5,15.4,15.4,6890800
DIGI,20190411,0.3,0.3,0.29,0.3,138800
DIMET,20190411,0.91,0.92,0.91,0.91,2300
DOD,20190411,10.3,10.5,10.2,10.3,1702900
DREIT,20190411,5.75,5.75,5.7,5.7,73100
DRT,20190411,5.4,5.45,5.4,5.4,30800
DTAC,20190411,55.5,55.5,52.5,53,17621800
DTC,20190411,11,11.1,10.7,10.8,118600
DTCI,20190411,28,28,28,28,100
EA,20190411,50.5,50.75,49.75,50.25,11514500
EASON,20190411,2.18,2.2,2.18,2.2,92200
EASTW,20190411,11.7,11.8,11.6,11.6,1105100
ECF,20190411,2.42,2.44,2.4,2.42,193800
ECL,20190411,1.65,1.67,1.65,1.65,990600
EE,20190411,0.52,0.53,0.52,0.52,727600
EFORL,20190411,0.05,0.06,0.05,0.05,2598200
EGATIF,20190411,11.8,11.9,11.8,11.8,1712600
EGCO,20190411,289,291,286,289,1051700
EIC,20190411,0.05,0.05,0.04,0.04,427100
EKH,20190411,5.7,5.7,5.6,5.65,406600
EMC,20190411,0.3,0.31,0.3,0.31,3881000
EPCO,20190411,3.52,3.52,3.46,3.52,838300
EPG,20190411,6.45,6.5,6.4,6.45,930700
ERW,20190411,6.9,6.9,6.75,6.8,9189300
ERWPF,20190411,5.25,5.25,5.25,5.25,11800
ESSO,20190411,11.8,12.2,11.7,12.1,42791300
ESTAR,20190411,0.54,0.55,0.53,0.54,2039600
ETE,20190411,1.33,1.34,1.32,1.33,218300
EVER,20190411,0.57,0.57,0.56,0.56,4117200
FANCY,20190411,0.75,0.75,0.61,0.62,10567300
