<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190228,11.21,11.23,11.18,11.21,12800
BMSCG,20190228,8.25,8.28,8.25,8.25,16600
BMSCITH,20190228,12.62,12.63,12.5,12.5,730200
BSET100,20190228,10.64,10.64,10.54,10.54,347900
CHINA,20190228,5.43,5.44,5.4,5.4,21700
ENGY,20190228,6.24,6.24,6.24,6.24,200
ESET50,20190228,5.76,5.76,5.76,5.76,100
GLD,20190228,1.76,1.76,1.75,1.76,247000
TDEX,20190228,10.87,10.87,10.74,10.78,158500
TGOLDETF,20190228,3.85,3.86,3.85,3.85,4700
2S,20190228,2.3,2.3,2.18,2.22,595900
7UP,20190228,0.41,0.42,0.4,0.41,5148900
A,20190228,6.4,6.4,6.4,6.4,9100
AAV,20190228,4.44,4.76,4.42,4.62,139130800
ABICO,20190228,4.6,4.68,4.54,4.56,71100
ABM,20190228,0.96,0.97,0.94,0.94,149600
ABPIF,20190228,6.55,6.55,6.5,6.5,264000
ACAP,20190228,3.9,3.9,3.82,3.84,1489400
ACC,20190228,0.51,0.52,0.5,0.51,2714100
ADB,20190228,0.94,0.94,0.9,0.9,597600
ADVANC,20190228,183,185,181.5,182,6911000
AEC,20190228,0.5,0.51,0.49,0.5,798400
AEONTS,20190228,180.5,181,178.5,179.5,295900
AF,20190228,0.69,0.69,0.65,0.65,150300
AGE,20190228,1,1.01,0.99,1,593400
AH,20190228,24.1,24.4,23.9,24.3,843700
AHC,20190228,17.7,17.9,17.7,17.9,27000
AIMIRT,20190228,10.5,10.6,10.5,10.5,97300
AIRA,20190228,1.51,1.51,1.51,1.51,100
AIT,20190228,20.7,20.9,20.7,20.9,69600
AJ,20190228,7.85,8,7.85,7.85,57800
AJA,20190228,0.24,0.24,0.23,0.23,3107500
AKP,20190228,1.96,1.97,1.92,1.95,175700
AKR,20190228,0.83,0.83,0.8,0.81,3872700
ALLA,20190228,1.53,1.53,1.49,1.5,3105200
ALT,20190228,3.28,3.3,3.26,3.3,81500
ALUCON,20190228,178.5,179,178,178.5,5900
AMA,20190228,4.66,4.66,4.5,4.54,610700
AMANAH,20190228,1.72,1.75,1.68,1.68,4570100
AMARIN,20190228,5,5.05,4.98,5.05,60500
AMATA,20190228,21.9,21.9,21.6,21.7,7237000
