<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190813,10.86,10.86,10.68,10.68,65500
BMSCG,20190813,8.52,8.57,8.47,8.48,69600
BMSCITH,20190813,12,12,11.86,11.9,2274500
BSET100,20190813,10.54,10.7,10.43,10.7,1599800
CHINA,20190813,5.11,5.13,5.07,5.13,15000
EBANK,20190813,5.26,5.26,5.26,5.26,100
ENGY,20190813,6.1,6.1,5.98,5.98,5000
ENY,20190813,7.09,7.09,7.09,7.09,1000
ESET50,20190813,5.69,5.7,5.67,5.67,49100
GLD,20190813,1.94,1.97,1.94,1.97,927000
TDEX,20190813,10.8,10.8,10.57,10.57,1392400
TGOLDETF,20190813,4.3,4.31,4.29,4.31,123300
2S,20190813,2.18,2.28,2.18,2.28,379300
7UP,20190813,0.36,0.37,0.33,0.35,10138900
A,20190813,6.3,6.3,6.2,6.2,12100
AAV,20190813,3.46,3.46,3.32,3.32,28413100
ABICO,20190813,4.2,4.3,4.14,4.14,111700
ABM,20190813,0.85,0.87,0.85,0.86,148900
ABPIF,20190813,6.35,6.4,6.35,6.35,140100
ACAP,20190813,2.14,2.16,2.08,2.1,1074800
ACC,20190813,0.68,0.68,0.66,0.66,447400
ACG,20190813,1.5,1.54,1.5,1.5,1874600
ADB,20190813,0.71,0.72,0.68,0.68,260700
ADVANC,20190813,220,226,220,223,10458600
AEC,20190813,0.52,0.52,0.38,0.38,7384000
AEONTS,20190813,220,220,209,214,784400
AF,20190813,0.69,0.69,0.66,0.67,110700
AFC,20190813,7.5,7.5,7.5,7.5,1000
AGE,20190813,1.02,1.02,0.99,1.01,1977400
AH,20190813,18.1,18.2,17.7,17.9,461300
AHC,20190813,15,15.3,15,15.3,10600
AI,20190813,1.25,1.25,1.15,1.16,9554500
AIE,20190813,0.57,0.57,0.51,0.52,7811700
AIMCG,20190813,9.8,9.8,9.7,9.7,509200
AIMIRT,20190813,12.8,12.8,12.6,12.7,660600
AIRA,20190813,1.3,1.3,1.3,1.3,1300
AIT,20190813,22.7,22.9,22.6,22.7,221500
AJ,20190813,8.5,8.5,8.1,8.3,254500
AJA,20190813,0.19,0.2,0.18,0.19,7415700
AKP,20190813,1.49,1.49,1.42,1.42,1237500
AKR,20190813,0.82,0.84,0.79,0.79,10431600
ALL,20190813,4.44,4.46,4.18,4.2,6103100
ALLA,20190813,1.17,1.22,1.08,1.09,3333000
ALT,20190813,2.84,2.84,2.66,2.68,123600
ALUCON,20190813,167,167,166.5,166.5,1800
AMA,20190813,7.6,7.6,7.15,7.15,1172100
AMANAH,20190813,2.3,2.3,2.14,2.2,27777400
AMARIN,20190813,4.92,4.96,4.82,4.94,86500
AMATA,20190813,24.2,24.6,24.1,24.2,12009200
AMATAR,20190813,12.1,12.3,12.1,12.3,24200
AMATAV,20190813,4.72,4.72,4.68,4.7,350800
AMC,20190813,1.89,2.16,1.88,2.16,5486200
ANAN,20190813,3.26,3.28,3.18,3.2,8805600
AOT,20190813,69.25,70,67.25,67.25,45881200
AP,20190813,7.4,7.5,7.05,7.1,6102400
APCO,20190813,3.66,3.66,3.52,3.6,26700
APCS,20190813,4.32,4.32,4.24,4.3,143400
APEX,20190813,0.17,0.18,0.17,0.17,190100
APURE,20190813,1.06,1.08,0.96,0.96,2193600
AQ,20190813,0.02,0.03,0.02,0.03,37844000
AQUA,20190813,0.6,0.6,0.57,0.59,20998900
ARIN,20190813,0.81,0.86,0.8,0.81,6561400
