<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190129,11.25,11.25,11.19,11.21,29500
BMSCG,20190129,7.89,7.93,7.88,7.88,7300
BMSCITH,20190129,12.32,12.32,12.25,12.32,291800
BSET100,20190129,10.34,10.35,10.3,10.35,632200
CHINA,20190129,4.8,4.8,4.72,4.74,60500
EBANK,20190129,5.62,5.62,5.6,5.6,700
ECOMM,20190129,8.35,8.35,8.35,8.35,100
EFOOD,20190129,5.65,5.65,5.65,5.65,3900
EICT,20190129,4.4,4.4,4.4,4.4,100
ENGY,20190129,6.13,6.13,6.06,6.06,1300
ESET50,20190129,5.68,5.68,5.66,5.66,9100
GLD,20190129,1.75,1.76,1.74,1.76,111100
TDEX,20190129,10.8,10.8,10.72,10.77,104000
TGOLDETF,20190129,3.83,3.83,3.83,3.83,10200
2S,20190129,2.32,2.38,2.3,2.36,63700
7UP,20190129,0.42,0.42,0.39,0.4,3485000
A,20190129,6.4,6.4,6.4,6.4,15600
AAV,20190129,4.04,4.06,4,4.04,4420000
ABICO,20190129,4.46,4.56,4.32,4.36,142300
ABM,20190129,0.9,0.9,0.87,0.88,96400
ABPIF,20190129,6.45,6.5,6.4,6.5,57900
ACAP,20190129,4.28,4.76,4.28,4.46,33351400
ACC,20190129,0.5,0.5,0.49,0.5,118000
ADB,20190129,0.91,0.91,0.88,0.89,19100
ADVANC,20190129,177,179.5,177,179.5,7944300
AEC,20190129,0.46,0.46,0.45,0.46,55200
AEONTS,20190129,175,175,171,172,299700
AF,20190129,0.67,0.67,0.63,0.63,22800
AGE,20190129,1,1,0.99,0.99,170400
AH,20190129,21.4,21.7,21.3,21.6,920800
AHC,20190129,17,17,16.9,17,4600
AIMIRT,20190129,10.3,10.4,10.3,10.4,1049700
AIRA,20190129,1.52,1.56,1.52,1.52,3800
AIT,20190129,20.1,20.2,20,20.1,142000
AJ,20190129,8,8.05,8,8.05,37900
AJA,20190129,0.29,0.29,0.27,0.27,5249300
AKP,20190129,1.92,1.92,1.9,1.9,101800
AKR,20190129,0.83,0.93,0.82,0.87,28936800
ALLA,20190129,1.39,1.39,1.37,1.37,103500
ALT,20190129,3.48,3.5,3.42,3.48,55700
AMA,20190129,4.3,4.38,4.26,4.32,572900
AMANAH,20190129,1.63,1.65,1.63,1.63,730200
AMARIN,20190129,5,5,5,5,1400
AMATA,20190129,22.5,22.9,22.4,22.8,19757500
AMATAR,20190129,10.8,10.9,10.8,10.8,16100
AMATAV,20190129,4.6,4.74,4.6,4.74,234200
AMC,20190129,1.83,1.85,1.83,1.85,62500
ANAN,20190129,3.48,3.52,3.46,3.46,5774600
AOT,20190129,68.5,69,68.25,68.75,14596600
AP,20190129,6.95,7,6.85,6.9,3529800
APCO,20190129,4.18,4.18,4.16,4.18,67100
APCS,20190129,4.72,4.82,4.7,4.82,36300
APEX,20190129,0.2,0.2,0.17,0.2,4096000
APURE,20190129,1.3,1.32,1.28,1.31,614700
AQ,20190129,0.03,0.03,0.02,0.03,4085600
AQUA,20190129,0.43,0.45,0.42,0.43,11860800
ARIP,20190129,0.43,0.44,0.43,0.43,211500
ARROW,20190129,8,8,7.9,7.95,32700
AS,20190129,0.74,0.74,0.73,0.73,4500
ASAP,20190129,3.78,3.8,3.64,3.74,15111900
ASEFA,20190129,4.82,4.94,4.82,4.84,229800
ASIA,20190129,6.95,9,6.95,7.55,74000
ASIAN,20190129,8.35,8.4,8.25,8.3,1529000
ASIMAR,20190129,1.96,1.98,1.95,1.97,34800
ASK,20190129,24.1,24.1,24,24.1,46200
ASN,20190129,3.74,3.74,3.74,3.74,4500
ASP,20190129,3.34,3.36,3.3,3.32,1491800
ATP30,20190129,1.55,1.56,1.55,1.55,200700
AU,20190129,7.95,8.05,7.95,8,412900
AUCT,20190129,5.6,5.6,5.45,5.6,521400
AYUD,20190129,40.25,40.25,40,40.25,7300
B,20190129,0.44,0.46,0.44,0.44,927200
B-WORK,20190129,10.8,10.8,10.8,10.8,96400
BA,20190129,12.1,12.2,12,12.1,1323400
BAFS,20190129,33.5,33.5,33.25,33.25,39700
BANPU,20190129,16.6,16.7,16.3,16.4,25859800
BAY,20190129,38.5,38.5,37.5,37.75,434100
BBL,20190129,210,212,209,212,2548200
BCH,20190129,16.3,16.4,16,16.3,13628500
BCP,20190129,32,32.25,31.75,32,3010500
BCPG,20190129,16.6,16.8,16.5,16.5,4268700
BCT,20190129,47.25,47.75,47,47.5,1900
BDMS,20190129,24,24.3,24,24.2,27050800
BEAUTY,20190129,7.45,7.65,7.4,7.5,105584000
BEC,20190129,5.6,5.65,5.25,5.3,16227100
BEM,20190129,10.5,10.6,10.4,10.5,52407500
BFIT,20190129,17.8,17.9,17.8,17.8,38600
BGC,20190129,11.5,11.5,11.2,11.4,2136400
BGRIM,20190129,29.25,29.5,29,29.25,2607900
BGT,20190129,1,1.02,0.99,1.01,925400
BH,20190129,187,187,184.5,186,858200
BIG,20190129,1.26,1.4,1.25,1.38,50113800
BIZ,20190129,2.5,2.5,2.46,2.46,302800
BJC,20190129,48.25,49,48,48.75,6495800
BJCHI,20190129,1.92,1.92,1.9,1.92,62300
BKD,20190129,3.1,3.1,3.06,3.1,160000
BKI,20190129,330,331,330,330,6700
BLA,20190129,27.5,27.5,27,27.25,668200
BLAND,20190129,1.58,1.69,1.58,1.69,100186300
BM,20190129,3.04,3.04,3.02,3.04,52100
BOFFICE,20190129,12.9,12.9,12.9,12.9,100
BOL,20190129,2,2.02,1.99,2,44900
BPP,20190129,22.7,22.9,22.4,22.8,1624200
BR,20190129,4.12,4.12,4.04,4.06,700100
BROCK,20190129,1.92,1.92,1.89,1.9,45300
BROOK,20190129,0.47,0.47,0.46,0.47,1947400
BRR,20190129,6.3,6.35,6.25,6.35,86500
BRRGIF,20190129,10,10,10,10,22700
BSBM,20190129,0.95,0.95,0.94,0.94,120900
BSM,20190129,0.54,0.56,0.53,0.54,465100
BTNC,20190129,18.5,18.5,18.5,18.5,300
BTS,20190129,9.95,10,9.85,9.95,27709400
BTSGIF,20190129,11.9,11.9,11.8,11.8,994300
BTW,20190129,1.4,1.41,1.38,1.38,97600
BWG,20190129,1.17,1.17,1.15,1.16,19663500
CAZ,20190129,3.78,3.82,3.72,3.8,2339700
CBG,20190129,36.5,37.25,36,37,2497900
CCET,20190129,1.69,1.7,1.68,1.7,195600
CCP,20190129,0.39,0.4,0.38,0.39,1046600
CEN,20190129,1.01,1.03,1,1.03,421500
CENTEL,20190129,42.5,43,42,42.5,7523600
CFRESH,20190129,4,4.02,3.98,4.02,37600
CGD,20190129,1.29,1.29,1.28,1.28,1264500
CGH,20190129,0.95,0.95,0.94,0.95,26200
CHAYO,20190129,4,4.06,3.96,3.98,1436000
CHEWA,20190129,1.11,1.12,1.09,1.11,1811200
CHG,20190129,1.9,1.92,1.9,1.92,11342400
CHO,20190129,1.38,1.38,1.33,1.34,3528900
CHOW,20190129,2.24,2.28,2.2,2.22,1168000
CI,20190129,1.24,1.25,1.24,1.24,151200
CIG,20190129,0.31,0.31,0.3,0.31,58500
CIMBT,20190129,0.76,0.78,0.76,0.78,295600
CITY,20190129,2.3,2.32,2.28,2.32,29500
CK,20190129,25.5,26,25.5,25.75,4663200
CKP,20190129,4.68,4.7,4.62,4.66,14516300
CM,20190129,4.12,4.12,4.1,4.1,40300
CMAN,20190129,2.64,2.64,2.6,2.62,352400
CMC,20190129,1.54,1.59,1.54,1.59,12314400
CMO,20190129,1.33,1.35,1.32,1.32,396600
CMR,20190129,2.4,2.4,2.4,2.4,65100
CNS,20190129,2.22,2.24,2.22,2.22,46200
CNT,20190129,2.12,2.14,2.1,2.1,119100
COL,20190129,23.9,23.9,23.6,23.6,42500
COLOR,20190129,1.22,1.22,1.22,1.22,2000
COM7,20190129,14.9,14.9,14.3,14.7,17128600
COMAN,20190129,3.46,3.56,3.46,3.56,31600
COTTO,20190129,2.08,2.2,2.08,2.16,736200
CPALL,20190129,77.5,78.75,77,78.75,34799900
CPF,20190129,27.25,27.5,27,27.5,14228800
CPH,20190129,7.1,7.2,7.1,7.1,2600
CPI,20190129,1.47,1.48,1.46,1.47,68100
CPN,20190129,79.5,80.25,78.75,79.5,9143600
CPNCG,20190129,15.2,15.3,15.2,15.3,35700
CPNREIT,20190129,26.75,27,26.5,27,351000
CPR,20190129,5.65,5.7,5.5,5.5,419300
CPT,20190129,0.85,0.85,0.82,0.83,15784700
CPTGF,20190129,12.9,13,12.9,13,54200
CRANE,20190129,1.86,1.86,1.84,1.85,131800
CRD,20190129,0.98,0.98,0.95,0.96,875900
CSC,20190129,42,42.25,42,42,1900
CSS,20190129,2.02,2.04,1.99,1.99,1813300
CTARAF,20190129,4.66,4.7,4.66,4.68,26800
CTW,20190129,8,8.05,7.95,8.05,51800
CWT,20190129,2.8,2.86,2.76,2.84,525000
D,20190129,9.25,9.3,9.2,9.3,32600
DCC,20190129,2.12,2.12,2.08,2.1,1596300
DCON,20190129,0.53,0.53,0.52,0.53,1806900
DCORP,20190129,0.91,0.95,0.9,0.92,13071600
DDD,20190129,22.3,24.9,21.9,24.3,26499100
DELTA,20190129,69.5,69.75,69.25,69.5,654600
DEMCO,20190129,2.98,3.02,2.96,2.98,1094600
DIF,20190129,15.1,15.2,15.1,15.2,20893300
DIGI,20190129,0.34,0.35,0.33,0.34,1016100
DIMET,20190129,0.87,0.9,0.86,0.89,1257000
DNA,20190129,0.36,0.37,0.33,0.33,24121900
DOD,20190129,12.3,12.3,12,12.1,746800
DREIT,20190129,5,5,5,5,34000
DRT,20190129,5.45,5.5,5.45,5.45,146500
DTAC,20190129,44.75,46.5,44.25,46.5,18164900
DTC,20190129,10,10.2,9.95,10.1,116600
EA,20190129,46.5,46.75,45.5,46,16333700
EASON,20190129,2.12,2.12,2.1,2.12,118300
EASTW,20190129,10.9,10.9,10.8,10.8,167900
ECF,20190129,2.42,2.48,2.4,2.46,3016200
ECL,20190129,1.7,1.72,1.68,1.68,615800
EE,20190129,0.62,0.62,0.6,0.6,827100
EFORL,20190129,0.05,0.06,0.05,0.05,2926900
EGATIF,20190129,11.3,11.4,11.3,11.4,5403900
EGCO,20190129,260,267,259,260,1856700
EIC,20190129,0.04,0.05,0.04,0.04,3527800
EKH,20190129,5.25,5.3,5.25,5.25,195500
EMC,20190129,0.28,0.28,0.27,0.28,3022000
EPCO,20190129,2.98,3.02,2.96,2.98,711800
EPG,20190129,7.25,7.25,7.1,7.2,3498200
ERW,20190129,7.25,7.25,7.15,7.25,5424000
ESSO,20190129,10.5,10.7,10.4,10.6,10367100
ESTAR,20190129,0.53,0.53,0.52,0.53,1607100
ETE,20190129,1.1,1.11,1.08,1.08,933100
EVER,20190129,0.52,0.53,0.51,0.51,2141400
FANCY,20190129,0.85,0.86,0.83,0.83,396000
FC,20190129,0.39,0.41,0.38,0.4,996100
FE,20190129,197,197,197,197,300
