<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190109,11.13,11.14,11.1,11.1,24100
BMSCG,20190109,7.67,7.73,7.67,7.7,27100
BMSCITH,20190109,12.2,12.23,12.07,12.08,377800
BSET100,20190109,10.24,10.27,10.15,10.15,280500
CHINA,20190109,4.73,4.75,4.68,4.68,15700
EBANK,20190109,5.6,5.6,5.6,5.6,100
ECOMM,20190109,8.11,8.11,8.11,8.11,100
EICT,20190109,4.35,4.35,4.35,4.35,100
ENY,20190109,7.22,7.22,7.22,7.22,100
GLD,20190109,1.74,1.75,1.73,1.73,396100
TDEX,20190109,10.6,10.7,10.59,10.59,94900
TGOLDETF,20190109,3.82,3.82,3.81,3.81,34000
2S,20190109,2.34,2.34,2.28,2.32,23100
7UP,20190109,0.42,0.42,0.41,0.41,4935400
A,20190109,6.6,6.6,6.6,6.6,15000
AAV,20190109,4.04,4.06,3.98,4,10166800
ABICO,20190109,4.24,4.38,4.24,4.3,85900
ABM,20190109,0.91,0.92,0.88,0.88,68500
ABPIF,20190109,6.35,6.6,6.35,6.5,516800
ACAP,20190109,2.78,2.86,2.76,2.76,5786700
ACC,20190109,0.5,0.5,0.48,0.5,411300
ADB,20190109,0.84,0.86,0.84,0.85,122500
ADVANC,20190109,178,179,177,178.5,4436900
AEC,20190109,0.49,0.49,0.47,0.48,65200
AEONTS,20190109,187.5,191.5,187,188.5,370700
AF,20190109,0.64,0.65,0.64,0.64,39400
AFC,20190109,9.05,9.05,9.05,9.05,1000
AGE,20190109,0.92,0.92,0.91,0.91,189000
AH,20190109,19.5,19.7,18.9,19.1,911400
AHC,20190109,17.6,17.6,14,17,46500
AIMIRT,20190109,10.4,10.4,10.3,10.3,26000
AIRA,20190109,1.5,1.5,1.5,1.5,3100
AIT,20190109,19.9,20,19.9,19.9,92800
AJ,20190109,8.1,8.25,8.05,8.25,85500
AJA,20190109,0.15,0.18,0.14,0.18,121248100
AKP,20190109,1.9,1.94,1.9,1.9,196500
AKR,20190109,0.82,0.82,0.8,0.81,391100
ALLA,20190109,1.36,1.37,1.34,1.35,483700
ALT,20190109,2.98,3,2.9,2.96,133700
ALUCON,20190109,178.5,178.5,177.5,177.5,200
AMA,20190109,4.66,4.66,4.58,4.58,131500
AMANAH,20190109,1.72,1.76,1.67,1.68,22268600
AMARIN,20190109,5.05,5.05,5,5,82100
AMATA,20190109,22.1,22.2,21.5,21.6,15668100
AMATAR,20190109,10.9,10.9,10.8,10.8,16500
AMATAV,20190109,4.5,4.5,4.44,4.44,308400
AMC,20190109,1.81,1.83,1.81,1.83,41100
ANAN,20190109,3.18,3.28,3.16,3.22,16857200
AOT,20190109,65.5,66,65.5,66,33902300
AP,20190109,6.4,6.45,6.3,6.4,9419500
APCO,20190109,4.08,4.1,4.08,4.1,51500
APCS,20190109,4.8,4.8,4.7,4.78,158000
APEX,20190109,0.2,0.2,0.19,0.2,510200
APURE,20190109,1.25,1.28,1.24,1.26,187000
AQ,20190109,0.02,0.03,0.02,0.02,5246600
AQUA,20190109,0.4,0.41,0.39,0.4,5355900
ARIP,20190109,0.41,0.41,0.4,0.4,72100
ARROW,20190109,7.9,7.9,7.8,7.85,45400
AS,20190109,0.78,0.8,0.77,0.78,34800
ASAP,20190109,3.44,3.46,3.32,3.32,1104200
ASEFA,20190109,4.76,4.76,4.72,4.74,70500
ASIA,20190109,6.6,6.65,6.6,6.65,8000
ASIAN,20190109,7.9,8.05,7.85,7.85,8447100
ASIMAR,20190109,1.9,1.92,1.9,1.92,82700
ASK,20190109,23.9,24,23.8,23.9,125100
ASN,20190109,3.52,3.54,3.5,3.54,18700
ASP,20190109,3.18,3.18,3.14,3.18,1832300
ATP30,20190109,1.51,1.52,1.5,1.5,162600
AU,20190109,7,7.1,6.95,7,1100700
AUCT,20190109,5.3,5.3,5.15,5.15,211600
AYUD,20190109,40.25,40.75,40.25,40.5,4000
B,20190109,0.4,0.44,0.4,0.41,603700
B-WORK,20190109,10.8,10.9,10.8,10.9,66800
BA,20190109,11.9,12,11.7,11.8,1189400
BAFS,20190109,33,33.25,32.5,32.5,109400
BANPU,20190109,16.5,16.6,16.1,16.2,23222800
BAY,20190109,38,38,37.5,37.5,163600
BBL,20190109,208,210,207,208,3202600
BCH,20190109,16.6,16.8,15.5,15.8,40255200
BCP,20190109,33,33.25,32.75,33,1558700
BCPG,20190109,16.3,16.4,15.9,16,6012100
BCT,20190109,44.5,45,44.25,44.5,7400
BDMS,20190109,24.7,24.9,22.3,22.7,259396400
BEAUTY,20190109,7.2,7.3,6.9,6.95,107607900
BEC,20190109,4.9,4.96,4.8,4.8,3618300
BEM,20190109,9.95,10,9.75,9.8,50831700
BFIT,20190109,18.1,19.1,18.1,18.7,153500
BGC,20190109,10.3,10.4,10.2,10.2,1539700
BGRIM,20190109,28.5,28.75,28,28.25,7019300
BGT,20190109,1.06,1.06,1.04,1.04,5700
BH,20190109,193,194,174,176,6002600
BIG,20190109,1.24,1.26,1.23,1.23,2607700
BIZ,20190109,2.3,2.58,2.3,2.32,2249000
BJC,20190109,48.5,49.5,48,48.25,10835300
BJCHI,20190109,1.91,1.92,1.88,1.88,134900
BKD,20190109,3.1,3.16,3.06,3.06,547600
BKI,20190109,330,330,329,329,2600
BKKCP,20190109,12.3,12.3,12.3,12.3,65100
BLA,20190109,27.75,28,27,27.25,592000
BLAND,20190109,1.56,1.57,1.55,1.55,8945000
BM,20190109,2.94,2.98,2.94,2.96,60200
BOFFICE,20190109,12.9,12.9,12.9,12.9,450000
BOL,20190109,2,2.02,2,2.02,5900
BPP,20190109,22.4,22.4,22.1,22.1,1311400
BR,20190109,4,4,3.96,3.96,253200
BROOK,20190109,0.43,0.44,0.42,0.43,389100
BRR,20190109,5.85,5.95,5.85,5.9,79000
BRRGIF,20190109,9.9,9.95,9.9,9.95,34000
BSBM,20190109,0.93,0.95,0.93,0.93,4800
BSM,20190109,0.5,0.51,0.5,0.51,388200
BTS,20190109,9.55,9.6,9.5,9.5,15086200
BTSGIF,20190109,11.8,11.8,11.7,11.8,1205500
BTW,20190109,1.31,1.31,1.3,1.31,22300
BWG,20190109,1.07,1.07,1.05,1.05,16051000
