<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190509,11.28,11.28,11.23,11.24,14600
BMSCG,20190509,8.19,8.2,8.16,8.16,39800
BMSCITH,20190509,12.54,12.57,12.48,12.48,297200
BSET100,20190509,10.71,10.71,10.64,10.64,60300
CHINA,20190509,5.6,5.6,5.38,5.39,495500
ENGY,20190509,6.46,6.48,6.42,6.42,2700
ESET50,20190509,5.81,5.81,5.81,5.81,100
GLD,20190509,1.74,1.74,1.73,1.73,91500
TDEX,20190509,10.88,10.9,10.85,10.86,189000
TGOLDETF,20190509,3.77,3.78,3.77,3.78,20900
2S,20190509,2.16,2.2,2.16,2.18,166900
7UP,20190509,0.26,0.27,0.25,0.26,1429200
A,20190509,6.35,6.35,6.35,6.35,10200
AAV,20190509,4.24,4.28,4.22,4.24,4215300
ABICO,20190509,4.36,4.4,4.24,4.38,6400
ABM,20190509,0.94,0.99,0.94,0.96,1602400
ABPIF,20190509,5.9,5.9,5.9,5.9,188200
ACAP,20190509,3.88,3.88,3.8,3.84,959200
ACC,20190509,0.76,0.76,0.72,0.72,1925100
ADB,20190509,0.94,0.97,0.93,0.95,914600
ADVANC,20190509,190,191,188.5,189,2542500
AEC,20190509,0.49,0.52,0.47,0.52,5932300
AEONTS,20190509,193,196,191.5,194.5,537900
AF,20190509,0.66,0.66,0.66,0.66,2300
AGE,20190509,0.89,0.89,0.88,0.89,297600
AH,20190509,20.1,20.3,20,20.2,350600
AHC,20190509,18.2,18.2,18.2,18.2,100
AIMIRT,20190509,11.9,12,11.9,11.9,116600
AIRA,20190509,1.41,1.42,1.41,1.41,3100
AIT,20190509,22,22,21.7,21.8,119400
AJ,20190509,9.7,9.9,9.7,9.75,19500
AJA,20190509,0.22,0.22,0.21,0.21,3381500
AKP,20190509,1.87,1.87,1.86,1.87,662300
AKR,20190509,0.82,0.83,0.81,0.82,5700800
ALL,20190509,4.86,4.98,4.76,4.76,64069900
ALLA,20190509,1.47,1.48,1.46,1.46,687600
ALT,20190509,2.94,2.94,2.9,2.9,1000
ALUCON,20190509,171.5,174,171.5,173.5,3800
AMA,20190509,4.28,4.3,4.24,4.24,201700
AMANAH,20190509,1.66,1.68,1.63,1.64,3476600
AMARIN,20190509,5.15,5.2,5.1,5.15,136100
AMATA,20190509,21.7,21.9,21.6,21.6,7914200
AMATAR,20190509,11.7,11.8,11.7,11.7,469500
AMATAV,20190509,5.1,5.15,5,5.1,69400
AMC,20190509,1.78,1.78,1.76,1.76,746000
ANAN,20190509,3.68,3.68,3.6,3.62,7126100
AOT,20190509,68.25,68.5,67.5,67.75,16735500
AP,20190509,7.4,7.45,7.35,7.35,6425000
APCO,20190509,3.98,4,3.94,3.96,114200
APCS,20190509,4.74,4.74,4.74,4.74,19800
APEX,20190509,0.19,0.2,0.19,0.2,256300
APURE,20190509,1.29,1.33,1.29,1.33,1390600
AQ,20190509,0.02,0.03,0.02,0.03,18724100
AQUA,20190509,0.52,0.55,0.52,0.54,11816600
ARIP,20190509,0.48,0.48,0.46,0.47,188100
ARROW,20190509,9,9,8.85,8.85,133900
AS,20190509,0.89,0.9,0.87,0.87,20300
ASAP,20190509,2.86,2.92,2.86,2.9,818600
ASEFA,20190509,5.2,5.2,5.05,5.15,350500
ASIA,20190509,7.65,7.65,7.65,7.65,1500
ASIAN,20190509,7.15,7.25,7.05,7.2,1585600
ASIMAR,20190509,1.97,2.06,1.97,1.99,188200
ASK,20190509,23.6,23.8,23.6,23.6,112000
ASN,20190509,3.76,3.8,3.6,3.8,24400
ASP,20190509,2.86,2.88,2.84,2.86,3609000
ATP30,20190509,1.38,1.38,1.37,1.38,174400
AU,20190509,8.75,8.8,8.6,8.7,1486400
AUCT,20190509,6.9,6.95,6.7,6.8,1062300
AYUD,20190509,42.5,43,42.5,42.5,9500
B,20190509,0.65,0.65,0.61,0.61,2493000
B-WORK,20190509,11.2,11.2,11.1,11.2,3100
BA,20190509,11.9,11.9,11.8,11.8,154900
BAFS,20190509,34.5,35,34.5,35,190200
BANPU,20190509,16,16.1,15.8,15.8,20249900
BAT-3K,20190509,243,243,243,243,100
BAY,20190509,38.25,38.25,37.75,37.75,110200
BBL,20190509,206,206,202,203,3434600
BCH,20190509,17.9,17.9,17.3,17.6,30431100
BCP,20190509,32.25,32.25,31.75,32,2228900
BCPG,20190509,17.3,17.8,17.3,17.7,10088100
BCT,20190509,45.75,46.75,45.5,46,2100
BDMS,20190509,25,25.25,24.5,24.7,67654800
BEAUTY,20190509,6.15,6.25,6.1,6.1,40130700
BEC,20190509,8.85,8.95,8.5,8.55,20599400
BEM,20190509,10.9,11.2,10.9,11,61052700
BFIT,20190509,17.6,17.7,17.6,17.7,53700
BGC,20190509,11.6,12,11.6,11.7,401700
BGRIM,20190509,32.25,32.75,32,32,11257100
BGT,20190509,1.11,1.15,1.05,1.05,2375100
BH,20190509,169.5,170.5,169,169,776100
BIG,20190509,1.16,1.17,1.14,1.15,4812800
BIZ,20190509,2.7,2.72,2.7,2.7,55300
BJC,20190509,51.25,52.25,51.25,51.5,6774500
BJCHI,20190509,2.12,2.14,2.12,2.12,105800
BKD,20190509,2.9,2.92,2.9,2.9,181300
BKI,20190509,325,325,324,324,5200
BKKCP,20190509,12.8,12.8,12.7,12.7,54000
BLA,20190509,27.25,27.5,27,27.5,163000
BLAND,20190509,1.55,1.56,1.55,1.56,9037600
BM,20190509,2.78,2.8,2.72,2.76,51100
BOFFICE,20190509,13.9,14,13.9,13.9,1100
BOL,20190509,2.24,2.38,2.2,2.3,1752400
BPP,20190509,22.1,22.2,21.4,21.5,8978500
BR,20190509,3.66,3.7,3.66,3.68,614300
BROOK,20190509,0.46,0.47,0.46,0.46,535300
BRR,20190509,6.1,6.2,6.1,6.2,83500
BRRGIF,20190509,10,10.1,10,10.1,11700
BSBM,20190509,0.91,0.91,0.9,0.91,111500
BSM,20190509,0.58,0.58,0.56,0.56,387000
BTNC,20190509,17.7,17.7,17.7,17.7,100
BTS,20190509,11.7,11.8,11.6,11.7,34555200
BTSGIF,20190509,12.4,12.4,12.3,12.4,4630300
BTW,20190509,1.46,1.46,1.46,1.46,10700
BWG,20190509,1.02,1.05,1.02,1.04,4727100
CAZ,20190509,2.28,2.3,2.26,2.28,1178700
CBG,20190509,59.75,60.25,58.5,58.5,3164600
CCET,20190509,1.87,1.9,1.87,1.89,329200
CCP,20190509,0.34,0.35,0.34,0.34,296000
CEN,20190509,1.02,1.02,1.01,1.01,267600
CENTEL,20190509,40.75,41.25,40.25,40.5,7517000
CFRESH,20190509,3.84,3.86,3.82,3.84,10300
CGD,20190509,1.05,1.1,1.05,1.06,2414600
CGH,20190509,0.86,0.87,0.84,0.86,245800
CHARAN,20190509,30.25,31.75,30,30,3800
CHAYO,20190509,4.34,4.46,4.3,4.32,7619700
CHEWA,20190509,1.09,1.11,1.09,1.1,997500
CHG,20190509,1.91,1.94,1.91,1.92,35749200
CHO,20190509,1.06,1.08,1.04,1.04,1175100
CHOTI,20190509,112,112,106.5,108.5,8400
CHOW,20190509,2.5,2.5,2.4,2.4,543200
CIG,20190509,0.28,0.28,0.28,0.28,957600
CIMBT,20190509,0.77,0.77,0.76,0.76,86500
CITY,20190509,2.3,2.32,2.3,2.3,900
CK,20190509,26.5,26.75,26,26.25,2821800
CKP,20190509,5.65,5.8,5.65,5.75,81279500
CM,20190509,4.1,4.1,4.08,4.1,3900
CMAN,20190509,2.6,2.62,2.58,2.58,162600
CMC,20190509,1.55,1.58,1.54,1.54,3232300
CMO,20190509,1.56,1.59,1.56,1.58,286000
CMR,20190509,2.32,2.34,2.32,2.34,69500
CNS,20190509,1.8,1.8,1.77,1.78,212200
CNT,20190509,1.94,1.95,1.94,1.94,13600
COL,20190509,23.8,24.4,23.8,24.3,362400
COLOR,20190509,1.22,1.24,1.2,1.2,24000
COM7,20190509,19.3,19.4,18.7,19.1,9361000
COMAN,20190509,4.34,4.36,4.28,4.28,900
COTTO,20190509,2.08,2.1,2.04,2.08,148300
CPALL,20190509,76,76.25,75.75,75.75,15758400
CPF,20190509,27.75,28,27,27.25,25534900
CPI,20190509,1.4,1.4,1.38,1.4,41900
CPL,20190509,1.97,1.99,1.97,1.99,2700
CPN,20190509,73.75,74.75,73.75,74.25,5930400
CPNCG,20190509,15,15.2,15,15.2,127200
CPNREIT,20190509,29.25,29.5,29,29,2133900
CPR,20190509,5,5.1,5,5.05,136100
CPT,20190509,1.26,1.29,1.24,1.24,12864300
CPTGF,20190509,13.1,13.1,13,13.1,11100
CRANE,20190509,2.08,2.18,2.08,2.08,1510300
CRD,20190509,1,1.01,1,1.01,45000
CRYSTAL,20190509,9.3,9.3,9.3,9.3,43600
CSC,20190509,46.5,47.75,46.5,47.75,65400
CSP,20190509,1.16,1.19,1.14,1.19,10100
CSS,20190509,1.92,1.94,1.91,1.91,1902800
CTARAF,20190509,4.72,4.74,4.72,4.74,107700
CTW,20190509,7.8,7.95,7.8,7.85,58000
CWT,20190509,3.04,3.04,2.98,2.98,121100
D,20190509,6.85,7,6.85,6.85,235800
DCC,20190509,2.1,2.12,2.08,2.08,3254900
DCON,20190509,0.45,0.46,0.45,0.45,6521100
DCORP,20190509,0.51,0.54,0.51,0.51,4120100
DDD,20190509,29.25,30.75,27.5,28,2509800
DELTA,20190509,74.5,74.5,73,73,246200
DEMCO,20190509,2.98,3,2.96,2.96,103300
DIF,20190509,16.3,16.4,16.2,16.4,13913400
DIGI,20190509,0.31,0.31,0.29,0.3,639300
DIMET,20190509,0.79,0.79,0.76,0.76,364000
DOD,20190509,9.85,9.95,9.7,9.7,2791900
DREIT,20190509,5.8,5.8,5.8,5.8,25600
DRT,20190509,5.55,5.55,5.5,5.55,369200
DTAC,20190509,51.5,51.75,51,51.5,3842500
DTC,20190509,10.8,10.9,10.7,10.7,108400
EA,20190509,54.25,55,54,54.25,24054700
EASON,20190509,2.12,2.16,2.12,2.16,42500
EASTW,20190509,11.4,11.5,11.3,11.3,1481400
ECF,20190509,2.4,2.44,2.36,2.38,1589400
ECL,20190509,1.58,1.59,1.56,1.56,1348700
EE,20190509,0.52,0.53,0.52,0.52,1225600
EFORL,20190509,0.06,0.06,0.05,0.06,12577100
EGATIF,20190509,11.9,11.9,11.8,11.8,2224400
EGCO,20190509,296,297,292,293,1002300
EIC,20190509,0.04,0.04,0.04,0.04,421900
EKH,20190509,5.95,6.15,5.95,6.05,1008300
EMC,20190509,0.26,0.26,0.25,0.25,5082000
EPCO,20190509,3.28,3.36,3.28,3.34,567700
EPG,20190509,6.35,6.4,6.2,6.3,3154600
ERW,20190509,6.85,6.95,6.8,6.85,2713100
ERWPF,20190509,5.2,5.2,5.2,5.2,3000
ESSO,20190509,10.6,10.7,10.5,10.6,9532400
ESTAR,20190509,0.55,0.55,0.53,0.55,2887200
ETE,20190509,1.32,1.32,1.28,1.29,601200
EVER,20190509,0.54,0.55,0.53,0.54,11141800
