<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190524,10.9,10.92,10.87,10.92,26700
BMSCG,20190524,7.85,7.9,7.81,7.9,51400
BMSCITH,20190524,12.22,12.3,12.19,12.29,390700
BSET100,20190524,10.37,10.43,10.33,10.42,903500
CHINA,20190524,5.33,5.33,5.26,5.26,67700
ENGY,20190524,6,6.04,5.99,6.04,500
ENY,20190524,7.1,7.1,7.1,7.1,100
ESET50,20190524,5.67,5.67,5.67,5.67,100
GLD,20190524,1.73,1.74,1.73,1.73,109400
TDEX,20190524,10.6,10.63,10.56,10.62,125100
TGOLDETF,20190524,3.8,3.81,3.8,3.81,146700
2S,20190524,2.18,2.18,2.16,2.16,62300
7UP,20190524,0.26,0.28,0.25,0.28,3291300
A,20190524,6.3,6.35,6.3,6.35,15000
AAV,20190524,4.06,4.12,4,4.12,10013100
ABICO,20190524,3.68,3.78,3.68,3.74,7500
ABM,20190524,0.89,0.9,0.88,0.88,15200
ABPIF,20190524,5.85,5.95,5.85,5.9,136200
ACAP,20190524,3.56,3.56,3.48,3.54,183500
ACC,20190524,0.68,0.69,0.66,0.69,471600
ADB,20190524,0.81,0.82,0.81,0.82,62800
ADVANC,20190524,189,191,187,190.5,5011700
AEC,20190524,0.55,0.57,0.55,0.56,2874000
AEONTS,20190524,199.5,199.5,194.5,196.5,851500
AF,20190524,0.69,0.7,0.67,0.67,48200
AFC,20190524,8.5,8.5,8.5,8.5,1000
AGE,20190524,0.92,0.97,0.91,0.97,3509700
AH,20190524,17.7,18.1,17.6,18,444500
AHC,20190524,16.9,17,16.9,17,500
AIMIRT,20190524,12.1,12.2,12.1,12.2,155800
AIRA,20190524,1.33,1.33,1.33,1.33,7600
AIT,20190524,21.4,21.4,21.3,21.3,105000
AJ,20190524,9.65,9.8,9.65,9.7,4500
AJA,20190524,0.21,0.21,0.2,0.2,112800
AKP,20190524,1.62,1.65,1.6,1.63,70500
AKR,20190524,0.73,0.75,0.7,0.7,2531200
ALL,20190524,4.14,4.38,4.12,4.22,15625700
ALLA,20190524,1.36,1.36,1.33,1.35,450500
ALT,20190524,2.7,2.74,2.7,2.74,62700
ALUCON,20190524,174,174,174,174,300
AMA,20190524,4.1,4.1,4.04,4.1,141200
AMANAH,20190524,1.61,1.61,1.58,1.61,469500
AMARIN,20190524,5,5.05,4.86,5.05,42100
AMATA,20190524,21.4,21.7,21.2,21.6,7619300
AMATAR,20190524,11.7,11.8,11.7,11.7,971400
AMATAV,20190524,4.98,5,4.88,4.9,46600
AMC,20190524,1.71,1.71,1.71,1.71,100
ANAN,20190524,3.64,3.68,3.6,3.66,3005900
AOT,20190524,66.25,66.5,65.25,65.75,42533100
AP,20190524,7.55,7.6,7.5,7.5,5612300
APCO,20190524,3.76,3.76,3.7,3.74,53000
APCS,20190524,4.72,4.72,4.6,4.64,120200
APEX,20190524,0.18,0.18,0.17,0.18,393400
APURE,20190524,1.33,1.34,1.33,1.34,41700
AQ,20190524,0.03,0.03,0.02,0.03,3524500
AQUA,20190524,0.49,0.49,0.48,0.48,1408700
ARIP,20190524,0.42,0.42,0.41,0.41,11200
ARROW,20190524,8.15,8.15,7.95,7.95,20500
AS,20190524,0.8,0.8,0.8,0.8,40000
ASAP,20190524,2.3,2.36,2.28,2.34,2295900
ASEFA,20190524,4.7,4.74,4.64,4.74,124300
ASIA,20190524,7.25,7.3,7.25,7.3,20900
ASIAN,20190524,7.3,7.3,7.05,7.1,838000
ASIMAR,20190524,1.69,1.74,1.65,1.65,175900
ASK,20190524,23.4,23.5,23.3,23.3,210300
ASN,20190524,3.98,3.98,3.96,3.98,41000
ASP,20190524,2.6,2.62,2.56,2.6,2324400
ATP30,20190524,1.28,1.3,1.25,1.29,678700
AU,20190524,9.7,9.8,9.45,9.5,4298800
AUCT,20190524,6.5,6.7,6.45,6.65,621300
AYUD,20190524,40.25,40.5,39.75,40.25,29800
B,20190524,0.43,0.46,0.42,0.46,257300
B-WORK,20190524,11.5,11.5,11.3,11.5,130700
B52,20190524,0.3,0.3,0.29,0.3,61200
BA,20190524,10.7,10.7,10.4,10.6,650600
BAFS,20190524,34.75,34.75,34,34.75,121200
BANPU,20190524,14.2,14.5,14.1,14.4,24403900
BAY,20190524,37.25,37.75,37,37.5,145700
BBL,20190524,199.5,201,199.5,200,5047400
BCH,20190524,16.8,16.9,16.6,16.9,6561500
BCP,20190524,28.25,29,28.25,28.75,3373000
BCPG,20190524,16.7,17.1,16.6,17,4325000
BCT,20190524,43.5,44,43.25,44,10600
BDMS,20190524,26,26,25.5,25.75,51227600
BEAUTY,20190524,3.82,3.86,3.78,3.78,154257300
BEC,20190524,8.75,8.85,8.55,8.7,8136500
BEM,20190524,11.1,11.2,11,11.2,27326200
BFIT,20190524,18,18,17.9,18,135600
BGC,20190524,11.3,11.5,11,11.4,609900
BGRIM,20190524,31,32.25,31,32,7330900
BGT,20190524,0.97,1.02,0.95,1.01,222900
BH,20190524,163,165.5,163,165,753800
BIG,20190524,1.01,1.02,1,1.01,1142800
BIZ,20190524,2.48,2.5,2.48,2.48,10600
BJC,20190524,48,48.75,47.5,48.5,3898800
BJCHI,20190524,2.06,2.06,2.02,2.06,160700
BKD,20190524,2.88,2.9,2.88,2.9,38700
BKI,20190524,323,325,323,323,2500
BKKCP,20190524,12.9,12.9,12.7,12.7,130500
BLA,20190524,28,28.5,27.75,28.25,583900
BLAND,20190524,1.46,1.47,1.45,1.47,8844900
BM,20190524,2.14,2.24,2.1,2.12,250700
BOFFICE,20190524,14.3,14.7,14.3,14.3,350000
BOL,20190524,2.32,2.34,2.32,2.34,46400
BPP,20190524,19.4,19.8,19.1,19.8,3113400
BR,20190524,2.98,3,2.96,2.98,1240400
BROOK,20190524,0.42,0.43,0.41,0.43,487300
BRR,20190524,6,6.2,6,6.2,62300
BRRGIF,20190524,9.55,9.6,9.55,9.6,106200
BSBM,20190524,0.9,0.9,0.88,0.89,16900
BSM,20190524,0.55,0.55,0.54,0.55,80300
BTS,20190524,11.3,11.4,11.3,11.4,13563100
BTSGIF,20190524,12.4,12.5,12.4,12.4,1572100
BTW,20190524,1.29,1.29,1.27,1.29,93100
BWG,20190524,0.8,0.83,0.79,0.83,12607200
CAZ,20190524,2.08,2.14,2.06,2.1,1667800
CBG,20190524,58,61.5,57.75,61.25,8930800
CCET,20190524,1.78,1.8,1.78,1.79,258200
CCP,20190524,0.32,0.33,0.32,0.33,560200
CEN,20190524,0.96,0.96,0.94,0.95,3600
CENTEL,20190524,34.75,35.5,34.5,35,4610300
CFRESH,20190524,3.28,3.28,3.2,3.24,72700
CGD,20190524,1.09,1.09,1.07,1.09,281000
CGH,20190524,0.87,0.87,0.84,0.84,276000
CHAYO,20190524,4.24,4.28,4.18,4.28,999100
CHEWA,20190524,0.8,0.8,0.76,0.78,2761200
CHG,20190524,2.08,2.12,2.06,2.1,63014000
CHO,20190524,0.98,0.98,0.97,0.97,631300
CHOTI,20190524,102.5,102.5,101.5,101.5,300
CHOW,20190524,2.24,2.28,2.2,2.26,378900
CI,20190524,1.28,1.28,1.28,1.28,36700
CIG,20190524,0.26,0.27,0.26,0.27,86600
CIMBT,20190524,0.72,0.73,0.72,0.73,159400
CITY,20190524,2.3,2.3,2.26,2.26,7000
CK,20190524,26.5,26.75,26.25,26.5,3540700
CKP,20190524,5.75,5.9,5.7,5.85,37377200
CM,20190524,3.52,3.58,3.5,3.58,36500
CMAN,20190524,2.48,2.5,2.48,2.48,44200
CMC,20190524,1.29,1.3,1.29,1.3,757100
CMO,20190524,1.64,1.64,1.62,1.64,1071400
CMR,20190524,2.3,2.32,2.3,2.32,2200
CNS,20190524,1.76,1.76,1.75,1.76,34700
CNT,20190524,1.9,1.92,1.9,1.9,24800
COL,20190524,22.9,23,22.7,23,90500
COM7,20190524,19,19.4,18.9,19.3,3311000
COMAN,20190524,3.44,3.44,3.3,3.32,95400
COTTO,20190524,2,2,2,2,141000
CPALL,20190524,78,79.25,77.75,79,35243200
CPF,20190524,27.25,28,27,27.5,36065900
CPH,20190524,6.4,6.4,6.4,6.4,1000
CPI,20190524,1.4,1.4,1.4,1.4,55600
CPL,20190524,1.67,1.69,1.54,1.54,707300
CPN,20190524,72.5,73.5,72.5,73.25,11897100
CPNCG,20190524,15,15.1,15,15.1,44000
CPNREIT,20190524,29.5,29.75,29.5,29.5,2790100
CPR,20190524,4.9,4.96,4.9,4.96,46600
CPT,20190524,1.24,1.26,1.24,1.26,5379300
CPTGF,20190524,13.1,13.1,13.1,13.1,1292600
CRANE,20190524,1.8,1.8,1.77,1.79,93200
CRD,20190524,0.99,0.99,0.98,0.99,107500
CRYSTAL,20190524,9.05,9.05,9.05,9.05,2800
CSC,20190524,46.5,47.5,46.5,47,15500
CSP,20190524,1.09,1.13,1.09,1.13,21300
CSS,20190524,1.49,1.51,1.48,1.49,769500
CTARAF,20190524,4.76,5.15,4.76,4.92,519300
CTW,20190524,7.4,7.4,7.2,7.4,52000
CWT,20190524,2.98,3.04,2.98,3.02,75200
D,20190524,6.8,6.85,6.8,6.8,54700
DCC,20190524,1.91,1.91,1.88,1.91,5096900
DCON,20190524,0.43,0.43,0.4,0.4,13162400
DCORP,20190524,0.48,0.53,0.46,0.49,12329000
DDD,20190524,23.7,23.8,23.3,23.4,713800
DELTA,20190524,58,59.25,57.75,58.25,1852100
DEMCO,20190524,2.98,3,2.96,3,169600
DIF,20190524,16.2,16.3,16.2,16.2,5915000
DIMET,20190524,0.64,0.65,0.63,0.65,117200
DOD,20190524,7.85,7.95,7.7,7.9,1149800
DREIT,20190524,5.8,5.85,5.8,5.85,12800
DRT,20190524,5.75,5.85,5.75,5.75,494600
DTAC,20190524,49,49.25,48.25,49,12349300
DTC,20190524,10.1,10.3,10.1,10.2,34200
EA,20190524,49.75,51.5,49.75,51.5,22982700
EASON,20190524,2.14,2.14,2.14,2.14,100
EASTW,20190524,11.9,12.1,11.8,12.1,3657100
ECF,20190524,2.34,2.42,2.34,2.38,3352900
ECL,20190524,1.42,1.49,1.41,1.45,3711900
EE,20190524,0.48,0.49,0.48,0.49,2783900
