<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190718,11.5,11.52,11.48,11.48,132300
BMSCG,20190718,8.78,8.8,8.71,8.8,13500
BMSCITH,20190718,12.9,12.95,12.9,12.93,224000
BSET100,20190718,11.07,11.12,11.07,11.12,47600
ECOMM,20190718,8.97,8.97,8.97,8.97,100
GLD,20190718,1.83,1.84,1.83,1.84,530400
TDEX,20190718,11.25,11.28,11.24,11.27,236200
TGOLDETF,20190718,4.04,4.04,4.02,4.03,107100
2S,20190718,2.24,2.24,2.22,2.24,63300
7UP,20190718,0.29,0.3,0.29,0.29,3411400
A,20190718,6.3,6.3,6.25,6.3,11000
A5,20190718,1.22,1.3,1.1,1.21,460200
AAV,20190718,3.92,3.96,3.92,3.94,4877500
ABICO,20190718,4.5,4.6,4.5,4.6,29500
ABM,20190718,0.98,0.98,0.96,0.97,144100
ABPIF,20190718,6.45,6.45,6.3,6.4,616600
ACAP,20190718,2.72,2.84,2.7,2.76,1115500
ACC,20190718,0.69,0.7,0.69,0.69,208200
ACG,20190718,1.6,1.66,1.59,1.6,25552500
ADB,20190718,0.76,0.77,0.74,0.75,99000
ADVANC,20190718,215,217,214,215,4311900
AEC,20190718,0.54,0.55,0.53,0.54,120000
AEONTS,20190718,230,234,228,234,256900
AF,20190718,0.69,0.69,0.69,0.69,100
AFC,20190718,7.6,7.65,7.6,7.65,1900
AGE,20190718,1.05,1.08,1.05,1.08,2327100
AH,20190718,18.8,18.8,18.6,18.7,175400
AHC,20190718,15,15,14.6,14.7,54000
AI,20190718,1.45,1.48,1.45,1.47,7279800
AIE,20190718,0.64,0.68,0.64,0.68,16912000
AIMCG,20190718,9.9,9.95,9.85,9.9,1331900
AIMIRT,20190718,11.9,12.4,11.8,12.3,2292800
AIRA,20190718,1.32,1.33,1.3,1.3,2900
AIT,20190718,23.3,23.3,23.2,23.2,250900
AJ,20190718,8.75,8.75,8.75,8.75,12900
AJA,20190718,0.2,0.21,0.19,0.2,4260100
AKP,20190718,1.48,1.5,1.46,1.48,1062000
AKR,20190718,0.8,0.84,0.8,0.8,5130000
ALL,20190718,4.8,4.8,4.72,4.76,2314300
ALLA,20190718,1.46,1.51,1.45,1.5,6797000
ALT,20190718,2.9,2.94,2.9,2.9,38000
ALUCON,20190718,172,174,172,173,1400
AMA,20190718,9.45,9.7,9.15,9.35,6049700
AMANAH,20190718,2.24,2.32,2.2,2.28,7666900
AMARIN,20190718,4.96,5,4.96,5,12000
AMATA,20190718,23.4,23.7,23.2,23.6,5482900
AMATAR,20190718,11.9,12.2,11.9,12.2,186100
AMATAV,20190718,4.92,4.92,4.9,4.92,1146100
AMC,20190718,1.75,1.75,1.74,1.74,19400
ANAN,20190718,3.7,3.8,3.7,3.78,8224400
AOT,20190718,73.5,73.75,72.5,73,24234200
AP,20190718,7.9,8.1,7.9,8.1,4926000
APCO,20190718,3.68,3.7,3.64,3.68,111800
APCS,20190718,4.46,4.54,4.4,4.48,25600
APEX,20190718,0.18,0.18,0.18,0.18,443700
APURE,20190718,1.4,1.42,1.38,1.39,268500
AQ,20190718,0.02,0.03,0.02,0.02,28298800
AQUA,20190718,0.55,0.56,0.54,0.55,12277800
ARIN,20190718,1.19,1.23,1.15,1.16,42925900
ARIP,20190718,0.5,0.5,0.49,0.5,189200
ARROW,20190718,8.4,8.4,8.35,8.35,66000
AS,20190718,0.73,0.75,0.73,0.75,3500
ASAP,20190718,3.3,3.36,3.28,3.3,925100
ASEFA,20190718,5.3,5.3,5.15,5.2,271500
ASIA,20190718,7.25,7.25,7.2,7.2,15500
ASIAN,20190718,6.95,7,6.85,6.9,757200
ASIMAR,20190718,2.02,2.2,2.02,2.1,10895100
ASK,20190718,24.1,24.3,24.1,24.2,59900
ASN,20190718,4.5,6.5,4.5,5.65,77100
ASP,20190718,2.78,2.82,2.78,2.78,1844000
ATP30,20190718,1.48,1.52,1.47,1.51,1154800
AU,20190718,15.8,16.4,15.8,16.3,2495700
AUCT,20190718,7.7,7.7,7.45,7.55,2139600
AYUD,20190718,42,42.5,41.25,41.5,6600
B,20190718,0.6,0.6,0.56,0.57,9881800
B-WORK,20190718,11.9,12,11.9,12,35900
B52,20190718,0.24,0.24,0.23,0.23,440300
BA,20190718,11.2,11.2,11.1,11.2,610800
BAFS,20190718,36.75,36.75,36.25,36.5,426000
BANPU,20190718,14.5,14.6,14.4,14.5,20258600
BAY,20190718,38.25,38.25,38,38,293400
BBL,20190718,193,193.5,192,192.5,4727700
BCH,20190718,15.1,15.6,15.1,15.3,40432000
BCP,20190718,30.75,31,30.5,31,2262300
BCPG,20190718,18.7,19.2,18.7,19.1,12656900
BCT,20190718,47,47,46.25,46.75,9100
BDMS,20190718,24.7,25.25,24.7,24.9,22001100
BEAUTY,20190718,3.9,4.02,3.88,3.96,55065900
BEC,20190718,9.8,10.1,9.75,9.9,11586200
BEM,20190718,10.4,10.7,10.3,10.6,123952100
BFIT,20190718,17.9,18,17.8,17.8,169700
BGC,20190718,13.3,13.4,12.8,13,6003200
BGRIM,20190718,35,35.75,34.75,35.5,7478400
BGT,20190718,1.04,1.04,1.02,1.03,455800
BH,20190718,173,174,172.5,172.5,732200
BIG,20190718,1.07,1.1,1.05,1.1,3794900
BIZ,20190718,2.58,2.6,2.56,2.58,62000
BJC,20190718,49.75,50.5,49.75,50,3194000
BJCHI,20190718,2.54,2.58,2.48,2.54,1079600
BKD,20190718,2.86,2.88,2.84,2.86,43200
BKI,20190718,331,332,331,331,18800
BKKCP,20190718,13.1,13.2,13.1,13.2,104000
BLA,20190718,25.75,26,25.5,25.75,752500
BLAND,20190718,1.74,1.75,1.74,1.74,8281200
BLISS,20190718,0.13,0.14,0.13,0.14,14067300
BM,20190718,2.16,2.16,2.12,2.12,49500
BOFFICE,20190718,15.3,15.7,15.2,15.7,190000
BOL,20190718,2.54,2.6,2.52,2.56,226100
BPP,20190718,22,22.1,21.8,22.1,5674000
BR,20190718,3.26,3.3,3.22,3.22,1391500
BROOK,20190718,0.53,0.54,0.52,0.52,2845100
BRR,20190718,6.05,6.1,6.05,6.1,58800
BRRGIF,20190718,9.8,9.8,9.75,9.8,14600
BSBM,20190718,0.9,0.9,0.89,0.89,33200
BSM,20190718,0.44,0.44,0.43,0.44,367400
BTNC,20190718,17.4,17.4,17.4,17.4,1000
BTS,20190718,12.6,12.8,12.6,12.6,21292500
BTSGIF,20190718,11,11.3,11,11.1,9772900
BTW,20190718,1.43,1.45,1.43,1.44,40200
BUI,20190718,12.2,12.4,12.1,12.4,18000
BWG,20190718,0.89,0.9,0.89,0.89,1264000
CAZ,20190718,2.36,2.4,2.34,2.4,580900
CBG,20190718,74.25,75.75,73.75,74.75,1604600
