<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190613,11.19,11.25,11.19,11.25,15200
BMSCG,20190613,8.34,8.38,8.33,8.38,22900
BMSCITH,20190613,12.65,12.68,12.59,12.67,236200
BSET100,20190613,10.76,10.81,10.74,10.81,225500
CHINA,20190613,5.28,5.31,5.28,5.3,18100
ECOMM,20190613,8.6,8.67,8.6,8.67,15700
EICT,20190613,4,4.85,4,4.85,200
ESET50,20190613,5.87,5.87,5.87,5.87,1000
GLD,20190613,1.76,1.76,1.74,1.75,18400
TDEX,20190613,10.9,10.95,10.9,10.95,112800
TGOLDETF,20190613,3.85,3.85,3.84,3.85,23800
2S,20190613,2.22,2.26,2.22,2.24,243200
7UP,20190613,0.24,0.24,0.23,0.24,2636900
A,20190613,6.35,6.35,6.35,6.35,13000
AAV,20190613,4.02,4.06,4.02,4.02,5887400
ABICO,20190613,4.02,4.1,4,4.1,35300
ABM,20190613,0.86,0.87,0.86,0.87,33600
ABPIF,20190613,5.95,6,5.95,6,80900
ACAP,20190613,3.28,3.32,3.28,3.3,395500
ACC,20190613,0.7,0.7,0.69,0.7,138700
ADB,20190613,0.84,0.85,0.83,0.84,366800
ADVANC,20190613,197.5,199,196.5,199,6503800
AEC,20190613,0.54,0.55,0.5,0.53,9776100
AEONTS,20190613,219,220,217,217,168600
AF,20190613,0.71,0.71,0.69,0.69,42300
AGE,20190613,0.94,0.99,0.94,0.96,3533600
AH,20190613,19.6,19.6,19.3,19.3,409000
AHC,20190613,16.5,16.5,16.3,16.4,24000
AI,20190613,1.43,1.43,1.4,1.41,51148700
AIE,20190613,0.74,0.74,0.71,0.71,81506300
AIMIRT,20190613,12.6,12.6,12.5,12.6,125800
AIRA,20190613,1.3,1.3,1.3,1.3,92600
AIT,20190613,22.1,22.5,22.1,22.4,307700
AJ,20190613,9.15,9.15,9,9.05,39100
AJA,20190613,0.21,0.21,0.2,0.2,2977200
AKP,20190613,1.44,1.46,1.43,1.46,299900
AKR,20190613,0.7,0.71,0.69,0.71,2939300
ALL,20190613,4.36,4.44,4.36,4.36,6557600
ALLA,20190613,1.37,1.37,1.35,1.37,1145700
ALT,20190613,2.8,2.82,2.72,2.74,50900
AMA,20190613,5.55,6.05,5.5,5.95,6839100
AMANAH,20190613,1.7,1.7,1.67,1.7,4285800
AMARIN,20190613,4.98,4.98,4.98,4.98,3600
AMATA,20190613,23,23.3,22.8,23.2,9171600
AMATAR,20190613,11.7,11.7,11.7,11.7,100
AMATAV,20190613,5,5,4.96,4.96,142900
AMC,20190613,1.65,1.76,1.62,1.76,209800
ANAN,20190613,3.82,3.84,3.76,3.78,8775800
AOT,20190613,66.25,67,66,66.5,15980500
AP,20190613,7.9,7.95,7.8,7.85,5162600
APCO,20190613,3.8,3.8,3.74,3.76,92700
APEX,20190613,0.19,0.2,0.19,0.2,2083400
APURE,20190613,1.39,1.39,1.37,1.38,160300
AQ,20190613,0.03,0.03,0.02,0.03,12982800
AQUA,20190613,0.51,0.51,0.5,0.51,15221100
ARIP,20190613,0.45,0.45,0.43,0.45,65500
ARROW,20190613,8.35,8.5,8.35,8.5,184500
AS,20190613,0.85,0.93,0.8,0.8,997400
ASAP,20190613,2.8,2.8,2.76,2.78,1654300
ASEFA,20190613,4.82,4.82,4.78,4.82,148500
ASIAN,20190613,7.45,7.55,7.35,7.45,649000
ASIMAR,20190613,1.68,1.71,1.68,1.7,140700
ASK,20190613,24.1,24.3,24.1,24.1,104200
ASN,20190613,4.34,4.34,4.04,4.1,11100
ASP,20190613,2.62,2.66,2.6,2.64,3487400
ATP30,20190613,1.35,1.38,1.34,1.36,2164300
AU,20190613,10.9,11,10.6,10.8,2252200
AUCT,20190613,6.9,6.95,6.8,6.8,2258100
AYUD,20190613,40.25,40.5,40.25,40.25,3500
B,20190613,0.6,0.62,0.57,0.58,1506300
B-WORK,20190613,11.3,11.5,11.3,11.5,581500
B52,20190613,0.29,0.29,0.28,0.29,900100
BA,20190613,11.4,11.4,11.2,11.3,123900
BAFS,20190613,35.5,35.75,35.25,35.75,85600
BANPU,20190613,14.8,14.9,14.3,14.5,92528300
BAY,20190613,38.25,38.75,38.25,38.75,469400
BBL,20190613,199.5,201,199,199.5,3198300
BCH,20190613,16.8,16.8,16.5,16.7,4165700
BCP,20190613,29.5,29.75,29.25,29.75,2109700
BCPG,20190613,18.1,18.5,18.1,18.5,9445800
BCT,20190613,47,47.25,46.5,46.75,3500
BDMS,20190613,26,26.25,25.75,26,34180100
BEAUTY,20190613,4.42,4.52,4.4,4.42,250186300
BEC,20190613,9.25,9.5,9.25,9.45,22874500
BEM,20190613,11.3,11.5,11,11.3,257387900
BFIT,20190613,19.1,19.1,18.2,18.3,559200
BGC,20190613,11.7,11.7,11.4,11.5,569100
BGRIM,20190613,33.5,33.75,33.25,33.5,8745400
BGT,20190613,1,1.01,0.99,1,15000
BH,20190613,172,173.5,171.5,173.5,741800
BIG,20190613,1.12,1.14,1.11,1.12,7093000
BIZ,20190613,2.52,2.56,2.52,2.56,72300
BJC,20190613,49,49.5,48.5,49.25,4877800
BJCHI,20190613,2.18,2.36,2.18,2.36,1972700
BKD,20190613,2.88,2.9,2.86,2.9,50200
BKI,20190613,326,326,326,326,300
BKKCP,20190613,13,13,13,13,9900
BLA,20190613,28.5,28.5,28.25,28.25,264400
BLAND,20190613,1.65,1.65,1.63,1.64,13608400
BM,20190613,2.16,2.18,2.16,2.18,57200
BOFFICE,20190613,15.3,15.3,15,15,70300
BOL,20190613,2.4,2.4,2.36,2.4,168200
BPP,20190613,20.4,20.8,20.3,20.6,3315700
BR,20190613,3.1,3.1,3.06,3.08,607000
BROCK,20190613,2,2,1.99,1.99,5200
BROOK,20190613,0.49,0.54,0.48,0.54,20203900
BRR,20190613,6.2,6.2,6.1,6.2,30800
BRRGIF,20190613,9.6,9.6,9.55,9.6,29500
BSBM,20190613,0.9,0.93,0.9,0.93,846900
BSM,20190613,0.49,0.5,0.48,0.5,871700
BTS,20190613,11.6,11.7,11.5,11.7,53479600
BTSGIF,20190613,10.8,10.9,10.7,10.8,6649400
