<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190401,11.3,11.3,11.25,11.25,2900
BMSCG,20190401,8.05,8.13,8.05,8.13,12600
BMSCITH,20190401,12.43,12.45,12.41,12.41,285000
BSET100,20190401,10.55,10.57,10.54,10.55,675700
CHINA,20190401,5.86,5.93,5.86,5.9,128100
EBANK,20190401,5.55,5.55,5.55,5.55,100
EICT,20190401,4.65,4.65,4.65,4.65,100
ENGY,20190401,6.37,6.37,6.36,6.36,200
ENY,20190401,7.47,7.47,7.47,7.47,100
GLD,20190401,1.75,1.75,1.73,1.74,132500
TDEX,20190401,10.75,10.79,10.75,10.77,433100
TGOLDETF,20190401,3.8,3.82,3.8,3.81,47400
2S,20190401,2.22,2.34,2.22,2.34,372800
7UP,20190401,0.31,0.31,0.3,0.31,1467300
A,20190401,6.3,6.35,6.3,6.35,12000
AAV,20190401,4.1,4.12,4.08,4.1,7509000
ABICO,20190401,4.26,4.28,4.26,4.26,39600
ABM,20190401,0.93,0.94,0.92,0.94,55900
ABPIF,20190401,5.55,5.6,5.55,5.6,294700
ACAP,20190401,4.02,4.04,3.96,3.98,268400
ACC,20190401,0.72,0.73,0.71,0.72,1370000
ADB,20190401,0.85,0.89,0.84,0.89,661500
ADVANC,20190401,185,186,184.5,185,3064100
AEC,20190401,0.49,0.5,0.49,0.5,240400
AEONTS,20190401,184,186.5,183,185.5,305600
AF,20190401,0.63,0.66,0.63,0.66,7300
AFC,20190401,8.8,8.8,8.8,8.8,10900
AGE,20190401,0.91,0.91,0.89,0.89,104900
AH,20190401,19.6,19.7,19.3,19.4,680000
AHC,20190401,17.1,17.1,17,17,2700
AIMIRT,20190401,11.2,11.3,11.2,11.3,376100
AIRA,20190401,1.46,1.46,1.44,1.46,15900
AIT,20190401,21.6,21.8,21.6,21.8,52900
AJ,20190401,7.8,8.15,7.8,8.15,120900
AJA,20190401,0.21,0.22,0.2,0.21,6664900
AKP,20190401,1.89,1.89,1.87,1.87,611100
AKR,20190401,0.81,0.81,0.8,0.8,474700
ALLA,20190401,1.74,1.76,1.67,1.74,13894000
ALT,20190401,2.98,3,2.98,2.98,24400
ALUCON,20190401,178,178.5,178,178.5,500
AMA,20190401,4.38,4.38,4.36,4.38,38500
AMANAH,20190401,1.67,1.68,1.67,1.67,1029900
AMARIN,20190401,5,5,4.98,4.98,8500
AMATA,20190401,21.2,21.6,21.2,21.5,16955300
AMATAR,20190401,11.2,11.3,11.2,11.2,74700
AMATAV,20190401,5.25,5.25,5,5.15,52100
AMC,20190401,1.76,1.77,1.75,1.77,25600
ANAN,20190401,3.62,3.62,3.58,3.6,2110400
AOT,20190401,68.25,68.25,67.25,67.25,15614000
AP,20190401,7.1,7.15,7.05,7.1,6799900
APCO,20190401,4.12,4.16,4.1,4.12,121500
APCS,20190401,4.66,4.66,4.64,4.66,96900
APEX,20190401,0.2,0.2,0.19,0.2,983100
APURE,20190401,1.28,1.29,1.28,1.28,33500
AQ,20190401,0.03,0.03,0.02,0.03,42146500
AQUA,20190401,0.49,0.5,0.49,0.49,23023800
