<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190731,11.39,11.39,11.21,11.22,11900
BMSCG,20190731,8.78,8.79,8.78,8.78,14900
BMSCITH,20190731,12.43,12.51,12.43,12.49,375800
BSET100,20190731,10.96,11.02,10.96,11.02,58000
CHINA,20190731,5.46,5.46,4.56,5.46,1293000
ECOMM,20190731,9.03,9.03,9.03,9.03,100
EICT,20190731,5.29,5.29,5.29,5.29,100
ENGY,20190731,6.48,6.48,6.48,6.48,800
ENY,20190731,7.52,7.52,7.52,7.52,200
ESET50,20190731,5.97,5.99,5.97,5.99,700
GLD,20190731,1.83,1.85,1.83,1.85,44900
TDEX,20190731,11.15,11.17,11.15,11.17,35500
TGOLDETF,20190731,4.05,4.05,4.04,4.05,135700
2S,20190731,2.28,2.28,2.24,2.28,71300
7UP,20190731,0.36,0.4,0.36,0.38,3983600
A,20190731,6.3,6.3,6.25,6.25,14200
A5,20190731,1.47,1.5,1.31,1.5,2166700
AAV,20190731,3.88,3.88,3.8,3.84,13470100
ABICO,20190731,4.44,4.54,4.44,4.52,135900
ABM,20190731,0.96,0.96,0.94,0.94,10300
ABPIF,20190731,6.3,6.35,6.3,6.35,54300
ACAP,20190731,2.7,2.7,2.6,2.62,1466900
ACC,20190731,0.7,0.7,0.68,0.68,553000
ACG,20190731,1.52,1.56,1.52,1.52,2563600
ADB,20190731,0.77,0.77,0.72,0.75,416000
ADVANC,20190731,214,216,213,213,3791900
AEC,20190731,0.5,0.52,0.49,0.5,296300
AEONTS,20190731,229,237,225,237,726300
AF,20190731,0.68,0.68,0.67,0.68,77200
AGE,20190731,0.95,1,0.94,0.99,7121300
AH,20190731,18.8,18.8,18.6,18.7,91400
AHC,20190731,14.8,16.1,14.8,15.5,176100
AI,20190731,1.39,1.4,1.36,1.37,5431200
AIE,20190731,0.67,0.67,0.65,0.66,4038400
AIMCG,20190731,9.85,9.85,9.8,9.85,732900
AIMIRT,20190731,12.2,12.4,12.2,12.3,830300
AIRA,20190731,1.31,1.34,1.31,1.34,4100
AIT,20190731,23.8,24.2,23.8,24.2,967800
AJ,20190731,8.8,9,8.7,9,41300
AJA,20190731,0.2,0.21,0.2,0.21,813300
AKP,20190731,1.59,1.6,1.57,1.57,1186800
AKR,20190731,0.8,0.83,0.8,0.8,4199600
ALL,20190731,4.68,4.76,4.5,4.52,6348100
ALLA,20190731,1.48,1.49,1.45,1.45,824500
ALT,20190731,2.84,2.9,2.8,2.82,48700
ALUCON,20190731,169.5,169.5,168.5,168.5,4000
AMA,20190731,8.45,8.45,8.15,8.35,2123900
AMANAH,20190731,2.34,2.44,2.32,2.42,14688000
AMARIN,20190731,4.98,4.98,4.98,4.98,100
AMATA,20190731,23.8,24.2,23.8,24.1,6264000
AMATAR,20190731,12,12.1,12,12.1,17200
AMATAV,20190731,4.9,4.9,4.84,4.86,1117100
AMC,20190731,1.7,1.7,1.69,1.7,28700
ANAN,20190731,3.6,3.62,3.56,3.58,7304600
AOT,20190731,71.75,72.25,71.5,72,12864000
AP,20190731,7.5,7.7,7.5,7.65,6733600
APCO,20190731,3.64,3.68,3.6,3.64,51200
APCS,20190731,4.34,4.5,4.34,4.46,755400
APEX,20190731,0.18,0.19,0.18,0.19,560000
APURE,20190731,1.4,1.4,1.35,1.36,918300
AQ,20190731,0.02,0.03,0.02,0.03,19163000
AQUA,20190731,0.56,0.58,0.56,0.57,6029700
ARIN,20190731,0.94,0.94,0.89,0.91,11609900
ARIP,20190731,0.49,0.5,0.49,0.49,78400
ARROW,20190731,8.4,8.45,8.4,8.4,36900
AS,20190731,0.72,0.75,0.7,0.75,122800
ASAP,20190731,3.32,3.32,3.22,3.24,763900
ASEFA,20190731,5.2,5.2,5.15,5.2,68600
ASIA,20190731,6.9,6.9,6.7,6.7,65700
ASIAN,20190731,6.95,7,6.8,6.9,949400
ASIMAR,20190731,1.88,1.89,1.88,1.89,196500
ASK,20190731,25,25,24.9,24.9,169500
ASN,20190731,5.5,5.95,5.5,5.95,26600
ASP,20190731,2.78,2.8,2.76,2.78,935000
ATP30,20190731,1.49,1.5,1.47,1.47,812400
AU,20190731,16.5,17.4,16.4,17.1,2688100
AUCT,20190731,7.15,7.35,7.15,7.3,1402400
AYUD,20190731,41,41.75,41,41.75,8200
B,20190731,0.56,0.56,0.53,0.53,8541400
B-WORK,20190731,12.1,12.4,12.1,12.2,124000
B52,20190731,0.2,0.21,0.2,0.2,418500
BA,20190731,10.7,10.8,10.6,10.7,822200
BAFS,20190731,35.5,36.25,35.5,36.25,215200
BANPU,20190731,14.3,14.5,14.3,14.3,12434200
BAT-3K,20190731,216,220,216,220,300
BAY,20190731,39.5,39.5,39,39.25,418900
BBL,20190731,182,183.5,181.5,181.5,6395200
BCH,20190731,15.3,15.6,15.3,15.4,6244100
BCP,20190731,30.5,30.75,30,30.25,4435600
BCPG,20190731,19.8,19.9,19.6,19.7,6448300
BCT,20190731,47.5,47.75,46.25,47.75,9100
BDMS,20190731,24.8,25.25,24.7,25,20374400
BEAUTY,20190731,3.78,3.8,3.72,3.74,34889300
BEC,20190731,10.2,10.2,9.95,9.95,10738500
BEM,20190731,10.5,10.5,10.3,10.5,41575900
BFIT,20190731,17.7,17.9,17.7,17.7,61700
BGC,20190731,12.5,12.8,12.5,12.6,1837000
BGRIM,20190731,35.25,36,35.25,35.5,5584100
BGT,20190731,1.06,1.06,1.02,1.04,23500
BH,20190731,170,171.5,169,170.5,713700
BIG,20190731,1.22,1.25,1.21,1.24,18018200
BIZ,20190731,2.58,2.68,2.56,2.68,343000
BJC,20190731,51,51.75,50.75,51.75,6111400
BJCHI,20190731,2.7,2.72,2.66,2.66,1572900
BKD,20190731,2.86,2.92,2.84,2.84,799100
BKI,20190731,334,334,329,329,1700
BKKCP,20190731,13.5,13.5,13.5,13.5,25600
BLA,20190731,25.75,26,25.25,26,509800
BLAND,20190731,1.71,1.72,1.7,1.72,30208300
BLISS,20190731,0.11,0.14,0.11,0.14,258644500
BM,20190731,2.4,2.4,2.34,2.36,27600
BOFFICE,20190731,15.3,15.4,15.2,15.3,99100
BOL,20190731,2.64,2.64,2.58,2.6,165800
BPP,20190731,22.2,22.3,22.1,22.1,747100
BR,20190731,3.34,3.34,3.28,3.28,248100
BROCK,20190731,2.02,2.02,1.99,1.99,72500
BROOK,20190731,0.52,0.53,0.51,0.52,1059200
BRR,20190731,6,6,6,6,89000
BRRGIF,20190731,9.8,9.8,9.75,9.8,11200
BSBM,20190731,0.9,0.9,0.9,0.9,3300
BSM,20190731,0.4,0.4,0.38,0.4,1406700
BTNC,20190731,17.1,17.1,17.1,17.1,200
BTS,20190731,12.1,12.5,12.1,12.4,29857100
BTSGIF,20190731,11.1,11.1,11,11,525400
BTW,20190731,1.43,1.44,1.41,1.44,3100
BUI,20190731,12.5,12.6,12,12,314000
BWG,20190731,0.86,0.87,0.85,0.86,4409800
CAZ,20190731,2.4,2.44,2.38,2.42,1482500
CBG,20190731,77.5,78.5,76.5,78.25,2110300
CCET,20190731,1.75,1.75,1.74,1.75,1385300
CCP,20190731,0.36,0.37,0.36,0.36,276800
CEN,20190731,1.04,1.04,1.03,1.04,537800
CENTEL,20190731,34,34.25,34,34,1113500
CFRESH,20190731,2.98,3,2.94,2.96,106500
CGD,20190731,1.06,1.06,1.03,1.05,3344300
CGH,20190731,0.86,0.87,0.86,0.87,794400
CHARAN,20190731,31.75,32,31.75,32,500
CHAYO,20190731,4.88,5,4.88,4.96,1889100
CHEWA,20190731,0.81,0.81,0.8,0.8,756900
CHG,20190731,2.38,2.4,2.32,2.38,25421700
CHO,20190731,0.96,0.96,0.93,0.94,1800900
CHOW,20190731,2.36,2.36,2.28,2.28,219300
CHUO,20190731,0.19,0.19,0.15,0.19,4617300
CI,20190731,1.25,1.25,1.23,1.24,231400
CIG,20190731,0.24,0.25,0.24,0.25,554800
CIMBT,20190731,0.71,0.72,0.71,0.72,61400
CITY,20190731,2.24,2.24,2.22,2.24,35600
CK,20190731,27,27.25,26.75,27,2600100
CKP,20190731,6.65,6.85,6.65,6.7,26510000
CM,20190731,3.68,3.68,3.6,3.6,100600
CMAN,20190731,2.64,2.68,2.56,2.56,3979800
CMC,20190731,1.29,1.3,1.28,1.29,235500
CMO,20190731,1.44,1.45,1.42,1.42,753600
CMR,20190731,2.36,2.36,2.34,2.36,27200
CNS,20190731,1.79,1.79,1.78,1.79,39100
CNT,20190731,2.04,2.1,2.02,2.1,584100
COL,20190731,23.9,24.4,23.9,24,97700
COLOR,20190731,1.28,1.28,1.25,1.25,1949200
COM7,20190731,23.9,25.5,23.9,25.25,16883600
COMAN,20190731,3.18,3.84,3.18,3.2,6597200
COTTO,20190731,2.02,2.02,2,2.02,96900
CPALL,20190731,86.75,87.25,86.25,86.75,22978400
CPF,20190731,27.25,28,27,27.75,31596000
CPH,20190731,4.72,4.84,4.72,4.84,5700
CPI,20190731,1.45,1.45,1.45,1.45,2500
