<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190130,11.25,11.27,11.25,11.27,7300
BMSCG,20190130,7.97,7.98,7.91,7.98,79700
BMSCITH,20190130,12.34,12.38,12.3,12.38,298300
BSET100,20190130,10.36,10.4,10.34,10.4,575600
CHINA,20190130,4.7,4.99,4.7,4.99,6700
EBANK,20190130,5.62,5.62,5.6,5.6,200
ECOMM,20190130,8.34,8.34,8.34,8.34,1000
EFOOD,20190130,5.65,5.65,5.63,5.63,700
EICT,20190130,4.35,4.38,4.35,4.38,300
ENY,20190130,7.23,7.23,7.23,7.23,1400
GLD,20190130,1.75,1.76,1.75,1.76,115300
TDEX,20190130,10.8,10.8,10.73,10.79,90500
TGOLDETF,20190130,3.82,3.83,3.82,3.83,15600
TH100,20190130,4.99,4.99,4.99,4.99,300
2S,20190130,2.36,2.4,2.34,2.34,141000
7UP,20190130,0.41,0.41,0.39,0.39,1834700
A,20190130,6.4,6.45,6.4,6.45,14400
AAV,20190130,4.06,4.28,4.06,4.28,38661900
ABICO,20190130,4.4,5.5,4.32,5.2,6485300
ABM,20190130,0.89,0.91,0.88,0.88,372900
ABPIF,20190130,6.5,6.5,6.4,6.5,151900
ACAP,20190130,4.54,4.78,4.26,4.4,13417800
ACC,20190130,0.5,0.5,0.49,0.5,404300
ADB,20190130,0.91,0.91,0.89,0.89,76900
ADVANC,20190130,179.5,180.5,178,179,6640100
AEC,20190130,0.46,0.46,0.45,0.46,77400
AEONTS,20190130,172.5,173.5,172,172.5,58600
AF,20190130,0.64,0.68,0.64,0.64,15100
AGE,20190130,0.99,1,0.99,1,114000
AH,20190130,21.9,22.2,21.5,21.6,1787700
AHC,20190130,17,17.1,17,17.1,6500
AIMIRT,20190130,10.3,10.4,10.3,10.4,154000
AIRA,20190130,1.49,1.54,1.48,1.48,40300
AIT,20190130,20.1,20.2,20.1,20.1,63900
AJ,20190130,8,8.05,8,8,77700
AJA,20190130,0.28,0.29,0.27,0.28,5038600
AKP,20190130,1.9,1.91,1.89,1.91,36000
AKR,20190130,0.87,0.89,0.85,0.87,5690500
ALLA,20190130,1.37,1.38,1.37,1.37,155500
ALT,20190130,3.4,3.48,3.32,3.44,109400
ALUCON,20190130,178.5,178.5,177,177,300
AMA,20190130,4.36,4.66,4.32,4.56,4214300
AMANAH,20190130,1.63,1.73,1.63,1.69,9767700
AMARIN,20190130,5,5,4.98,5,120200
AMATA,20190130,22.8,22.9,22.5,22.6,22277700
AMATAR,20190130,10.9,10.9,10.9,10.9,30500
AMATAV,20190130,4.72,4.78,4.72,4.78,217400
AMC,20190130,1.84,1.87,1.84,1.87,28000
ANAN,20190130,3.46,3.52,3.46,3.48,3437100
AOT,20190130,69.25,69.75,68.75,69.75,20005300
AP,20190130,6.85,6.95,6.75,6.8,6955800
APCO,20190130,4.18,4.2,4.16,4.16,39100
APCS,20190130,4.7,4.82,4.7,4.82,159800
