<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20191024,10.49,10.49,10.39,10.41,38600
ABFTH,20191024,1404,1404,1404,1404,100
BMSCG,20191024,7.85,7.88,7.81,7.82,26900
BMSCITH,20191024,11.84,11.85,11.72,11.75,356100
BSET100,20191024,10.5,10.51,10.42,10.43,223700
CHINA,20191024,5.46,5.46,5.32,5.34,26000
EBANK,20191024,4.9,4.9,4.85,4.88,9900
ENGY,20191024,6.48,6.54,6.48,6.54,10300
ENY,20191024,7.37,7.37,7.36,7.36,4900
GLD,20191024,1.92,1.92,1.89,1.91,51000
TDEX,20191024,10.78,10.88,10.77,10.78,292200
TGOLDETF,20191024,4.16,4.17,4.15,4.15,35000
TH100,20191024,4.72,4.72,4.72,4.72,200
2S,20191024,2.28,2.28,2.26,2.28,154500
7UP,20191024,0.51,0.53,0.51,0.51,4546600
A,20191024,6.25,6.25,6.2,6.25,10600
AAV,20191024,2.7,2.72,2.62,2.66,7551900
ABICO,20191024,4,4.16,3.98,4.1,9100
ABM,20191024,0.84,0.87,0.83,0.83,104900
ABPIF,20191024,4.82,4.82,4.8,4.82,225600
ACAP,20191024,1.61,1.67,1.61,1.64,3259700
ACC,20191024,0.68,0.68,0.65,0.65,118600
ACG,20191024,1.14,1.14,1.13,1.13,113600
ADB,20191024,0.61,0.61,0.6,0.6,395000
ADVANC,20191024,233,235,231,233,5182800
AEC,20191024,0.34,0.36,0.33,0.33,653100
AEONTS,20191024,211,212,209,212,430900
AF,20191024,0.64,0.64,0.64,0.64,2900
AFC,20191024,6.8,6.8,6.8,6.8,100
AGE,20191024,0.97,0.97,0.95,0.96,2774900
AH,20191024,15.8,15.9,15.6,15.7,189700
AI,20191024,1.13,1.14,1.11,1.11,4644200
AIE,20191024,0.37,0.38,0.36,0.37,3365600
AIMCG,20191024,10,10,9.95,9.95,288200
AIMIRT,20191024,14.8,14.8,14.2,14.4,1653700
AIRA,20191024,1.29,1.29,1.28,1.28,101700
AIT,20191024,20.4,20.4,20.1,20.1,205700
AJA,20191024,0.17,0.18,0.16,0.16,2676200
AKP,20191024,1.27,1.28,1.27,1.27,877300
AKR,20191024,0.71,0.72,0.69,0.7,1459500
ALL,20191024,4.52,4.54,4.44,4.46,2057600
ALLA,20191024,1.14,1.14,1.13,1.14,133100
ALT,20191024,2.16,2.18,2.04,2.18,215200
ALUCON,20191024,159,160,158.5,158.5,500
AMA,20191024,6.95,7.05,6.6,6.6,766800
AMANAH,20191024,3.14,3.18,3.04,3.06,20057100
AMARIN,20191024,4.76,4.76,4.68,4.72,8100
AMATA,20191024,25.75,26,25,25.25,4034300
AMATAR,20191024,12.7,12.7,12.6,12.7,71500
AMATAV,20191024,4.88,4.9,4.86,4.9,196400
AMC,20191024,1.8,1.81,1.79,1.8,11100
ANAN,20191024,3.12,3.14,3.06,3.08,2872700
AOT,20191024,77.25,78.25,76.75,78,34292300
AP,20191024,6.75,6.95,6.7,6.8,7322800
APCO,20191024,3.34,3.34,3.28,3.34,53600
APCS,20191024,3.92,3.92,3.86,3.9,41000
APEX,20191024,0.15,0.15,0.14,0.15,1910100
APURE,20191024,0.79,0.79,0.77,0.78,164100
AQ,20191024,0.02,0.02,0.01,0.02,7872500
AQUA,20191024,0.46,0.47,0.45,0.46,4369200
ARIN,20191024,0.63,0.63,0.61,0.61,369700
ARIP,20191024,0.46,0.46,0.44,0.44,248200
ARROW,20191024,8.45,8.55,8.45,8.45,104100
AS,20191024,0.81,0.81,0.81,0.81,4100
ASAP,20191024,2.3,2.36,2.28,2.28,559400
ASEFA,20191024,4.52,4.52,4.4,4.46,93300
ASIA,20191024,6.4,6.4,6.35,6.35,7700
ASIAN,20191024,5.65,5.7,5.6,5.6,286200
ASIMAR,20191024,1.38,1.4,1.37,1.37,35500
ASK,20191024,25.75,26,25.75,25.75,68800
ASN,20191024,6.8,6.8,6.5,6.7,52400
ASP,20191024,1.7,1.72,1.7,1.71,7621900
ATP30,20191024,1.37,1.37,1.35,1.36,127400
AU,20191024,12.4,12.5,12,12,2072400
AUCT,20191024,8.75,8.95,8.65,8.75,1547300
AWC,20191024,6.25,6.3,6,6.05,290290100
AYUD,20191024,39.75,40,39.25,39.75,4400
B,20191024,0.28,0.28,0.27,0.27,1291400
B-WORK,20191024,12.8,12.9,12.8,12.9,110700
B52,20191024,0.2,0.22,0.2,0.21,25544200
BA,20191024,8.1,8.15,7.75,7.85,2098200
BAFS,20191024,32.5,32.5,32.25,32.5,85100
BANPU,20191024,11.8,11.9,11.6,11.8,36703200
BAT-3K,20191024,240,240,238,238,5600
BAY,20191024,32.75,33,32.25,32.5,181100
BBL,20191024,169,170.5,161,164,15773000
BCH,20191024,16.3,16.8,16.3,16.7,32812200
BCP,20191024,25.25,25.5,24.4,24.5,5473600
BCPG,20191024,19.6,19.6,19.1,19.2,17415700
BCT,20191024,42,42.5,41.75,42.25,6200
BDMS,20191024,23.5,23.8,23.5,23.8,45130500
BEAUTY,20191024,2.4,2.44,2.22,2.28,117044400
BEC,20191024,7.05,7.15,6.7,6.75,7966900
BEM,20191024,10.7,10.7,10.6,10.6,37560100
BFIT,20191024,33.75,38.75,33.75,37.5,11564500
BGC,20191024,16.3,16.6,15.5,15.7,5690800
BGRIM,20191024,51.25,52.75,51,52.25,31456100
BGT,20191024,1.05,1.06,1.01,1.02,254400
BH,20191024,119,121.5,119,120.5,984600
BIG,20191024,0.6,0.61,0.58,0.58,4175800
BIZ,20191024,2.66,2.66,2.6,2.6,134200
BJC,20191024,50.75,51,49.5,49.75,5643300
BJCHI,20191024,2.28,2.3,2.24,2.24,180600
BKD,20191024,2.76,2.8,2.76,2.8,25400
BKI,20191024,317,317,315,315,900
BKKCP,20191024,13.8,14,13.8,13.9,11400
BLA,20191024,19,19,18,18.2,1310300
BLAND,20191024,1.47,1.48,1.44,1.45,12586300
BM,20191024,2.02,2.02,1.99,1.99,57400
BOFFICE,20191024,17.3,17.3,17.1,17.3,82500
BOL,20191024,3.14,3.16,3.12,3.14,154100
BPP,20191024,18.4,18.7,17.9,18.2,4050200
BR,20191024,2.78,2.78,2.7,2.7,1532400
BROCK,20191024,1.85,1.85,1.83,1.83,58800
BROOK,20191024,0.43,0.44,0.43,0.44,229300
BRR,20191024,4.4,4.44,4.38,4.44,49300
BRRGIF,20191024,8.8,8.85,8.75,8.8,82500
BSBM,20191024,0.87,0.88,0.87,0.88,700
BSM,20191024,0.4,0.41,0.39,0.39,734200
BTNC,20191024,15.3,15.3,15.3,15.3,500
BTS,20191024,13.6,13.7,13.4,13.6,30235300
BTSGIF,20191024,11.1,11.1,11,11.1,1105500
BTW,20191024,1.06,1.07,1.04,1.05,37300
BWG,20191024,0.55,0.56,0.54,0.54,5902300
CAZ,20191024,2.26,2.28,2.14,2.14,1458600
CBG,20191024,87.25,87.5,86.5,87.5,2353100
CCET,20191024,1.73,1.74,1.7,1.74,561700
CCP,20191024,0.32,0.32,0.31,0.32,759400
CEN,20191024,0.78,0.79,0.77,0.77,3300
CENTEL,20191024,30,30.25,29.5,30,1758000
CFRESH,20191024,2.1,2.1,2,2.04,392500
CGD,20191024,0.96,0.97,0.96,0.97,788300
CGH,20191024,0.84,0.84,0.83,0.84,241700
CHARAN,20191024,23.2,23.2,22,22,500
CHAYO,20191024,4.86,5.05,4.86,4.98,6212200
CHEWA,20191024,0.65,0.65,0.64,0.65,195200
CHG,20191024,2.56,2.6,2.52,2.52,89040000
CHO,20191024,0.79,0.79,0.78,0.79,1082700
CHOTI,20191024,83.75,83.75,83.5,83.5,300
CHOW,20191024,1.74,1.74,1.67,1.67,132100
CI,20191024,0.9,0.9,0.9,0.9,10000
CIG,20191024,0.23,0.23,0.22,0.22,283400
CIMBT,20191024,0.61,0.61,0.59,0.6,792000
CITY,20191024,1.93,1.93,1.93,1.93,19500
CK,20191024,23.4,23.5,22.1,22.1,17568000
CKP,20191024,6.4,6.6,6.35,6.55,75203700
CM,20191024,3,3.02,3,3.02,62800
CMAN,20191024,1.79,1.82,1.76,1.8,458200
CMC,20191024,0.99,1,0.97,0.97,1014200
CMO,20191024,0.99,0.99,0.89,0.89,806000
CMR,20191024,2.2,2.2,2.18,2.18,72600
CNS,20191024,2.46,2.46,2.46,2.46,3001200
CNT,20191024,1.7,1.72,1.68,1.72,9500
COL,20191024,19,19.3,19,19.1,156900
COLOR,20191024,1.09,1.1,1.08,1.08,56800
COM7,20191024,29.25,29.75,28.75,29,6819100
COMAN,20191024,2.96,2.98,2.9,2.96,91000
COTTO,20191024,1.72,1.72,1.67,1.68,241000
CPALL,20191024,81.75,82,80.5,81,23946200
CPF,20191024,25.75,26,25.25,25.5,23262400
CPH,20191024,4,4,4,4,1900
CPI,20191024,1.48,1.48,1.46,1.47,72500
CPL,20191024,1.08,1.08,1.08,1.08,500
CPN,20191024,64.5,65.5,64.5,65.25,8051300
CPNCG,20191024,14.8,14.9,14.8,14.9,60900
CPNREIT,20191024,37,37,35.75,35.75,1978300
CPR,20191024,3.86,3.86,3.78,3.86,253400
CPT,20191024,0.93,0.93,0.9,0.9,753700
CPTGF,20191024,13.4,13.5,13.4,13.4,49500
CPW,20191024,2.52,2.54,2.36,2.36,18230500
CRANE,20191024,1.95,1.96,1.9,1.94,257900
CRD,20191024,0.88,0.88,0.87,0.88,44700
CRYSTAL,20191024,10.4,10.4,10.3,10.4,547500
CSC,20191024,46.5,46.5,46,46,2200
CSP,20191024,0.81,0.81,0.81,0.81,8900
CSS,20191024,1.42,1.42,1.38,1.38,1056500
CTARAF,20191024,5.75,5.8,5.75,5.8,148100
CTW,20191024,5.7,5.75,5.1,5.3,187700
