<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190619,11.25,11.34,11.25,11.33,52900
BMSCG,20190619,8.42,8.53,8.42,8.46,187400
BMSCITH,20190619,12.84,12.94,12.81,12.91,1732800
BSET100,20190619,10.97,11.08,10.95,11.06,1563800
CHINA,20190619,5.35,5.4,5.33,5.35,54900
ECOMM,20190619,8.83,8.83,8.83,8.83,100
EFOOD,20190619,6.04,6.04,6.04,6.04,20000
ENGY,20190619,6.35,6.37,6.35,6.37,2200
GLD,20190619,1.76,1.76,1.75,1.75,192400
TDEX,20190619,11.05,11.24,11.05,11.23,516200
TGOLDETF,20190619,3.87,3.88,3.87,3.87,28300
2S,20190619,2.2,2.22,2.2,2.22,47500
7UP,20190619,0.25,0.25,0.23,0.25,2162000
A,20190619,6.35,6.35,6.3,6.35,11200
AAV,20190619,4.02,4.06,4.02,4.04,11505000
ABICO,20190619,4.1,4.2,4,4.2,121600
ABM,20190619,0.87,0.88,0.86,0.87,162200
ABPIF,20190619,6.1,6.15,6.1,6.15,390200
ACAP,20190619,2.66,2.68,2.6,2.62,3378800
ACC,20190619,0.71,0.71,0.69,0.7,184800
ADB,20190619,0.83,0.84,0.83,0.83,345500
ADVANC,20190619,200,203,200,203,5905700
AEC,20190619,0.53,0.54,0.52,0.53,2506400
AEONTS,20190619,228,232,224,225,541400
AF,20190619,0.69,0.7,0.69,0.69,24800
AFC,20190619,8.1,8.1,8.05,8.05,23400
AGE,20190619,1.06,1.08,1.04,1.05,13410000
AH,20190619,19.6,19.8,19.3,19.5,577700
AHC,20190619,16.5,16.5,16.3,16.3,79400
AI,20190619,1.63,1.68,1.61,1.62,161483700
AIE,20190619,0.84,0.84,0.77,0.79,190397400
AIMIRT,20190619,12.8,12.9,12.8,12.8,504600
AIRA,20190619,1.3,1.35,1.3,1.32,32000
AIT,20190619,23,23.2,23,23.1,295500
AJ,20190619,9.45,9.55,9.4,9.55,33300
AJA,20190619,0.21,0.22,0.21,0.21,1588400
AKP,20190619,1.38,1.4,1.38,1.38,824200
AKR,20190619,0.76,0.77,0.75,0.75,2044700
ALL,20190619,4.54,4.54,4.48,4.52,5017600
ALLA,20190619,1.36,1.4,1.36,1.39,988400
ALT,20190619,2.96,3.06,2.96,2.96,548500
ALUCON,20190619,173.5,174.5,172,173,3200
AMA,20190619,6,6.3,6,6.1,3533800
AMANAH,20190619,1.71,1.79,1.7,1.79,17517200
AMARIN,20190619,5,5,4.94,4.96,14700
AMATA,20190619,24.2,24.5,24.2,24.2,18945100
AMATAR,20190619,12,12.1,12,12,1492100
AMATAV,20190619,5.05,5.15,5,5.1,420200
AMC,20190619,1.74,1.74,1.71,1.71,18600
ANAN,20190619,3.74,3.78,3.72,3.76,6378800
AOT,20190619,68.75,74.75,68.25,73.75,316825600
AP,20190619,7.9,7.95,7.85,7.85,4646500
APCO,20190619,3.82,3.82,3.74,3.8,36100
APCS,20190619,4.7,4.72,4.58,4.72,237300
APEX,20190619,0.19,0.19,0.18,0.19,3105400
APURE,20190619,1.36,1.39,1.36,1.37,87400
AQ,20190619,0.03,0.03,0.02,0.03,7972400
AQUA,20190619,0.51,0.52,0.51,0.52,6265000
ARIP,20190619,0.45,0.57,0.45,0.57,21922400
ARROW,20190619,8.4,8.45,8.4,8.45,156900
AS,20190619,0.8,0.87,0.8,0.8,311600
ASAP,20190619,2.9,2.9,2.74,2.82,2650700
ASEFA,20190619,4.84,4.94,4.84,4.88,374400
ASIA,20190619,7.3,7.3,7.2,7.25,9100
ASIAN,20190619,7.25,7.5,7.25,7.4,2198000
ASIMAR,20190619,1.74,2.06,1.73,1.84,9240200
ASK,20190619,24.4,24.4,24.3,24.4,105900
ASN,20190619,4.02,4.06,4.02,4.06,4200
ASP,20190619,2.7,2.72,2.68,2.7,4509100
ATP30,20190619,1.39,1.39,1.38,1.38,433500
AU,20190619,11.6,12,11.6,12,4525200
AUCT,20190619,6.65,6.9,6.55,6.65,5243600
AYUD,20190619,40.5,41.25,40.25,40.5,6400
B,20190619,0.57,0.58,0.55,0.57,1469000
B-WORK,20190619,11.4,11.5,11.4,11.5,1500
B52,20190619,0.29,0.3,0.29,0.3,78400
BA,20190619,11.3,11.5,11.2,11.4,799200
BAFS,20190619,35.75,36.25,35.5,36,634000
BANPU,20190619,14.7,14.9,14.6,14.7,46898900
BAY,20190619,38,38.75,38,38,859600
BBL,20190619,201,203,200,201,6072800
BCH,20190619,16.8,16.9,16.7,16.7,16275600
BCP,20190619,30,30.5,29.75,30,3684800
BCPG,20190619,19.4,19.6,19.3,19.4,17368500
BCT,20190619,47.5,47.5,47,47.25,9400
BDMS,20190619,26,26.25,25.75,25.75,35710500
BEAUTY,20190619,4.38,4.5,4.36,4.44,132625700
BEC,20190619,8.85,9.25,8.85,9.1,33811900
BEM,20190619,11.8,11.9,11.7,11.8,74860100
BFIT,20190619,18.6,19.2,18.6,19.1,797500
BGC,20190619,12.5,12.5,12,12.2,3782000
BGRIM,20190619,34.5,36,34.5,35.5,23664600
BGT,20190619,1,1.01,0.97,1.01,365700
BH,20190619,172,172,169,170,1328100
BIG,20190619,1.11,1.14,1.1,1.12,6808700
BIZ,20190619,2.6,2.6,2.56,2.56,94300
BJC,20190619,50,50.5,49.75,50,9019800
BJCHI,20190619,2.38,2.44,2.38,2.38,1886200
BKD,20190619,2.86,2.88,2.86,2.88,41000
BKI,20190619,327,331,326,331,7700
BKKCP,20190619,13,13,13,13,41200
BLA,20190619,28.25,28.5,28,28.25,530000
BLAND,20190619,1.64,1.65,1.63,1.64,15672300
BM,20190619,2.16,2.18,2.16,2.18,112700
BOFFICE,20190619,15.2,15.3,15.2,15.2,165100
BOL,20190619,2.38,2.38,2.34,2.38,556500
BPP,20190619,21.5,21.8,21.3,21.6,7828100
BR,20190619,3.1,3.16,3.1,3.12,2629100
BROCK,20190619,2,2,1.99,1.99,5000
BROOK,20190619,0.5,0.51,0.49,0.5,1731800
BRR,20190619,6.1,6.2,6.1,6.1,26300
BRRGIF,20190619,9.6,9.6,9.55,9.6,207400
BSBM,20190619,0.9,0.92,0.9,0.91,836700
BSM,20190619,0.5,0.5,0.48,0.49,3977700
BTS,20190619,11.8,12.2,11.7,12,196999600
BTSGIF,20190619,11,11,10.9,11,7615300
BTW,20190619,1.37,1.39,1.36,1.38,244400
BWG,20190619,0.93,0.96,0.93,0.95,16338300
CAZ,20190619,2.48,2.52,2.48,2.52,2136800
CBG,20190619,72.5,74.75,72.5,74.25,11429200
CCET,20190619,1.85,1.85,1.82,1.82,405100
