<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190715,11.51,11.55,11.51,11.53,9200
BMSCG,20190715,8.8,8.81,8.79,8.79,86400
BMSCITH,20190715,12.99,13.02,12.95,12.97,330300
BSET100,20190715,11.16,11.18,11.13,11.14,147200
CHINA,20190715,5.5,5.52,5.49,5.51,21700
ENGY,20190715,6.54,6.54,6.54,6.54,200700
ENY,20190715,7.3,7.68,7.3,7.68,7000
GLD,20190715,1.82,1.83,1.82,1.82,89200
TDEX,20190715,11.4,11.4,11.29,11.34,52400
TGOLDETF,20190715,4.03,4.03,4.01,4.03,39400
2S,20190715,2.22,2.24,2.2,2.24,68500
7UP,20190715,0.29,0.3,0.29,0.29,2557100
A,20190715,6.3,6.3,6.3,6.3,8200
A5,20190715,1.24,1.27,1.2,1.26,377400
AAV,20190715,3.96,3.98,3.94,3.94,12395000
ABICO,20190715,4.58,4.6,4.52,4.58,65200
ABM,20190715,0.93,0.95,0.92,0.95,358300
ABPIF,20190715,6.45,6.55,6.45,6.55,312400
ACAP,20190715,2.94,2.96,2.9,2.9,437600
ACC,20190715,0.69,0.69,0.69,0.69,245200
ACG,20190715,1.56,1.56,1.53,1.53,2978900
ADB,20190715,0.76,0.77,0.75,0.77,278400
ADVANC,20190715,211,217,210,215,3804300
AEC,20190715,0.53,0.55,0.53,0.55,79000
AEONTS,20190715,229,231,227,229,418300
AF,20190715,0.68,0.69,0.67,0.69,10900
AGE,20190715,1.07,1.07,1.06,1.06,1432200
AH,20190715,18.7,18.8,18.5,18.6,194700
AHC,20190715,15.4,15.4,15.2,15.2,106100
AI,20190715,1.47,1.5,1.46,1.5,13927800
AIE,20190715,0.6,0.67,0.6,0.66,44135200
AIMCG,20190715,10,10,9.95,10,1274800
AIMIRT,20190715,12.2,12.8,12.2,12.5,2169200
AIRA,20190715,1.31,1.31,1.29,1.3,162600
AIT,20190715,23.3,23.4,23.2,23.4,181900
AJ,20190715,8.8,8.85,8.75,8.8,44700
AJA,20190715,0.2,0.21,0.19,0.19,4167500
AKP,20190715,1.48,1.52,1.47,1.47,455200
AKR,20190715,0.81,0.82,0.8,0.8,2496900
ALL,20190715,4.82,4.9,4.8,4.82,13185800
ALLA,20190715,1.35,1.36,1.35,1.36,524700
ALT,20190715,2.88,2.94,2.88,2.92,130900
ALUCON,20190715,173,174,173,174,800
AMA,20190715,8.45,9.4,8.45,9.15,12414300
AMANAH,20190715,2.26,2.34,2.24,2.32,11309200
AMARIN,20190715,4.96,4.96,4.94,4.94,8100
AMATA,20190715,24,24,23.7,23.8,9742700
AMATAR,20190715,12.2,12.4,11.9,12,114600
AMATAV,20190715,4.9,4.92,4.88,4.9,353600
AMC,20190715,1.74,1.76,1.74,1.76,17000
ANAN,20190715,3.88,3.9,3.8,3.82,13737700
AOT,20190715,74,74.25,73.75,73.75,8628100
AP,20190715,8.1,8.1,8,8.05,6096400
APCO,20190715,3.64,3.7,3.64,3.68,39200
APCS,20190715,4.58,4.58,4.48,4.58,48000
APEX,20190715,0.18,0.19,0.18,0.18,580500
APURE,20190715,1.4,1.41,1.39,1.4,193600
AQ,20190715,0.02,0.03,0.02,0.03,13101200
AQUA,20190715,0.53,0.54,0.52,0.53,8956000
ARIN,20190715,1.16,1.16,1.08,1.11,27409800
ARIP,20190715,0.51,0.51,0.5,0.5,66900
ARROW,20190715,8.45,8.45,8.4,8.45,25200
AS,20190715,0.75,0.75,0.74,0.74,14200
ASAP,20190715,3.38,3.42,3.08,3.14,6624500
ASEFA,20190715,5.1,5.3,5.05,5.25,2187600
ASIA,20190715,7.1,7.15,7.1,7.15,8000
ASIAN,20190715,7.25,7.25,7.15,7.15,279700
ASIMAR,20190715,1.89,1.92,1.88,1.89,631500
ASK,20190715,24.2,24.2,24,24.1,34200
ASN,20190715,5.5,5.5,5.5,5.5,7300
ASP,20190715,2.84,2.84,2.8,2.82,2175700
ATP30,20190715,1.5,1.54,1.49,1.53,5261800
AU,20190715,16.7,16.9,16,16,4162900
AUCT,20190715,7.75,7.8,7.7,7.75,746800
AYUD,20190715,42.5,42.5,41.75,41.75,1100
B,20190715,0.59,0.63,0.57,0.59,3734800
B-WORK,20190715,12,12.3,12,12.2,113100
B52,20190715,0.23,0.25,0.18,0.24,1298600
BA,20190715,11.2,11.3,11.1,11.2,180600
