<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20191001,10.6,10.6,10.6,10.6,12600
BMSCG,20191001,8.02,8.1,8.02,8.04,9600
BMSCITH,20191001,11.97,11.97,11.89,11.9,269100
BSET100,20191001,10.61,10.62,10.52,10.53,87600
CHINA,20191001,5.14,5.35,5.14,5.3,20300
EBANK,20191001,5.08,5.08,5.08,5.08,2000
EFOOD,20191001,5.81,5.81,5.81,5.81,100
ENGY,20191001,8.31,8.31,6.4,6.4,300
ESET50,20191001,5.81,5.81,5.8,5.8,200
GLD,20191001,1.92,1.92,1.9,1.91,817800
TDEX,20191001,10.84,10.86,10.76,10.76,49000
TGOLDETF,20191001,4.15,4.15,4.12,4.15,896400
2S,20191001,2.38,2.38,2.34,2.34,465800
7UP,20191001,0.58,0.58,0.57,0.57,3615000
A,20191001,6.2,6.2,6.2,6.2,8800
AAV,20191001,3.04,3.06,3,3.04,4054900
ABICO,20191001,4.2,4.2,4.2,4.2,62800
ABM,20191001,0.84,0.87,0.82,0.84,122000
ABPIF,20191001,4.88,4.9,4.86,4.88,1977400
ACAP,20191001,1.71,1.71,1.65,1.67,1681700
ACC,20191001,0.66,0.66,0.64,0.66,2928800
ACG,20191001,1.35,1.35,1.32,1.33,235600
ADB,20191001,0.61,0.66,0.6,0.61,644200
ADVANC,20191001,222,224,218,219,7214200
AEC,20191001,0.27,0.28,0.25,0.27,597100
AEONTS,20191001,208,210,206,209,183600
AF,20191001,0.67,0.67,0.66,0.66,55500
AGE,20191001,0.95,0.97,0.94,0.95,495900
AH,20191001,17.9,17.9,17.5,17.7,104800
AHC,20191001,15.6,15.6,15.6,15.6,1000
AI,20191001,1.24,1.24,1.22,1.23,2198000
AIE,20191001,0.43,0.44,0.42,0.42,4832700
AIMCG,20191001,10,10,9.95,10,511500
AIMIRT,20191001,15,15,14.9,15,315000
AIRA,20191001,1.3,1.3,1.3,1.3,24000
AIT,20191001,21,21.1,20.9,20.9,51900
AJ,20191001,8.05,8.25,8.05,8.25,9800
AJA,20191001,0.16,0.17,0.15,0.17,17456400
AKP,20191001,1.37,1.37,1.36,1.36,105200
AKR,20191001,0.74,0.75,0.73,0.75,812400
ALL,20191001,4.18,4.34,4.18,4.28,5105300
