<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190320,11.17,11.17,11.12,11.15,14200
BMSCG,20190320,7.99,8,7.98,8,4100
BMSCITH,20190320,12.37,12.38,12.34,12.34,229600
BSET100,20190320,10.45,10.47,10.43,10.43,75900
CHINA,20190320,5.77,5.77,5.7,5.77,32700
ECOMM,20190320,8.18,8.18,8.18,8.18,107600
ENGY,20190320,6.24,6.24,6.24,6.24,100
ESET50,20190320,5.72,5.72,5.72,5.72,100
GLD,20190320,1.74,1.74,1.73,1.74,113400
TDEX,20190320,10.68,10.68,10.64,10.65,103000
TGOLDETF,20190320,3.83,3.83,3.82,3.83,3200
2S,20190320,2.18,2.2,2.18,2.2,45700
7UP,20190320,0.33,0.34,0.33,0.33,382300
A,20190320,6.45,6.45,6.4,6.45,9000
AAV,20190320,4.12,4.18,4.1,4.14,11457900
ABICO,20190320,4.5,4.5,4.48,4.48,3500
ABM,20190320,0.92,0.96,0.92,0.96,23500
ABPIF,20190320,5.7,5.7,5.5,5.55,837400
ACAP,20190320,3.92,3.92,3.86,3.88,179800
ACC,20190320,0.87,0.87,0.7,0.72,43817500
ADB,20190320,0.87,0.87,0.84,0.87,251000
ADVANC,20190320,182,184,181.5,182.5,5562900
AEC,20190320,0.51,0.52,0.5,0.51,271900
AEONTS,20190320,176.5,181,175.5,178,429600
AF,20190320,0.65,0.73,0.65,0.68,21400
AGE,20190320,0.92,0.92,0.9,0.9,691200
AH,20190320,19.3,19.3,18.8,18.8,1165600
AHC,20190320,17.7,17.7,17.4,17.4,13600
AIMIRT,20190320,10.8,11,10.8,10.9,426000
AIRA,20190320,1.43,1.43,1.43,1.43,500
AIT,20190320,21.9,21.9,21.8,21.8,15600
AJ,20190320,7.75,7.75,7.65,7.75,42300
AJA,20190320,0.26,0.27,0.24,0.24,57741300
AKP,20190320,1.9,1.92,1.9,1.91,196800
AKR,20190320,0.8,0.81,0.8,0.8,1014300
ALLA,20190320,1.53,1.55,1.52,1.53,1144800
ALT,20190320,3.14,3.14,3.08,3.1,151300
ALUCON,20190320,178,178,178,178,400
AMA,20190320,4.44,4.44,4.4,4.42,30500
AMANAH,20190320,1.75,1.8,1.74,1.79,6702700
AMARIN,20190320,5,5.05,5,5.05,79300
AMATA,20190320,21,21.2,20.9,21,5890700
AMATAR,20190320,11.1,11.1,11.1,11.1,400
AMATAV,20190320,4.98,5.2,4.92,5.2,1003900
