<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190111,11.07,11.07,11.03,11.06,39200
BMSCG,20190111,7.73,7.74,7.71,7.73,1500
BMSCITH,20190111,12.1,12.14,12.06,12.14,215400
BSET100,20190111,10.16,10.18,10.12,10.18,165800
CHINA,20190111,4.68,4.72,4.68,4.72,31400
EBANK,20190111,5.57,5.57,5.51,5.56,600
EICT,20190111,4.22,4.22,4.1,4.19,1000
ENGY,20190111,6.12,6.12,6.12,6.12,200
ESET50,20190111,5.54,5.59,5.54,5.59,400
GLD,20190111,1.75,1.76,1.75,1.76,36300
TDEX,20190111,10.52,10.62,10.52,10.62,28200
TGOLDETF,20190111,3.82,3.82,3.82,3.82,2700
TH100,20190111,4.62,4.62,4.62,4.62,3000
2S,20190111,2.34,2.36,2.3,2.32,51100
7UP,20190111,0.42,0.42,0.4,0.4,5321400
A,20190111,6.6,6.65,6.5,6.5,48700
AAV,20190111,4,4.04,3.98,4,4046400
ABICO,20190111,4.28,4.3,4.28,4.28,9800
ABM,20190111,0.9,0.91,0.9,0.91,18300
ABPIF,20190111,6.5,6.5,6.4,6.45,129300
ACAP,20190111,2.64,2.7,2.6,2.66,1735700
ACC,20190111,0.5,0.5,0.49,0.5,262600
ADB,20190111,0.86,0.91,0.85,0.9,256100
ADVANC,20190111,173.5,174,167.5,169,19113700
AEC,20190111,0.46,0.48,0.46,0.46,101300
AEONTS,20190111,184,184.5,176.5,178.5,820600
AF,20190111,0.64,0.65,0.64,0.64,109700
AGE,20190111,0.92,0.98,0.92,0.96,817400
AH,20190111,19.2,19.6,19.2,19.5,706800
AHC,20190111,16.7,16.8,16.7,16.8,38400
AIMIRT,20190111,10.3,10.3,10.3,10.3,47200
AIRA,20190111,1.48,1.49,1.47,1.49,3300
AIT,20190111,19.9,19.9,19.9,19.9,45100
AJ,20190111,8.25,8.25,8.1,8.2,900
AJA,20190111,0.27,0.29,0.26,0.29,218835100
AKP,20190111,1.91,1.91,1.89,1.9,23000
AKR,20190111,0.81,0.81,0.8,0.81,347800
ALLA,20190111,1.37,1.42,1.34,1.34,1653000
ALT,20190111,2.98,3.02,2.98,3.02,137800
ALUCON,20190111,177,177,176,176,400
AMA,20190111,4.66,4.66,4.56,4.62,50000
AMANAH,20190111,1.65,1.67,1.61,1.67,6945100
AMARIN,20190111,5,5.05,4.98,5,189200
AMATA,20190111,21.8,22.1,21.6,22,14316200
AMATAR,20190111,10.9,10.9,10.9,10.9,100
AMATAV,20190111,4.44,4.44,4.42,4.44,118200
AMC,20190111,1.83,1.87,1.83,1.87,76600
ANAN,20190111,3.34,3.42,3.3,3.4,7737900
AOT,20190111,66.25,68.75,66.25,68.5,58713700
AP,20190111,6.55,6.75,6.5,6.7,10325800
APCO,20190111,4.08,4.2,4.08,4.16,261000
APCS,20190111,4.84,4.84,4.8,4.84,5400
APEX,20190111,0.19,0.2,0.19,0.2,920600
APURE,20190111,1.27,1.31,1.27,1.28,1116700
AQ,20190111,0.03,0.03,0.02,0.02,30178800
AQUA,20190111,0.41,0.41,0.39,0.4,1004400
ARIP,20190111,0.4,0.4,0.39,0.4,41700
ARROW,20190111,7.85,7.9,7.85,7.9,28500
ASAP,20190111,3.38,3.4,3.28,3.32,710200
ASEFA,20190111,4.76,4.8,4.76,4.8,8500
ASIA,20190111,6.75,6.75,6.7,6.75,22100
ASIAN,20190111,7.85,7.9,7.75,7.8,1367200
ASIMAR,20190111,1.94,1.97,1.93,1.93,172300
ASK,20190111,23.7,23.9,23.7,23.9,23100
ASP,20190111,3.14,3.18,3.14,3.16,811600
ATP30,20190111,1.5,1.51,1.49,1.49,67200
AU,20190111,7,7.35,7,7.2,1071800
AUCT,20190111,5.1,5.1,5.05,5.05,235200
AYUD,20190111,40.5,40.5,40,40.5,4100
B,20190111,0.4,0.41,0.39,0.4,688500
BA,20190111,11.9,11.9,11.7,11.9,852000
BAFS,20190111,32.5,33,32.5,32.75,76200
BANPU,20190111,16.4,16.5,16.1,16.3,16831800
BAT-3K,20190111,240,240,240,240,1800
BAY,20190111,37.75,37.75,37.25,37.75,96300
BBL,20190111,206,207,205,206,1395100
BCH,20190111,15.7,16.3,15.5,16.3,27779800
BCP,20190111,33,33,32.5,33,444800
BCPG,20190111,16.2,16.2,16,16.1,2192300
BCT,20190111,44.75,45,44,45,7200
BDMS,20190111,23,23.1,22.7,22.9,115816500
BEAUTY,20190111,6.7,6.85,6.5,6.8,74434700
BEC,20190111,4.88,4.92,4.84,4.88,3183400
BEM,20190111,9.85,10.1,9.8,10.1,62403400
BFIT,20190111,18.5,18.8,18.3,18.8,47200
BGC,20190111,10.3,10.5,10.2,10.4,3977300
BGRIM,20190111,28,28.5,28,28.25,2120700
BGT,20190111,1,1.02,1,1,454200
