<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190912,10.86,10.9,10.79,10.79,13600
BMSCG,20190912,8.39,8.4,8.38,8.39,629600
BMSCITH,20190912,12.4,12.4,12.21,12.23,315800
BSET100,20190912,10.92,10.92,10.78,10.79,236500
CHINA,20190912,5.5,5.5,5.45,5.5,4600
EBANK,20190912,5.3,5.33,5.3,5.33,5400
EFOOD,20190912,6.1,6.1,6.1,6.1,100
EICT,20190912,5.6,5.6,5.6,5.6,200
ENGY,20190912,6.42,6.42,6.42,6.42,100
ENY,20190912,7.36,7.36,7.36,7.36,200
ESET50,20190912,5.9,5.9,5.9,5.9,300
GLD,20190912,1.94,1.94,1.93,1.94,604200
TDEX,20190912,11.08,11.08,10.98,10.98,102900
TGOLDETF,20190912,4.19,4.21,4.19,4.21,142300
TH100,20190912,4.87,4.87,4.87,4.87,100
2S,20190912,2.26,2.32,2.26,2.3,650700
7UP,20190912,0.6,0.64,0.6,0.61,88066700
A,20190912,6.25,6.25,6.2,6.2,13000
AAV,20190912,3.28,3.28,3.2,3.24,6407900
ABICO,20190912,4.2,4.24,4.2,4.2,770800
ABM,20190912,0.84,0.85,0.82,0.82,35100
ABPIF,20190912,6.15,6.15,6.05,6.15,723400
ACAP,20190912,2.02,2.06,1.95,1.95,7820100
ACC,20190912,0.64,0.68,0.64,0.66,191800
ACG,20190912,1.42,1.44,1.42,1.43,533900
ADB,20190912,0.6,0.6,0.59,0.59,739800
ADVANC,20190912,229,229,220,221,12393200
AEC,20190912,0.34,0.39,0.34,0.37,16444600
AEONTS,20190912,217,220,217,218,368600
AF,20190912,0.66,0.66,0.65,0.65,17600
AGE,20190912,1.01,1.02,0.99,1,1477100
AH,20190912,17.8,18.6,17.7,18.4,4358800
AHC,20190912,15.9,15.9,15.8,15.8,1600
AI,20190912,1.21,1.22,1.2,1.2,2850700
AIE,20190912,0.45,0.45,0.44,0.44,4653400
AIMCG,20190912,10,10,9.95,10,382500
AIMIRT,20190912,14.6,14.8,14.6,14.8,651700
AIRA,20190912,1.3,1.31,1.29,1.3,126700
AIT,20190912,21.9,22,21.7,21.7,129600
AJ,20190912,8.1,8.4,8,8.4,82200
AJA,20190912,0.19,0.2,0.18,0.19,17888700
AKP,20190912,1.39,1.42,1.39,1.39,750400
AKR,20190912,0.77,0.81,0.76,0.78,2984400
ALL,20190912,4.18,4.2,4.16,4.18,699600
ALLA,20190912,1.25,1.25,1.21,1.21,240300
ALT,20190912,2.54,2.54,2.5,2.54,35900
ALUCON,20190912,166.5,166.5,166,166,200
AMA,20190912,7.8,7.85,7.6,7.6,1180200
AMANAH,20190912,2.8,2.84,2.72,2.74,11170200
AMARIN,20190912,4.94,4.94,4.88,4.92,25600
AMATA,20190912,25.5,26.25,25.25,25.75,11878400
AMATAR,20190912,12.4,12.5,12.4,12.5,38100
AMATAV,20190912,4.88,4.88,4.84,4.86,530200
AMC,20190912,1.81,1.84,1.8,1.84,608500
ANAN,20190912,3.38,3.42,3.28,3.3,9013500
AOT,20190912,74.25,74.25,73,73,17554900
AP,20190912,7.1,7.2,7.05,7.05,14909400
APCO,20190912,3.34,3.34,3.26,3.3,26200
APCS,20190912,4.18,4.2,4.16,4.2,192900
APEX,20190912,0.17,0.17,0.17,0.17,1310300
APURE,20190912,0.91,0.92,0.91,0.92,183600
AQ,20190912,0.02,0.03,0.02,0.02,2341400
AQUA,20190912,0.52,0.52,0.51,0.51,4522400
ARIN,20190912,0.69,0.7,0.68,0.68,1781200
ARIP,20190912,0.45,0.45,0.43,0.43,134500
ARROW,20190912,9.4,9.5,9.35,9.45,63400
AS,20190912,0.86,0.86,0.82,0.86,3200
ASAP,20190912,2.88,2.88,2.84,2.86,554400
ASEFA,20190912,4.74,4.78,4.72,4.78,119100
ASIA,20190912,6.55,6.55,6.45,6.5,71700
ASIAN,20190912,6.3,6.35,6.05,6.05,799700
ASIMAR,20190912,1.48,1.53,1.48,1.53,203100
ASK,20190912,26.25,26.5,25.25,25.25,645000
ASN,20190912,5.9,5.9,5.9,5.9,700
ASP,20190912,2.22,2.24,2.14,2.16,11719800
ATP30,20190912,1.45,1.46,1.44,1.45,164200
AU,20190912,14.1,14.4,14,14.1,1037700
AUCT,20190912,9.35,9.45,9.05,9.2,3281700
AYUD,20190912,41.75,41.75,41.75,41.75,11900
B,20190912,0.33,0.33,0.32,0.33,147800
B-WORK,20190912,12.5,12.6,12.5,12.6,712500
B52,20190912,0.25,0.25,0.23,0.24,128000
BA,20190912,9.55,9.65,9.5,9.6,507900
BAFS,20190912,33.75,33.75,33.25,33.5,198400
BANPU,20190912,12.7,13.1,12.6,12.7,53955500
BAY,20190912,35,35.75,34.75,35,1849300
BBL,20190912,180,183.5,179,180,16046800
BCH,20190912,16,16,15.6,15.7,13307400
BCP,20190912,28,28.5,27.25,27.75,5140600
BCPG,20190912,19.4,19.4,19.1,19.1,3481500
BCT,20190912,42.75,42.75,42,42.5,13100
BDMS,20190912,24.6,24.8,24,24.3,28366500
BEAUTY,20190912,2.84,2.98,2.82,2.92,118137900
BEC,20190912,8.7,8.75,8.3,8.4,10751900
BEM,20190912,11.4,11.4,11,11.1,69883300
BFIT,20190912,15.7,15.9,15.5,15.7,27000
BGC,20190912,14.6,15.1,14.6,14.7,5098000
BGRIM,20190912,41,41.25,40,40.25,18481200
BGT,20190912,1,1.03,1,1.02,69800
BH,20190912,143,143,138.5,139,1407700
BIG,20190912,0.83,0.84,0.82,0.82,4105800
BIZ,20190912,2.58,2.64,2.58,2.62,115200
BJC,20190912,53.25,53.5,51.75,52.25,6938900
BJCHI,20190912,2.74,2.74,2.68,2.72,543500
BKI,20190912,321,321,321,321,2300
BKKCP,20190912,13.8,13.9,13.8,13.8,22100
BLA,20190912,21.7,22.2,21.3,21.4,2702600
BLAND,20190912,1.52,1.53,1.52,1.52,4786800
BM,20190912,2.14,2.14,2.1,2.12,13000
BOFFICE,20190912,17.3,17.6,17.3,17.5,42200
BOL,20190912,2.98,2.98,2.94,2.94,27500
BPP,20190912,19.9,19.9,19.6,19.7,2646900
BR,20190912,2.92,2.92,2.86,2.86,1191100
BROOK,20190912,0.49,0.5,0.47,0.48,4730800
BRR,20190912,4.98,5.1,4.92,4.96,137300
BRRGIF,20190912,9.35,9.35,9.35,9.35,95300
BSBM,20190912,0.9,0.91,0.89,0.9,181200
BSM,20190912,0.39,0.4,0.38,0.38,1250300
BTS,20190912,13.4,13.7,13.1,13.1,48736100
BTSGIF,20190912,11,11.1,11,11,5603300
BTW,20190912,1.13,1.15,1.13,1.14,91800
BWG,20190912,0.72,0.73,0.7,0.71,14643100
CAZ,20190912,2.34,2.38,2.32,2.32,107900
CBG,20190912,79.25,80.25,78,78.5,2619300
CCET,20190912,1.84,1.84,1.82,1.83,347400
CCP,20190912,0.34,0.34,0.33,0.33,160800
