<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190816,10.51,10.59,10.51,10.59,14500
BMSCG,20190816,8.13,8.22,8.12,8.22,22700
BMSCITH,20190816,11.71,11.88,11.69,11.87,963800
BSET100,20190816,10.34,10.5,10.32,10.5,110500
CHINA,20190816,5.21,5.24,5.21,5.21,1500
EICT,20190816,5.37,5.37,5.37,5.37,2000
ESET50,20190816,5.67,5.68,5.67,5.68,6000
GLD,20190816,1.98,1.99,1.97,1.98,469300
TDEX,20190816,10.54,10.65,10.49,10.63,165100
TGOLDETF,20190816,4.32,4.34,4.3,4.31,247900
2S,20190816,2.4,2.42,2.36,2.4,1645700
7UP,20190816,0.39,0.4,0.38,0.39,7430600
A,20190816,6.25,6.25,6.25,6.25,13000
AAV,20190816,3.16,3.24,3.14,3.18,19047300
ABICO,20190816,4.04,4.14,4.04,4.14,15300
ABM,20190816,0.84,0.85,0.84,0.85,22100
ABPIF,20190816,6.3,6.3,6.25,6.3,127100
ACAP,20190816,1.95,1.99,1.87,1.97,1385600
ACC,20190816,0.68,0.68,0.67,0.68,81400
ACG,20190816,1.5,1.51,1.49,1.49,613400
ADB,20190816,0.66,0.69,0.66,0.69,27100
ADVANC,20190816,214,219,212,218,5963400
AEC,20190816,0.29,0.32,0.29,0.31,3974100
AEONTS,20190816,217,221,215,221,240700
AF,20190816,0.68,0.68,0.65,0.68,126900
AGE,20190816,1.02,1.05,1.02,1.02,4102800
AH,20190816,17.6,17.6,17.1,17.4,360100
AHC,20190816,15.4,15.6,15.3,15.3,24000
AI,20190816,1.18,1.31,1.17,1.28,29119700
AIE,20190816,0.4,0.42,0.39,0.42,17831200
AIMCG,20190816,9.75,9.75,9.65,9.75,665500
AIMIRT,20190816,12.5,12.9,12.5,12.9,1722000
AIRA,20190816,1.3,1.31,1.3,1.31,21300
AIT,20190816,22.5,22.8,22.5,22.8,148800
AJ,20190816,8.75,8.8,8.7,8.8,8000
AJA,20190816,0.19,0.2,0.19,0.19,89300
AKP,20190816,1.39,1.4,1.37,1.39,395800
AKR,20190816,0.77,0.79,0.77,0.79,1019700
ALL,20190816,4.14,4.2,4.12,4.14,3308900
ALLA,20190816,1.08,1.14,1.08,1.13,247700
ALT,20190816,2.54,2.62,2.54,2.62,104800
ALUCON,20190816,167.5,167.5,166.5,167,6700
AMA,20190816,6.95,7.5,6.95,7.5,2313700
AMANAH,20190816,2.4,2.4,2.3,2.34,15067300
AMARIN,20190816,4.86,4.94,4.84,4.88,14300
AMATA,20190816,24.1,24.7,24,24.5,12680800
AMATAR,20190816,12.3,12.3,12.3,12.3,1400
AMATAV,20190816,4.48,4.54,4.48,4.52,477500
AMC,20190816,1.95,2.02,1.92,1.97,1571000
ANAN,20190816,3.2,3.26,3.2,3.22,10053100
AOT,20190816,69.25,70.75,69.25,70.5,28443600
AP,20190816,7.35,7.65,7.25,7.45,17266100
APCO,20190816,3.48,3.5,3.4,3.44,164000
APCS,20190816,4.3,4.3,4.3,4.3,11600
APEX,20190816,0.16,0.17,0.16,0.17,906600
APURE,20190816,0.91,0.92,0.9,0.92,613800
AQ,20190816,0.02,0.03,0.01,0.02,49355100
AQUA,20190816,0.56,0.57,0.54,0.55,35383700
ARIN,20190816,0.77,0.82,0.77,0.78,7452900
ARIP,20190816,0.44,0.44,0.42,0.43,279400
ARROW,20190816,8.45,8.45,8.4,8.45,92600
AS,20190816,0.72,0.78,0.72,0.78,1100
ASAP,20190816,2.82,2.88,2.66,2.78,2989800
ASEFA,20190816,4.7,4.72,4.66,4.7,253200
ASIA,20190816,6.55,6.55,6.5,6.55,38100
ASIAN,20190816,5.6,6,5.6,5.85,789900
ASIMAR,20190816,1.57,1.58,1.53,1.54,357100
ASK,20190816,24.5,24.9,24,24.8,536800
ASN,20190816,5.65,5.9,5.55,5.9,6000
ASP,20190816,2.52,2.54,2.5,2.54,691200
ATP30,20190816,1.35,1.41,1.35,1.4,445400
AU,20190816,14,14.5,13.7,14.3,6468600
AUCT,20190816,6.95,7.05,6.75,7,1802800
