<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190527,10.95,10.95,10.91,10.91,55600
BMSCG,20190527,7.9,7.97,7.9,7.93,12300
BMSCITH,20190527,12.33,12.4,12.29,12.37,209800
BSET100,20190527,10.43,10.5,10.42,10.49,112700
CHINA,20190527,5.26,5.31,5.25,5.3,21900
EBANK,20190527,5.59,5.59,5.57,5.57,1000
ECOMM,20190527,8.29,8.35,8.29,8.35,156600
EICT,20190527,4.67,4.67,4.67,4.67,500
ENGY,20190527,7.8,7.8,6.04,6.07,1100
ENY,20190527,7.5,7.5,7.5,7.5,1000
GLD,20190527,1.72,1.73,1.72,1.73,18100
TDEX,20190527,10.62,10.68,10.62,10.68,63500
TGOLDETF,20190527,3.79,3.81,3.79,3.79,190700
TH100,20190527,4.7,4.7,4.7,4.7,2000
2S,20190527,2.16,2.16,2.16,2.16,22000
7UP,20190527,0.28,0.28,0.27,0.28,1344000
A,20190527,6.35,6.35,6.3,6.35,15100
AAV,20190527,4.14,4.24,4.08,4.08,22052000
ABICO,20190527,3.78,3.86,3.76,3.82,17500
ABM,20190527,0.88,0.89,0.87,0.88,24500
ABPIF,20190527,5.95,6,5.9,5.9,754400
ACAP,20190527,3.54,3.6,3.54,3.56,160400
ACC,20190527,0.69,0.69,0.66,0.68,661700
ADB,20190527,0.84,0.84,0.82,0.82,224600
ADVANC,20190527,191,191,189,189.5,2667300
AEC,20190527,0.56,0.57,0.54,0.56,4048900
AEONTS,20190527,198,207,197,202,1169200
AF,20190527,0.67,0.7,0.67,0.67,30400
AFC,20190527,8.5,8.5,8.5,8.5,100
AGE,20190527,0.99,1.02,0.97,0.99,4064100
AH,20190527,17.9,18.3,17.9,18.3,328800
AHC,20190527,17,17,16.8,16.9,1900
AIMIRT,20190527,12.2,12.3,12.2,12.3,100800
AIRA,20190527,1.32,1.32,0.99,1.3,25900
AIT,20190527,21.3,21.4,21.3,21.4,15800
AJ,20190527,9.7,9.8,9.7,9.8,11200
AJA,20190527,0.21,0.21,0.2,0.21,714100
