<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190503,11.38,11.38,11.38,11.38,8900
BMSCG,20190503,8.3,8.32,8.29,8.32,20500
BMSCITH,20190503,12.74,12.76,12.71,12.75,754400
BSET100,20190503,10.85,10.87,10.82,10.86,73300
CHINA,20190503,5.94,5.96,5.94,5.95,2300
ENGY,20190503,6.53,6.53,6.53,6.53,900
ENY,20190503,7.64,7.64,7.64,7.64,300
ESET50,20190503,5.88,5.88,5.88,5.88,300
GLD,20190503,1.73,1.73,1.72,1.73,128100
TDEX,20190503,10.99,10.99,10.96,10.98,108700
TGOLDETF,20190503,3.77,3.78,3.77,3.78,45000
2S,20190503,2.3,2.32,2.22,2.24,640800
7UP,20190503,0.26,0.27,0.26,0.27,1826700
A,20190503,6.35,6.35,6.35,6.35,12000
AAV,20190503,4.26,4.38,4.26,4.36,31072400
ABICO,20190503,4.4,4.42,4.34,4.36,84000
ABM,20190503,0.94,0.95,0.93,0.94,73400
ABPIF,20190503,5.9,5.9,5.85,5.85,750900
ACAP,20190503,3.9,3.92,3.86,3.9,238400
ACC,20190503,0.84,0.89,0.81,0.84,34356800
ADB,20190503,0.91,0.91,0.89,0.9,188800
ADVANC,20190503,189.5,191,189.5,190,1855800
AEC,20190503,0.49,0.5,0.47,0.5,463300
AEONTS,20190503,186,194.5,185.5,192.5,1108000
AF,20190503,0.7,0.7,0.7,0.7,1800
AGE,20190503,0.91,0.91,0.9,0.9,299000
AH,20190503,20.7,21.2,20.6,21,1699700
AHC,20190503,17.4,17.4,17.4,17.4,1300
AIMIRT,20190503,12.1,12.1,12.1,12.1,16700
AIRA,20190503,1.45,1.46,1.42,1.45,11500
AIT,20190503,21.3,21.7,21.3,21.6,436100
AJ,20190503,9.85,9.9,9.85,9.9,37900
AJA,20190503,0.22,0.22,0.21,0.21,1358700
AKP,20190503,1.92,1.94,1.92,1.94,121000
AKR,20190503,0.82,0.82,0.81,0.82,510000
ALLA,20190503,1.51,1.52,1.51,1.52,509000
ALT,20190503,2.98,2.98,2.94,2.94,3200
ALUCON,20190503,172,172.5,171.5,172,1300
AMA,20190503,4.28,4.3,4.26,4.28,61200
AMANAH,20190503,1.69,1.69,1.66,1.67,552800
AMARIN,20190503,5.2,5.2,5.2,5.2,42400
AMATA,20190503,22.5,22.5,22.2,22.3,5722900
AMATAR,20190503,11.8,11.8,11.8,11.8,100
AMATAV,20190503,5.3,5.3,5.15,5.3,101300
AMC,20190503,1.8,1.8,1.79,1.79,30000
ANAN,20190503,3.88,3.92,3.86,3.86,6714700
AOT,20190503,68.75,69.25,68.75,69.25,11423600
AP,20190503,7.9,7.95,7.8,7.95,14663500
