<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190905,10.75,10.78,10.73,10.78,9700
BMSCG,20190905,8.32,8.38,8.32,8.38,53100
BMSCITH,20190905,12.22,12.24,12.18,12.22,705000
BSET100,20190905,10.83,10.84,10.79,10.82,264400
CHINA,20190905,5.42,5.49,5.42,5.47,99700
ECOMM,20190905,8.93,8.93,8.93,8.93,8000
EICT,20190905,5.62,5.66,5.62,5.66,200
ENGY,20190905,6.28,6.28,6.28,6.28,7700
ENY,20190905,7.23,7.26,7.23,7.25,500
GLD,20190905,1.98,2,1.98,1.99,390500
TDEX,20190905,10.97,11.01,10.97,10.98,390900
TGOLDETF,20190905,4.34,4.36,4.34,4.36,82300
2S,20190905,2.26,2.28,2.24,2.24,140800
7UP,20190905,0.61,0.63,0.6,0.62,37090400
A,20190905,6.25,6.25,6.25,6.25,10000
AAV,20190905,3.2,3.24,3.2,3.2,5835100
ABICO,20190905,4.2,4.24,4.2,4.2,111700
ABM,20190905,0.86,0.86,0.86,0.86,100
ABPIF,20190905,6.25,6.3,6.25,6.3,513900
ACAP,20190905,2.28,2.32,2.1,2.14,16884300
ACC,20190905,0.66,0.67,0.65,0.67,188100
ACG,20190905,1.49,1.49,1.47,1.47,924700
ADB,20190905,0.61,0.62,0.6,0.6,190700
ADVANC,20190905,237,238,234,237,6504000
AEC,20190905,0.31,0.31,0.29,0.29,489300
AEONTS,20190905,217,221,216,219,196500
AF,20190905,0.65,0.65,0.65,0.65,28200
AFC,20190905,7.3,7.4,7.3,7.4,500
AGE,20190905,0.95,0.96,0.95,0.95,423000
AH,20190905,18,18.1,17.9,18,118500
AHC,20190905,15.5,15.6,15.5,15.6,14000
AI,20190905,1.22,1.23,1.2,1.2,4127000
AIE,20190905,0.48,0.48,0.44,0.46,20057000
AIMCG,20190905,10.1,10.1,10,10,645300
AIMIRT,20190905,14.2,14.3,14.1,14.3,1161700
AIRA,20190905,1.3,1.31,1.29,1.31,135500
AIT,20190905,21.6,22.3,21.6,22.3,426800
AJ,20190905,8.55,8.65,8.55,8.65,51600
AJA,20190905,0.2,0.2,0.19,0.19,562200
AKP,20190905,1.38,1.4,1.38,1.39,722200
AKR,20190905,0.77,0.77,0.76,0.76,96000
