<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190405,11.2,11.26,11.2,11.26,2300
BMSCG,20190405,8.11,8.11,8.08,8.11,51900
BMSCITH,20190405,12.44,12.46,12.41,12.43,189200
BSET100,20190405,10.56,10.58,10.55,10.56,445700
CHINA,20190405,6.08,6.09,6.06,6.08,7100
EBANK,20190405,5.67,5.67,5.57,5.57,600
EFOOD,20190405,5.62,5.62,5.62,5.62,300
ENY,20190405,7.43,7.46,7.43,7.46,1300
ESET50,20190405,5.75,5.75,5.75,5.75,200
GLD,20190405,1.74,1.74,1.73,1.74,98100
TDEX,20190405,10.82,10.82,10.76,10.78,49700
TGOLDETF,20190405,3.8,3.81,3.8,3.8,25200
2S,20190405,2.3,2.32,2.28,2.3,20600
7UP,20190405,0.32,0.33,0.31,0.32,710100
A,20190405,6.35,6.35,6.3,6.3,10500
AAV,20190405,4.1,4.14,4.1,4.12,6811100
ABICO,20190405,4.5,4.5,4.38,4.44,34600
ABM,20190405,0.96,0.96,0.96,0.96,5000
ABPIF,20190405,6,6,5.95,5.95,415800
ACAP,20190405,3.88,3.98,3.86,3.86,1218300
ACC,20190405,0.73,0.73,0.71,0.72,1937100
ADB,20190405,0.95,0.95,0.93,0.93,221400
ADVANC,20190405,185.5,187,185,186,2743700
AEC,20190405,0.49,0.5,0.49,0.49,20700
AEONTS,20190405,178.5,180.5,177,179.5,349700
AF,20190405,0.68,0.75,0.68,0.7,2800
AFC,20190405,8.8,8.8,8.8,8.8,5600
AGE,20190405,0.89,0.9,0.88,0.89,122600
AH,20190405,19.9,19.9,19.6,19.7,366900
AHC,20190405,17.2,17.2,17.2,17.2,4100
AIMIRT,20190405,11.5,11.7,11.5,11.6,507800
AIRA,20190405,1.51,1.52,1.51,1.52,5000
AIT,20190405,21.8,22,21.8,22,81300
AJ,20190405,8.9,9.05,8.75,8.85,289000
AJA,20190405,0.21,0.22,0.21,0.22,2159600
AKP,20190405,1.85,1.87,1.85,1.86,9300
AKR,20190405,0.81,0.81,0.8,0.8,613300
ALLA,20190405,1.69,1.72,1.68,1.69,1608200
ALT,20190405,3,3,2.96,2.96,61500
ALUCON,20190405,178,178,178,178,1100
AMA,20190405,4.4,4.4,4.4,4.4,10300
AMANAH,20190405,1.61,1.66,1.61,1.66,1405100
AMARIN,20190405,5,5,5,5,3100
AMATA,20190405,21.8,22,21.7,21.8,6191200
AMATAR,20190405,11.6,11.6,11.6,11.6,12200
AMATAV,20190405,5.2,5.35,5.15,5.3,84100
AMC,20190405,1.77,1.78,1.76,1.78,22300
ANAN,20190405,3.66,3.7,3.64,3.64,2060900
AOT,20190405,67.25,67.75,67,67.25,8153900
AP,20190405,7.15,7.15,7.05,7.05,4743200
APCO,20190405,4.1,4.12,4.08,4.12,23600
APCS,20190405,4.68,5,4.68,4.86,1275800
APEX,20190405,0.2,0.2,0.2,0.2,45500
APURE,20190405,1.29,1.29,1.28,1.28,14600
AQ,20190405,0.03,0.03,0.02,0.03,15226900
AQUA,20190405,0.5,0.52,0.5,0.51,59308700
ARIP,20190405,0.49,0.49,0.48,0.48,272800
ARROW,20190405,8.45,8.75,8.45,8.75,155500
AS,20190405,0.87,0.89,0.8,0.8,1800
ASAP,20190405,2.92,3,2.9,2.9,2017700
ASEFA,20190405,5.55,5.55,5.45,5.5,165300
ASIA,20190405,7.85,8,7.85,7.85,23600
ASIAN,20190405,7.65,7.8,7.65,7.7,1354300
ASIMAR,20190405,2,2,1.99,1.99,74300
ASK,20190405,22.8,23,22.8,23,43700
ASP,20190405,3.1,3.1,3.08,3.1,1406800
ATP30,20190405,1.49,1.5,1.48,1.5,153400
AU,20190405,8.35,8.5,8.35,8.4,351400
AUCT,20190405,6,6.05,5.95,5.95,294700
AYUD,20190405,48.75,49,48.5,48.75,204400
B,20190405,0.47,0.49,0.47,0.48,109200
B-WORK,20190405,11,11.1,11,11.1,293600
BA,20190405,12,12,11.8,11.8,118900
BAFS,20190405,35.5,35.5,35.25,35.5,380600
BANPU,20190405,16.3,16.4,16.2,16.2,10319200
BAT-3K,20190405,240,240,240,240,700
BAY,20190405,37.75,37.75,37,37,176400
BBL,20190405,209,210,209,210,840400
BCH,20190405,17.2,17.4,17.1,17.2,7778700
BCP,20190405,33,33,32.5,32.5,858600
BCPG,20190405,16.5,16.5,16.3,16.3,1427400
BCT,20190405,43,43.5,42.75,43.5,28000
BDMS,20190405,25.25,25.25,25,25,17129500
BEAUTY,20190405,6.6,6.6,6.5,6.55,16158800
BEC,20190405,6.6,6.8,6.6,6.7,4984500
BEM,20190405,9.85,10.1,9.85,10,68094900
BFIT,20190405,17.7,17.7,17.7,17.7,13700
BGC,20190405,11.4,11.4,11.3,11.4,79500
BGRIM,20190405,31.5,31.75,31.25,31.75,4228600
BGT,20190405,1.03,1.17,1.01,1.01,10899600
BH,20190405,179,179.5,177.5,178,479000
BIG,20190405,1.21,1.22,1.21,1.21,1043600
