<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190213,11,11.14,11,11.14,46600
BMSCG,20190213,8.22,8.26,8.19,8.19,11400
BMSCITH,20190213,12.46,12.52,12.44,12.51,411200
BSET100,20190213,10.51,10.56,10.5,10.56,62000
CHINA,20190213,4.89,4.95,4.89,4.94,82700
EBANK,20190213,5.71,5.71,5.71,5.71,100
EFOOD,20190213,5.75,5.75,5.75,5.75,200
GLD,20190213,1.74,1.74,1.74,1.74,9000
TDEX,20190213,10.71,10.75,10.7,10.74,142100
TGOLDETF,20190213,3.81,3.81,3.81,3.81,8200
2S,20190213,2.38,2.44,2.38,2.4,284500
7UP,20190213,0.42,0.42,0.41,0.41,3097500
A,20190213,6.35,6.4,6.35,6.4,20000
AAV,20190213,4.3,4.4,4.3,4.4,14633800
ABICO,20190213,4.8,4.94,4.8,4.84,140400
ABM,20190213,0.94,0.94,0.92,0.93,71500
ABPIF,20190213,6.6,6.6,6.5,6.55,272800
ACAP,20190213,4.66,4.66,4.44,4.48,3809200
ACC,20190213,0.53,0.57,0.53,0.53,11410700
ADB,20190213,1,1,0.95,0.95,528900
ADVANC,20190213,182,182.5,181,182,4215800
AEC,20190213,0.47,0.49,0.46,0.47,155500
AEONTS,20190213,183.5,188,183,188,846500
AF,20190213,0.69,0.7,0.69,0.7,5100
AGE,20190213,1.02,1.02,1,1,147400
AH,20190213,23.3,23.8,22.9,23.6,1801300
AHC,20190213,17.9,18.3,17.9,18.3,2400
AIMIRT,20190213,10.5,10.6,10.5,10.5,212100
AIRA,20190213,1.45,1.49,1.45,1.46,12000
AIT,20190213,21,21.1,21,21,50800
AJ,20190213,8.1,8.15,8.1,8.1,62000
AJA,20190213,0.27,0.27,0.26,0.27,2911200
AKP,20190213,2,2,1.99,2,194600
AKR,20190213,0.89,0.91,0.88,0.88,3244400
ALLA,20190213,1.39,1.42,1.39,1.41,246900
ALT,20190213,3.52,3.52,3.44,3.44,96600
ALUCON,20190213,178.5,178.5,178.5,178.5,500
AMA,20190213,4.46,4.56,4.46,4.48,369600
AMANAH,20190213,1.8,1.82,1.78,1.78,5775100
AMARIN,20190213,5,5,5,5,62600
AMATA,20190213,22,22.2,21.9,22.1,13799200
AMATAR,20190213,11,11,11,11,20100
AMATAV,20190213,5.3,5.3,5.2,5.25,85300
AMC,20190213,2.16,2.2,2.14,2.16,242300
ANAN,20190213,3.7,3.72,3.68,3.7,5091900
AOT,20190213,68.5,69.25,68.25,69,15452100
AP,20190213,7.2,7.25,7.15,7.25,4339300
APCO,20190213,4.28,4.28,4.18,4.2,131800
APCS,20190213,4.74,4.78,4.7,4.78,206500
APEX,20190213,0.19,0.2,0.19,0.2,17600
APURE,20190213,1.41,1.47,1.41,1.43,1159900
AQ,20190213,0.03,0.03,0.02,0.02,2792100
AQUA,20190213,0.43,0.44,0.42,0.44,3351400
ARIP,20190213,0.48,0.52,0.48,0.5,186400
ARROW,20190213,8.3,8.35,8.3,8.3,42700
AS,20190213,0.74,0.74,0.69,0.74,4300
ASAP,20190213,3.72,3.86,3.68,3.8,24746000
ASEFA,20190213,4.98,5.05,4.98,5.05,538900
ASIA,20190213,8.05,8.05,7.8,7.95,163000
ASIAN,20190213,8.25,8.4,8.25,8.3,3465500
ASIMAR,20190213,2.2,2.2,2.16,2.16,229300
ASK,20190213,24.3,24.4,24.3,24.4,139100
ASN,20190213,3.7,3.7,3.7,3.7,3400
ASP,20190213,3.4,3.42,3.38,3.4,661600
ATP30,20190213,1.54,1.62,1.54,1.6,3916300
AU,20190213,8.2,8.45,8.2,8.45,2588800
AUCT,20190213,5.6,5.65,5.55,5.55,265600
AYUD,20190213,40.5,40.5,40.5,40.5,4000
B,20190213,0.52,0.52,0.5,0.5,3056900
B-WORK,20190213,10.8,10.8,10.8,10.8,666500
BA,20190213,12.2,12.5,12.2,12.4,995000
BAFS,20190213,33.75,34,33.75,34,100500
BANPU,20190213,16.8,16.9,16.7,16.8,14005200
BAY,20190213,38.25,38.5,38,38.25,79600
BBL,20190213,212,212,211,211,1859800
BCH,20190213,16.6,16.9,16.6,16.8,10682400
BCP,20190213,33.25,33.5,33,33.5,1469900
BCPG,20190213,16.5,17.1,16.4,16.9,10815600
BCT,20190213,46.5,46.75,44.5,46.25,49400
BDMS,20190213,23.8,23.8,23.3,23.7,30599600
BEAUTY,20190213,8.2,8.35,8.1,8.15,135005500
BEC,20190213,6.25,6.35,6.15,6.25,8498900
BEM,20190213,10.4,10.6,10.4,10.4,46766500
BFIT,20190213,20.4,20.6,20.3,20.3,86600
BGC,20190213,11.7,12.1,11.7,12.1,956300
BGRIM,20190213,30.25,30.75,30,30.5,7557000
BGT,20190213,1,1.01,0.99,1.01,467700
BH,20190213,182.5,183,180,180.5,1949200
BIG,20190213,1.38,1.41,1.37,1.4,4270300
BIZ,20190213,2.8,2.8,2.66,2.74,1556500
BJC,20190213,49.5,50,49.25,49.75,4302700
BJCHI,20190213,1.95,1.97,1.91,1.94,190600
BKD,20190213,3,3.02,2.9,3,1761000
BKI,20190213,334,334,333,334,2500
BKKCP,20190213,12.2,12.3,12.2,12.3,2100
BLA,20190213,28.25,28.5,28,28.25,1085300
BLAND,20190213,1.65,1.66,1.64,1.65,7871400
BM,20190213,3,3.02,2.98,2.98,40400
BOFFICE,20190213,13.6,13.7,13.6,13.7,445000
BOL,20190213,2.08,2.18,2.08,2.18,1283200
BPP,20190213,23,23,22.8,22.9,789100
BR,20190213,4.16,4.16,4.12,4.16,76600
BROCK,20190213,1.89,1.89,1.87,1.87,81200
BROOK,20190213,0.52,0.54,0.51,0.53,9239200
BRR,20190213,6.35,6.35,6.3,6.35,100200
BSBM,20190213,1.06,1.13,1.03,1.11,2031000
BSM,20190213,0.62,0.63,0.61,0.62,236400
BTS,20190213,9.95,10.1,9.9,10,43043900
BTSGIF,20190213,12,12.2,12,12.1,1394300
BTW,20190213,1.57,1.61,1.54,1.59,217600
BWG,20190213,1.33,1.34,1.31,1.31,36281900
CAZ,20190213,4.02,4.06,4,4,643800
CBG,20190213,40.75,42,40.75,42,3913400
CCET,20190213,1.8,1.83,1.78,1.81,1838300
CCP,20190213,0.4,0.4,0.38,0.39,1045200
CEN,20190213,1.08,1.09,1.07,1.08,533500
CENTEL,20190213,46.75,46.75,45.75,46,2705900
CFRESH,20190213,4.04,4.1,4.04,4.08,17500
CGD,20190213,1.3,1.3,1.28,1.28,2249900
CGH,20190213,0.97,0.99,0.97,0.98,195200
CHAYO,20190213,4.02,4.04,4,4.04,394000
CHEWA,20190213,1.15,1.15,1.12,1.14,2734200
CHG,20190213,2,2.04,2,2.02,17523600
CHO,20190213,1.41,1.47,1.41,1.45,15026000
CHOW,20190213,3.26,3.34,3.2,3.2,3699100
CI,20190213,1.32,1.32,1.3,1.3,5400
CIG,20190213,0.35,0.39,0.33,0.34,40026000
CIMBT,20190213,0.81,0.81,0.8,0.8,61300
CITY,20190213,2.28,2.28,2.26,2.28,46900
CK,20190213,26.25,26.25,26,26.25,4299900
CKP,20190213,4.9,5,4.9,4.98,52971100
CM,20190213,4.14,4.16,4.12,4.14,41700
CMAN,20190213,2.8,2.8,2.74,2.76,558700
CMC,20190213,1.75,1.77,1.72,1.74,6559800
CMO,20190213,1.37,1.39,1.37,1.38,239800
CMR,20190213,2.36,2.36,2.36,2.36,7300
CNS,20190213,2.24,2.24,2.22,2.24,34000
CNT,20190213,2.12,2.14,2.1,2.1,119600
COL,20190213,23.6,23.7,23.5,23.7,118300
COLOR,20190213,1.26,1.26,1.24,1.24,4500
COM7,20190213,16.2,16.5,16.2,16.4,12709800
COMAN,20190213,4.02,4.1,3.98,4.02,832400
COTTO,20190213,2.2,2.26,2.2,2.24,150800
CPALL,20190213,77.75,78,77.25,77.5,12868300
CPF,20190213,27.25,27.5,27.25,27.5,10635900
CPI,20190213,1.48,1.49,1.48,1.48,7000
CPL,20190213,2.88,2.88,2.88,2.88,2100
CPN,20190213,78.25,79.5,78.25,79,5715500
CPNCG,20190213,15,15,14.8,14.9,417600
CPNREIT,20190213,27,27,26.5,26.5,878900
CPR,20190213,5.45,5.7,5.45,5.5,1210600
CPT,20190213,1.09,1.16,1.05,1.16,158486300
CPTGF,20190213,13.1,13.1,13.1,13.1,1200
CRANE,20190213,1.92,1.93,1.91,1.93,45000
CRD,20190213,1.01,1.02,1,1,195900
CRYSTAL,20190213,9.7,9.7,9.7,9.7,37100
CSP,20190213,1.22,1.22,1.16,1.16,200
CSS,20190213,2.04,2.04,2.04,2.04,651600
CTARAF,20190213,4.72,4.72,4.7,4.72,57200
CTW,20190213,8.25,8.3,8.2,8.3,74800
CWT,20190213,2.92,2.92,2.88,2.88,28100
D,20190213,8.9,8.95,8.85,8.95,199700
DCC,20190213,2.12,2.16,2.1,2.14,6757800
DCON,20190213,0.53,0.53,0.52,0.53,725000
DCORP,20190213,1.01,1.03,1,1.02,12110200
DDD,20190213,24.6,24.9,24.1,24.1,8188500
DELTA,20190213,69.75,73.25,69.75,71,2111300
DEMCO,20190213,2.98,3.02,2.98,3.02,510200
DIF,20190213,14.9,15,14.9,14.9,6599400
DIGI,20190213,0.39,0.39,0.38,0.39,1203700
DIMET,20190213,1.01,1.04,1,1.03,13572300
DNA,20190213,0.35,0.35,0.33,0.34,14821900
DOD,20190213,12.8,12.9,12.7,12.8,1679700
DREIT,20190213,5.2,5.2,5.15,5.2,200500
DRT,20190213,5.55,5.6,5.55,5.55,12900
DTAC,20190213,48,48,47,47.5,5107600
DTC,20190213,11,11.1,10.8,10.9,420300
EA,20190213,49.5,51.25,49.5,51.25,53313700
EASON,20190213,2.24,2.26,2.2,2.2,142000
EASTW,20190213,10.9,10.9,10.8,10.8,142700
ECF,20190213,2.8,2.84,2.78,2.8,3108800
ECL,20190213,1.9,1.92,1.88,1.89,4644600
EE,20190213,0.62,0.63,0.61,0.62,2769300
EFORL,20190213,0.06,0.07,0.06,0.06,4537800
EGATIF,20190213,11.7,11.8,11.6,11.7,5012600
EGCO,20190213,266,268,265,265,1144700
EIC,20190213,0.06,0.06,0.05,0.05,436500
EKH,20190213,5.55,5.6,5.5,5.6,222300
EMC,20190213,0.3,0.3,0.29,0.3,12391900
EPCO,20190213,2.92,2.94,2.92,2.94,364200
EPG,20190213,7.5,7.6,7.45,7.6,2544600
ERW,20190213,7.4,7.65,7.4,7.65,12711200
ERWPF,20190213,5.1,5.1,5.1,5.1,3700
ESSO,20190213,11.3,11.5,11.3,11.5,12113500
ESTAR,20190213,0.57,0.57,0.56,0.56,2404200
ETE,20190213,1.43,1.47,1.43,1.46,6403600
EVER,20190213,0.53,0.54,0.52,0.52,10177800
FANCY,20190213,0.9,0.91,0.88,0.88,1096900
FC,20190213,0.37,0.38,0.36,0.37,893400
FE,20190213,205,205,205,205,300
FLOYD,20190213,1.83,1.85,1.82,1.83,89700
FMT,20190213,25,25,25,25,500
FN,20190213,1.6,1.62,1.59,1.59,9648800
FNS,20190213,3.72,3.72,3.7,3.72,4900
FOCUS,20190213,1.55,1.6,1.51,1.55,2338300
FORTH,20190213,6.5,6.5,6.4,6.45,43300
FPI,20190213,2.66,2.66,2.58,2.58,2656200
FPT,20190213,14.5,14.8,14.5,14.8,17200
FSMART,20190213,7.2,7.5,7.1,7.3,1761600
FSS,20190213,1.95,1.96,1.94,1.96,22600
FTE,20190213,2.18,2.22,2.18,2.22,207400
FTREIT,20190213,12,12,12,12,265500
FUTUREPF,20190213,22.7,22.8,22.7,22.8,67200
FVC,20190213,0.86,0.86,0.82,0.83,2633600
GAHREIT,20190213,9.45,9.5,9.45,9.5,5000
GBX,20190213,0.69,0.81,0.69,0.73,47793200
GC,20190213,5.2,5.2,5.15,5.2,8000
GCAP,20190213,3.3,3.3,3.2,3.26,3912400
GEL,20190213,0.29,0.29,0.28,0.29,2180700
GENCO,20190213,0.87,0.89,0.83,0.84,25364100
GFPT,20190213,13.8,14.2,13.8,14.1,3162100
GGC,20190213,10.6,10.6,10.5,10.5,381200
GIFT,20190213,3.66,3.72,3.66,3.72,35000
GJS,20190213,0.13,0.13,0.13,0.13,981100
GL,20190213,8.5,8.7,8.35,8.4,9352800
GLAND,20190213,2.64,2.66,2.64,2.66,126000
GLANDRT,20190213,12.2,12.3,12.1,12.1,333600
GLOBAL,20190213,19.1,19.1,18.7,18.9,5097600
GLOW,20190213,90.5,90.5,89.25,90.25,1225800
GOLD,20190213,7.75,7.8,7.65,7.8,2835600
GOLDPF,20190213,7.2,7.3,7.2,7.3,20100
GPI,20190213,2.14,2.16,2.12,2.14,402900
GPSC,20190213,63.25,63.5,62,62.75,1772400
GRAMMY,20190213,7.1,7.6,7.1,7.4,103800
GRAND,20190213,0.98,0.98,0.96,0.98,1152300
GREEN,20190213,1.13,1.13,1.12,1.12,155200
GTB,20190213,0.63,0.65,0.62,0.65,855600
GULF,20190213,88.5,90,88.25,89.25,7451400
GUNKUL,20190213,3.26,3.3,3.24,3.26,23119900
GVREIT,20190213,15.3,15.3,15.3,15.3,525900
HANA,20190213,35,36,35,36,2236900
HARN,20190213,2.56,2.56,2.54,2.54,16000
HFT,20190213,3,3.02,3,3.02,149000
HMPRO,20190213,15.3,15.4,15.2,15.3,7148300
HPF,20190213,5.35,5.35,5.35,5.35,100
HPT,20190213,0.92,0.95,0.91,0.92,246700
HREIT,20190213,7.15,7.15,7.1,7.15,442500
HTC,20190213,14.6,14.9,14.6,14.7,111700
HTECH,20190213,5.75,5.85,5.75,5.8,189400
HUMAN,20190213,9.85,10.3,9.85,10.3,3297700
HYDRO,20190213,1.11,1.11,1.09,1.1,238000
ICC,20190213,40,40,40,40,80000
ICHI,20190213,3.34,3.46,3.32,3.4,1321900
ICN,20190213,1.93,1.99,1.92,1.94,555800
IFS,20190213,3.14,3.18,3.12,3.16,170100
IHL,20190213,8.2,8.25,8.15,8.25,169800
III,20190213,5.5,5.6,5.35,5.4,1881200
ILINK,20190213,4.72,4.78,4.72,4.78,102200
IMPACT,20190213,20.1,20.2,20.1,20.1,1016500
INET,20190213,3.32,3.36,3.28,3.34,242400
INGRS,20190213,0.71,0.72,0.69,0.7,5160600
INOX,20190213,0.99,1,0.99,0.99,453200
INTUCH,20190213,54.75,55.5,54.5,55.25,5793300
IRC,20190213,20.1,20.3,20,20,40600
IRCP,20190213,0.95,0.97,0.95,0.96,1311300
IRPC,20190213,5.9,5.95,5.8,5.95,98604700
IT,20190213,3.6,3.64,3.6,3.64,101100
ITD,20190213,2.54,2.58,2.52,2.52,8084300
ITEL,20190213,3.3,3.36,3.3,3.36,228000
IVL,20190213,47,47.75,46.75,47.5,22607600
J,20190213,1.44,1.54,1.44,1.48,206900
JAS,20190213,5.65,5.9,5.65,5.9,111283300
JASIF,20190213,10.3,10.5,10.3,10.4,31405600
JCK,20190213,1.53,1.55,1.53,1.55,100400
JCKH,20190213,0.66,0.67,0.64,0.67,144200
JCT,20190213,88,88,88,88,200
JKN,20190213,8.8,8.85,8.7,8.8,1295900
JMART,20190213,6.3,6.6,6.3,6.55,2875600
JMT,20190213,11.9,12.1,11.8,12.1,2008300
JSP,20190213,0.48,0.48,0.47,0.47,1220700
JTS,20190213,1.52,1.79,1.52,1.62,29081100
JUBILE,20190213,16.1,16.2,16.1,16.2,25100
JUTHA,20190213,0.76,0.84,0.76,0.78,31200
JWD,20190213,7.4,7.55,7.4,7.5,119600
K,20190213,2.34,2.34,2.32,2.34,22100
KAMART,20190213,3.74,3.8,3.74,3.76,868900
KASET,20190213,1.96,2.02,1.95,1.98,238300
KBANK,20190213,198.5,198.5,196.5,197,4482300
KBS,20190213,4.22,4.28,4.22,4.26,72200
KCAR,20190213,11.6,11.7,11.6,11.7,43300
KCE,20190213,30.75,32.5,30.25,32.5,17264300
KCM,20190213,1.07,1.12,1.07,1.1,5561900
KGI,20190213,4.7,4.72,4.68,4.72,1728200
KIAT,20190213,0.49,0.5,0.48,0.5,4142700
KKC,20190213,1.37,1.4,1.37,1.38,424300
KKP,20190213,70,70.75,69.5,69.75,6156700
KOOL,20190213,1.55,1.56,1.53,1.53,924900
KPNPF,20190213,9,9,8.95,8.95,1000
KSL,20190213,3.16,3.18,3.14,3.18,369600
KTB,20190213,19.6,19.7,19.5,19.5,26812500
KTC,20190213,31,31.5,30.75,31,13861000
KTIS,20190213,5.7,5.8,5.7,5.8,51400
KWG,20190213,1.85,1.92,1.84,1.85,981800
KWM,20190213,1.1,1.11,1.08,1.09,3081100
KYE,20190213,395,395,395,395,900
L&E,20190213,2.74,2.8,2.74,2.78,166600
LALIN,20190213,4.8,4.84,4.8,4.84,325100
LANNA,20190213,12.3,12.3,12.1,12.3,138600
LDC,20190213,1.02,1.08,1.02,1.04,628200
LEE,20190213,2.68,2.68,2.66,2.68,510100
LH,20190213,10.6,10.7,10.4,10.6,45221700
LHFG,20190213,1.49,1.49,1.48,1.48,966500
LHHOTEL,20190213,16.8,16.8,16.7,16.7,52100
LHK,20190213,3.86,3.86,3.74,3.78,3124100
LHPF,20190213,8.2,8.2,8.15,8.15,27100
