<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190805,11.11,11.11,11.03,11.05,61800
BMSCG,20190805,8.52,8.55,8.46,8.5,124100
BMSCITH,20190805,12.25,12.29,12.17,12.17,1137600
BSET100,20190805,10.76,10.8,10.7,10.73,1179800
CHINA,20190805,5.23,5.24,5.18,5.21,45800
ESET50,20190805,5.8,5.84,5.8,5.81,300
GLD,20190805,1.86,1.87,1.86,1.87,492000
TDEX,20190805,11.02,11.02,10.9,10.9,400900
TGOLDETF,20190805,4.11,4.12,4.1,4.12,100300
2S,20190805,2.22,2.24,2.2,2.22,260900
7UP,20190805,0.36,0.36,0.33,0.34,4528200
A,20190805,6.3,6.3,6.25,6.25,9300
AAV,20190805,3.82,3.84,3.78,3.8,6293700
ABICO,20190805,4.42,4.48,4.42,4.46,14700
ABM,20190805,0.92,0.93,0.92,0.92,55800
ABPIF,20190805,6.35,6.35,6.3,6.3,78100
ACAP,20190805,2.5,2.54,2.42,2.42,357300
ACC,20190805,0.69,0.69,0.69,0.69,26600
ACG,20190805,1.48,1.5,1.47,1.49,229500
ADB,20190805,0.73,0.73,0.72,0.73,149400
ADVANC,20190805,210,211,205,206,6836100
AEC,20190805,0.48,0.52,0.48,0.52,623500
AEONTS,20190805,225,226,217,219,403400
AF,20190805,0.69,0.69,0.67,0.69,42100
AGE,20190805,0.94,0.95,0.94,0.95,554100
AH,20190805,18.3,18.6,18.2,18.4,167100
AHC,20190805,15,15.8,15,15.4,40600
AI,20190805,1.36,1.36,1.32,1.33,3208800
AIE,20190805,0.66,0.66,0.63,0.64,11899200
AIMCG,20190805,9.75,9.8,9.75,9.75,640800
AIMIRT,20190805,12.4,12.4,12.3,12.4,619600
AIRA,20190805,1.3,1.31,1.29,1.31,39600
AIT,20190805,23.6,23.9,23.6,23.7,210400
AJ,20190805,8.3,8.3,8.2,8.2,72400
AJA,20190805,0.21,0.21,0.2,0.2,5882400
AKP,20190805,1.58,1.58,1.55,1.55,77500
AKR,20190805,0.78,0.79,0.77,0.77,1078200
ALL,20190805,4.4,4.54,4.4,4.5,3717400
ALLA,20190805,1.43,1.47,1.43,1.44,1754800
ALT,20190805,2.8,2.8,2.76,2.76,8800
ALUCON,20190805,168,168,167.5,167.5,500
AMA,20190805,7.6,8.4,7.55,7.55,5222900
AMANAH,20190805,2.34,2.38,2.32,2.32,3662200
AMARIN,20190805,4.94,4.96,4.9,4.94,16700
AMATA,20190805,23.9,24.1,23.9,24,4789600
AMATAR,20190805,11.9,12.2,11.9,12.1,18900
AMATAV,20190805,4.82,4.82,4.78,4.78,376500
AMC,20190805,1.69,1.71,1.68,1.71,50400
ANAN,20190805,3.48,3.52,3.4,3.42,5078100
AOT,20190805,69.5,70.5,69.25,69.5,35613200
AP,20190805,7.2,7.3,7.15,7.15,3846500
APCO,20190805,3.68,3.7,2.68,3.64,43100
APCS,20190805,4.44,4.46,4.36,4.36,246900
APEX,20190805,0.18,0.18,0.17,0.18,866800
APURE,20190805,1.34,1.35,1.32,1.32,176300
AQ,20190805,0.02,0.03,0.02,0.02,199493300
AQUA,20190805,0.57,0.58,0.56,0.56,8876800
ARIN,20190805,0.83,0.83,0.8,0.82,5531700
ARIP,20190805,0.5,0.5,0.46,0.46,1621300
ARROW,20190805,8.3,8.4,8.3,8.4,7700
AS,20190805,0.74,0.74,0.7,0.72,17400
ASAP,20190805,3.1,3.18,3.1,3.1,585500
ASEFA,20190805,4.98,5,4.94,4.96,104200
ASIA,20190805,6.5,6.55,6.45,6.45,27200
ASIAN,20190805,6.4,6.4,6.25,6.25,886500
ASIMAR,20190805,1.84,1.86,1.83,1.83,225000
ASK,20190805,25,25.25,24.8,25,224700
ASN,20190805,5.9,6.15,5.9,6.1,106200
ASP,20190805,2.66,2.66,2.6,2.6,1349200
ATP30,20190805,1.51,1.51,1.49,1.49,556400
AU,20190805,16.6,17,16.5,16.6,2405800
AUCT,20190805,6.6,6.75,6.6,6.7,571900
AYUD,20190805,41,41.25,41,41.25,101500
B,20190805,0.4,0.4,0.36,0.36,26581100
B-WORK,20190805,12,12.2,12,12.2,10200
B52,20190805,0.2,0.2,0.17,0.2,765700
BA,20190805,10.4,10.5,10.3,10.3,600800
BAFS,20190805,35.25,35.5,35,35.25,213000
BANPU,20190805,14.2,14.3,13.8,13.9,55140500
BAY,20190805,38.25,38.5,38,38.25,320200
BBL,20190805,177.5,179,177.5,177.5,5112800
BCH,20190805,15.4,15.4,14.9,15,11261700
