<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190807,11.09,11.11,10.99,11.01,44900
BMSCG,20190807,8.58,8.58,8.5,8.5,17000
BMSCITH,20190807,12.25,12.27,12.17,12.18,519100
BSET100,20190807,10.72,10.82,10.71,10.74,1456800
CHINA,20190807,5.24,5.24,5.13,5.15,25900
EBANK,20190807,5.37,5.37,5.37,5.37,600
EICT,20190807,5.33,5.39,5.33,5.39,7800
ENGY,20190807,6.17,6.24,6.17,6.24,2400
ESET50,20190807,5.81,5.81,5.81,5.81,100
GLD,20190807,1.88,1.92,1.88,1.91,2573900
TDEX,20190807,10.91,10.96,10.86,10.92,116100
TGOLDETF,20190807,4.18,4.2,4.17,4.19,131800
TH100,20190807,4.8,4.8,4.8,4.8,100
2S,20190807,2.22,2.22,2.18,2.18,132900
7UP,20190807,0.36,0.39,0.35,0.38,10554600
A,20190807,6.3,6.3,6.25,6.25,16000
AAV,20190807,3.74,3.74,3.56,3.56,52689400
ABICO,20190807,4.42,4.5,4.42,4.46,32900
ABM,20190807,0.9,0.94,0.9,0.94,266500
ABPIF,20190807,6.35,6.4,6.3,6.4,265000
ACAP,20190807,2.38,2.44,2.36,2.38,977100
ACC,20190807,0.69,0.69,0.68,0.68,175700
ACG,20190807,1.48,1.53,1.48,1.49,1666900
ADB,20190807,0.73,0.74,0.73,0.73,13200
ADVANC,20190807,217,220,215,220,11000900
AEC,20190807,0.52,0.53,0.5,0.53,351400
AEONTS,20190807,222,233,220,231,1401300
AF,20190807,0.68,0.68,0.67,0.68,26900
AGE,20190807,0.95,0.95,0.94,0.95,455000
AH,20190807,18.5,18.5,18.2,18.4,246300
AHC,20190807,15.5,15.5,15.4,15.5,26300
AI,20190807,1.32,1.34,1.31,1.31,3993300
AIE,20190807,0.64,0.67,0.64,0.64,21270700
AIMCG,20190807,9.75,9.8,9.75,9.8,88000
AIMIRT,20190807,12.2,12.6,12.2,12.4,781000
AIRA,20190807,1.36,1.36,1.36,1.36,1000
AIT,20190807,23.9,24,23.7,23.8,428000
AJ,20190807,8.3,8.8,8.25,8.5,90800
AJA,20190807,0.21,0.21,0.2,0.2,2609700
AKP,20190807,1.54,1.55,1.52,1.54,692700
AKR,20190807,0.79,0.79,0.77,0.78,687800
ALL,20190807,4.56,4.58,4.48,4.54,2277300
ALLA,20190807,1.45,1.45,1.42,1.43,933400
ALT,20190807,2.8,2.8,2.74,2.74,43800
ALUCON,20190807,167.5,168,167.5,168,900
AMA,20190807,7.95,8.1,7.75,7.8,2966900
AMANAH,20190807,2.36,2.52,2.34,2.48,49816700
AMARIN,20190807,4.94,4.94,4.32,4.9,45300
AMATA,20190807,24.9,25.5,24.7,25,27208700
