<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190711,11.6,11.6,11.52,11.55,7000
BMSCG,20190711,8.74,8.8,8.74,8.78,62200
BMSCITH,20190711,13.12,13.12,13.05,13.06,338900
BSET100,20190711,11.26,11.26,11.2,11.2,134100
CHINA,20190711,5.56,5.56,5.48,5.55,23500
ECOMM,20190711,9.09,9.09,9.09,9.09,5500
ENY,20190711,7.68,7.68,7.68,7.68,1500
ESET50,20190711,6.08,6.08,6.08,6.08,4000
GLD,20190711,1.81,1.82,1.81,1.82,310500
TDEX,20190711,11.35,11.4,11.35,11.37,84000
TGOLDETF,20190711,4.03,4.03,4.01,4.01,35800
TH100,20190711,5.03,5.03,5.03,5.03,6000
2S,20190711,2.24,2.26,2.22,2.24,38800
7UP,20190711,0.31,0.31,0.29,0.29,970600
A,20190711,6.25,6.25,6.2,6.2,25200
A5,20190711,1.08,1.17,1.06,1.17,220700
AAV,20190711,3.98,4,3.94,3.94,21259100
ABICO,20190711,4.52,4.66,4.52,4.6,318800
ABM,20190711,0.93,0.93,0.91,0.92,167600
ABPIF,20190711,6.5,6.55,6.45,6.5,403700
ACAP,20190711,2.98,3,2.96,2.98,653400
ACC,20190711,0.68,0.7,0.68,0.7,411600
ACG,20190711,1.5,1.52,1.49,1.51,7975200
ADB,20190711,0.78,0.79,0.78,0.78,16500
ADVANC,20190711,217,218,214,216,4527800
AEC,20190711,0.55,0.56,0.54,0.54,151700
AEONTS,20190711,232,235,229,230,480000
AF,20190711,0.68,0.68,0.63,0.68,348000
AFC,20190711,7.65,7.7,7.65,7.7,4000
AGE,20190711,1.06,1.1,1.06,1.07,11621200
AH,20190711,19.1,19.2,18.9,19.1,327100
AHC,20190711,15.3,15.3,15.2,15.3,8500
AI,20190711,1.45,1.45,1.42,1.42,6270500
AIE,20190711,0.59,0.6,0.57,0.59,5570700
AIMIRT,20190711,14.1,14.1,13.9,14,1492700
AIRA,20190711,1.31,1.33,1.31,1.32,64500
AIT,20190711,23.4,23.4,23.2,23.3,97300
AJ,20190711,8.8,8.85,8.7,8.85,29900
AJA,20190711,0.2,0.21,0.2,0.2,10406000
AKP,20190711,1.51,1.54,1.5,1.5,2370400
AKR,20190711,0.79,0.8,0.79,0.8,713800
ALL,20190711,4.44,4.5,4.42,4.44,1666600
ALLA,20190711,1.37,1.38,1.35,1.35,742500
ALT,20190711,2.96,2.96,2.9,2.9,129200
ALUCON,20190711,173.5,174,173.5,173.5,500
AMA,20190711,7.65,8.15,7.65,8,7171400
AMANAH,20190711,2.34,2.44,2.24,2.26,43281800
AMARIN,20190711,4.98,5,4.98,5,500
AMATA,20190711,24.2,24.5,24.2,24.5,32786600
AMATAR,20190711,12.5,12.6,12.4,12.6,21300
AMATAV,20190711,4.96,4.96,4.92,4.92,413000
AMC,20190711,1.76,1.76,1.75,1.75,8700
ANAN,20190711,4,4.04,3.92,3.94,14187700
AOT,20190711,74.5,74.5,73.75,73.75,10931900
AP,20190711,8.1,8.2,8.1,8.1,9614300
APCO,20190711,3.74,3.74,3.68,3.68,30100
APCS,20190711,4.58,4.58,4.56,4.58,107900
APEX,20190711,0.19,0.19,0.18,0.19,220500
APURE,20190711,1.39,1.39,1.38,1.38,325100
AQ,20190711,0.02,0.03,0.02,0.03,38648600
AQUA,20190711,0.53,0.53,0.52,0.53,3001300
ARIN,20190711,1.45,1.48,1.3,1.3,49885400
ARIP,20190711,0.52,0.53,0.5,0.5,971300
ARROW,20190711,8.5,8.5,8.4,8.45,83700
AS,20190711,0.73,0.74,0.73,0.74,2200
ASAP,20190711,3.06,3.22,2.96,3.18,9070800
ASEFA,20190711,4.94,4.94,4.88,4.92,131600
ASIA,20190711,7.1,7.1,7,7,3300
ASIAN,20190711,7.3,7.35,7.2,7.2,663900
ASIMAR,20190711,1.89,1.99,1.89,1.91,1250400
ASK,20190711,24.2,24.2,24,24.1,120900
ASN,20190711,5.6,6.1,5.4,5.4,53900
ASP,20190711,2.84,2.84,2.8,2.82,1396800
ATP30,20190711,1.41,1.41,1.39,1.4,374400
AU,20190711,16.2,16.7,16,16.4,9306200
AUCT,20190711,7.8,7.8,7.7,7.75,2689700
AYUD,20190711,42,42.5,41.5,41.5,43600
B,20190711,0.53,0.63,0.53,0.62,11884700
B-WORK,20190711,12.5,12.5,12.5,12.5,285500
B52,20190711,0.26,0.26,0.24,0.25,288500
BA,20190711,11.2,11.3,11.1,11.2,982800
BAFS,20190711,35.5,35.75,35.25,35.5,127300
BANPU,20190711,14.6,14.6,14.4,14.6,24635000
BAY,20190711,38.5,38.75,38.25,38.25,253900
BBL,20190711,198,198.5,196,196,3847300
BCH,20190711,16.4,16.5,16.1,16.1,11196300
BCP,20190711,31,31,30.5,30.5,1560000
BCPG,20190711,19.5,19.5,19.1,19.4,18503200
BCT,20190711,47.25,47.25,47,47.25,3800
BDMS,20190711,25.5,25.5,25,25.5,42956500
BEAUTY,20190711,4.2,4.22,4.1,4.12,80663900
BEC,20190711,9.65,10.1,9.6,10.1,49968200
BEM,20190711,11.2,11.2,11,11,97572900
BFIT,20190711,17.9,18,17.9,17.9,110600
BGC,20190711,13.6,13.9,13.3,13.4,13644700
BGRIM,20190711,37.25,37.25,36.75,36.75,6103700
BGT,20190711,1,1.01,0.99,1.01,22200
BH,20190711,175.5,176,173,173,1120000
BIG,20190711,1.04,1.08,1.04,1.07,5485700
BIZ,20190711,2.64,2.64,2.58,2.58,181400
BJC,20190711,51,51.5,50.5,50.75,9971900
BJCHI,20190711,2.52,2.58,2.52,2.58,638300
BKD,20190711,2.88,2.88,2.86,2.86,147800
BKI,20190711,333,335,332,335,7800
BKKCP,20190711,13.5,13.5,13.5,13.5,26000
BLA,20190711,26,26.5,26,26.25,860400
BLAND,20190711,1.75,1.77,1.74,1.74,16568300
BLISS,20190711,0.13,0.13,0.12,0.13,7221600
BM,20190711,2.04,2.04,2,2.02,262400
BOFFICE,20190711,16.8,16.8,16.6,16.7,31200
BOL,20190711,2.52,2.62,2.52,2.56,399400
BPP,20190711,22.2,22.3,21.7,21.7,3344900
BR,20190711,3.38,3.48,3.36,3.38,7719300
BROCK,20190711,2.04,2.04,2.04,2.04,7800
BROOK,20190711,0.51,0.52,0.5,0.51,3230200
BRR,20190711,6.05,6.1,6.05,6.1,206800
BRRGIF,20190711,9.8,9.85,9.75,9.85,321200
BSBM,20190711,0.9,0.9,0.9,0.9,401000
BSM,20190711,0.45,0.45,0.44,0.45,262500
BTS,20190711,12.6,12.8,12.5,12.6,43779000
BTSGIF,20190711,11.5,11.6,11.4,11.5,6056300
BTW,20190711,1.46,1.47,1.45,1.46,100700
BUI,20190711,11.8,11.8,11.7,11.8,34700
BWG,20190711,0.91,0.91,0.89,0.9,5732500
CAZ,20190711,2.42,2.44,2.4,2.4,686600
CBG,20190711,75.5,75.75,74.5,75,1464000
CCET,20190711,1.8,1.8,1.77,1.78,1076300
CCP,20190711,0.37,0.38,0.37,0.38,891300
CEN,20190711,1.01,1.01,1,1,97200
CENTEL,20190711,35.5,36,35,35.5,3522900
CFRESH,20190711,3.04,3.04,3,3.02,20500
CGD,20190711,1.07,1.07,1.05,1.05,1196500
CGH,20190711,0.93,0.93,0.92,0.93,87600
CHAYO,20190711,5.05,5.4,5.05,5.15,29871300
CHEWA,20190711,0.81,0.81,0.8,0.8,1294600
CHG,20190711,2.32,2.32,2.28,2.3,19909600
CHO,20190711,0.94,0.94,0.92,0.93,482700
CHOW,20190711,2.3,2.3,2.24,2.24,104300
CHUO,20190711,0.22,0.23,0.21,0.21,345700
CI,20190711,1.27,1.3,1.27,1.3,70200
CIG,20190711,0.25,0.26,0.25,0.26,320500
CIMBT,20190711,0.72,0.73,0.71,0.73,350200
CITY,20190711,2.24,2.26,2.24,2.26,10500
CK,20190711,28,28.25,27.5,27.75,17183300
CKP,20190711,7.15,7.3,7.1,7.2,51158800
CM,20190711,3.72,3.72,3.7,3.72,66300
CMAN,20190711,2.44,2.48,2.44,2.46,709900
CMC,20190711,1.35,1.35,1.33,1.33,1632400
CMO,20190711,1.43,1.43,1.41,1.43,52400
CMR,20190711,2.38,2.38,2.36,2.38,72700
CNS,20190711,1.81,1.81,1.78,1.81,88100
CNT,20190711,1.93,1.94,1.93,1.94,47200
COL,20190711,23.7,23.7,23.1,23.2,167700
COLOR,20190711,1.24,1.24,1.24,1.24,5000
COM7,20190711,24.1,24.8,23.8,24,18812500
COMAN,20190711,3.18,3.18,3.18,3.18,13800
COTTO,20190711,2.06,2.08,2.04,2.04,224900
CPALL,20190711,88,88.25,86.75,87.5,31827600
CPF,20190711,30,30,29.5,29.75,19914800
CPH,20190711,4.84,4.88,4.84,4.84,22900
CPI,20190711,1.43,1.44,1.42,1.42,107300
CPL,20190711,1.5,1.5,1.5,1.5,500
CPN,20190711,75.25,75.5,74.25,74.25,7881300
CPNCG,20190711,15.8,15.8,15.6,15.7,376300
CPNREIT,20190711,32.75,33.25,32.75,33,3197400
CPR,20190711,5.05,5.05,5.05,5.05,62500
CPT,20190711,1.07,1.11,1.07,1.1,7244400
CPTGF,20190711,14.1,14.2,14,14.1,91800
CRANE,20190711,2.04,2.08,2,2.02,266700
CRD,20190711,1,1,0.99,0.99,48300
CRYSTAL,20190711,8.95,9,8.95,9,198100
CSC,20190711,50,50.25,50,50.25,7700
CSS,20190711,1.92,1.93,1.9,1.9,1494600
CTARAF,20190711,5.9,5.95,5.85,5.95,428600
CTW,20190711,7.85,7.85,7.7,7.8,47800
CWT,20190711,3,3.02,2.98,2.98,384600
D,20190711,6.75,6.75,6.7,6.75,168100
DCC,20190711,2.1,2.14,2.1,2.12,4448600
DCON,20190711,0.42,0.42,0.4,0.41,2021500
DCORP,20190711,0.63,0.69,0.61,0.63,10346600
DDD,20190711,25,26.25,25,25.5,5408000
DELTA,20190711,60.75,62,60.5,60.5,760500
DEMCO,20190711,3.62,3.76,3.62,3.74,3709200
DIF,20190711,17.7,17.8,17.7,17.8,9249500
DIMET,20190711,0.68,0.68,0.65,0.66,538300
DOD,20190711,14.1,14.2,13.4,13.8,14968900
DREIT,20190711,6.6,6.6,6.5,6.6,95900
DRT,20190711,6,6,5.9,5.95,412400
DTAC,20190711,52.75,53.5,52.5,53.25,9148100
DTC,20190711,9.7,9.85,9.7,9.8,350300
EA,20190711,55.5,55.75,55,55,19824400
EARTH,20190711,0.5,0.54,0.47,0.51,44188700
EASON,20190711,1.9,1.9,1.89,1.89,189300
EASTW,20190711,13.5,13.6,13.4,13.4,2550600
ECF,20190711,2.44,2.48,2.42,2.46,2310000
ECL,20190711,1.8,1.81,1.77,1.78,11636700
EE,20190711,0.56,0.56,0.54,0.55,1565000
EFORL,20190711,0.04,0.05,0.04,0.05,12717700
EGATIF,20190711,12.9,12.9,12.8,12.8,1579500
EGCO,20190711,340,341,337,337,705800
EIC,20190711,0.05,0.05,0.04,0.05,11400
EKH,20190711,7.1,7.1,7,7,1761600
EMC,20190711,0.27,0.27,0.26,0.26,160000
EPCO,20190711,3.58,3.64,3.56,3.56,2584700
EPG,20190711,6.6,6.65,6.5,6.55,16529200
ERW,20190711,6.3,6.45,6.3,6.4,7627900
ERWPF,20190711,5.6,5.6,5.5,5.6,18600
ESSO,20190711,10.7,10.7,10.5,10.7,17119400
ESTAR,20190711,0.49,0.49,0.48,0.49,4330700
ETE,20190711,1.17,1.17,1.15,1.16,241100
EVER,20190711,0.44,0.45,0.43,0.44,6854900
FANCY,20190711,0.65,0.65,0.63,0.64,1603800
FC,20190711,0.3,0.31,0.29,0.31,3426900
FE,20190711,205,205,205,205,100
FLOYD,20190711,1.74,1.75,1.74,1.74,22300
FMT,20190711,24.6,24.6,24.2,24.2,1900
FN,20190711,2.18,2.18,2.14,2.14,3181700
FNS,20190711,3.28,3.4,3.28,3.38,100300
FORTH,20190711,5.95,6,5.85,6,508200
FPI,20190711,2.88,2.9,2.86,2.9,864500
FPT,20190711,18.6,19.3,18.6,19.2,1154200
FSMART,20190711,8.4,8.65,8.35,8.5,5741500
FSS,20190711,2.02,2.04,2,2.02,278900
FTE,20190711,2.42,2.42,2.4,2.4,1002400
FTREIT,20190711,16.8,17,16.7,16.8,1209200
FUTUREPF,20190711,27,27.5,26.75,26.75,204300
FVC,20190711,0.61,0.61,0.6,0.6,2047300
GAHREIT,20190711,9.3,9.3,9.3,9.3,14800
GBX,20190711,0.55,0.56,0.55,0.55,570400
GC,20190711,5.35,5.45,5.35,5.4,233400
GCAP,20190711,2.52,2.58,2.48,2.54,4986600
GEL,20190711,0.23,0.23,0.22,0.22,3301400
GENCO,20190711,0.67,0.69,0.66,0.67,3119800
GFPT,20190711,18.6,18.8,18.4,18.5,4640400
GGC,20190711,12.7,12.7,12.4,12.6,3556300
GIFT,20190711,3.38,3.56,3.38,3.46,191300
GJS,20190711,0.18,0.18,0.17,0.18,5754100
GL,20190711,6.65,6.7,6.55,6.6,1969900
GLAND,20190711,2.8,2.8,2.78,2.8,12800
GLOBAL,20190711,17.8,18.2,17.8,17.9,7891700
GLOW,20190711,89,89.25,89,89,718800
GOLD,20190711,8.4,8.45,8.4,8.4,4167800
GPI,20190711,2.06,2.06,2.02,2.06,628200
GPSC,20190711,73,73,71.25,71.75,17188800
GRAMMY,20190711,11.7,11.7,11.6,11.7,34000
GRAND,20190711,0.84,0.84,0.83,0.84,27100
GREEN,20190711,1,1,0.99,0.99,90600
GSC,20190711,1.01,1.03,1.01,1.02,387800
GSTEEL,20190711,0.08,0.08,0.07,0.08,10443900
GTB,20190711,0.61,0.61,0.6,0.6,90600
GULF,20190711,128.5,129,127,127.5,6893800
GUNKUL,20190711,3.06,3.06,3,3.06,50737600
GVREIT,20190711,17.4,17.7,17.3,17.7,73500
GYT,20190711,365,365,365,365,100
HANA,20190711,27.5,28.5,27.5,27.75,3390500
HARN,20190711,2.32,2.34,2.3,2.3,162400
HFT,20190711,2.8,2.84,2.78,2.82,246400
HMPRO,20190711,17.8,17.8,17.5,17.6,10729100
HPF,20190711,4.94,4.98,4.92,4.98,184100
HPT,20190711,0.77,0.78,0.76,0.76,206300
HREIT,20190711,9.1,9.25,9.1,9.15,4353200
HTC,20190711,22.5,22.7,22.2,22.3,278000
HTECH,20190711,3.46,3.84,3.44,3.84,6501300
HUMAN,20190711,8.85,9.2,8.8,9.05,5548600
HYDRO,20190711,0.56,0.58,0.56,0.57,52700
ICHI,20190711,7.05,7.3,6.85,7.2,15482600
ICN,20190711,1.99,1.99,1.98,1.98,213100
IFEC,20190711,0.35,0.37,0.33,0.34,81851700
IFS,20190711,3.34,3.34,3.3,3.34,112500
IHL,20190711,4.96,4.96,4.92,4.94,829100
III,20190711,6.5,6.6,6.4,6.5,9423500
ILINK,20190711,5.65,5.75,5.65,5.7,414400
IMPACT,20190711,28,28,27.75,28,709100
INET,20190711,3.22,3.24,3.2,3.22,182800
INGRS,20190711,0.64,0.64,0.63,0.63,2445600
INOX,20190711,0.83,0.84,0.83,0.83,37500
INSURE,20190711,32,32,32,32,500
INTUCH,20190711,63.75,64,63.25,63.75,6399900
IRC,20190711,18,18,17.9,18,21700
IRCP,20190711,0.7,0.71,0.7,0.7,230300
IRPC,20190711,4.86,4.94,4.86,4.92,137278400
IT,20190711,2.88,3,2.88,3,516300
ITD,20190711,2.3,2.34,2.3,2.32,8650000
ITEL,20190711,3.42,3.5,3.38,3.42,2256200
IVL,20190711,43.25,43.75,42.25,42.25,28591100
J,20190711,1.07,1.09,1.06,1.09,421000
JAS,20190711,7.65,7.65,7.45,7.6,98784900
JASIF,20190711,11.6,11.9,11.6,11.9,75626300
JCK,20190711,1.34,1.38,1.32,1.32,3102200
JCKH,20190711,0.64,0.64,0.63,0.63,85100
JCT,20190711,87.5,87.5,87.5,87.5,100
JKN,20190711,9.9,10.3,9.8,10.1,13073200
JMART,20190711,12.7,12.8,12.4,12.5,6035100
JMT,20190711,18.7,19.1,18.5,18.6,7655800
JSP,20190711,0.42,0.42,0.41,0.41,2126500
JTS,20190711,1.43,1.45,1.43,1.44,167100
JUBILE,20190711,16.8,17.2,16.8,17,184400
JUTHA,20190711,0.79,0.8,0.73,0.74,118000
JWD,20190711,10.2,10.3,9.9,10.2,3969900
K,20190711,1.46,1.46,1.39,1.4,286100
KAMART,20190711,5.7,5.8,5.65,5.75,1096900
KASET,20190711,1.82,1.85,1.82,1.85,3400
KBANK,20190711,189.5,190,187.5,187.5,6218900
KBS,20190711,4.08,4.08,4,4,65000
KC,20190711,0.26,0.3,0.26,0.28,10156100
KCAR,20190711,11.6,11.7,11.6,11.7,29800
KCE,20190711,18.6,18.9,18.5,18.7,5487100
KCM,20190711,0.88,0.89,0.87,0.87,766900
KDH,20190711,93.75,94,93.75,93.75,2000
KGI,20190711,4.72,4.74,4.7,4.74,2233900
KIAT,20190711,0.4,0.41,0.39,0.39,1793300
KKC,20190711,1.08,1.08,1.06,1.07,55800
KKP,20190711,72,72.5,71.5,71.75,6341100
KOOL,20190711,1.21,1.22,1.2,1.21,776900
KPNPF,20190711,8.85,8.85,8.85,8.85,2800
KSL,20190711,2.84,2.86,2.82,2.86,603100
KTB,20190711,19.5,19.5,19.3,19.3,11135500
KTC,20190711,42,42.25,41.25,41.5,10604800
KTECH,20190711,0.16,0.17,0.12,0.12,53620900
KTIS,20190711,5.45,5.45,5.4,5.45,43500
KWC,20190711,309,315,309,315,1200
KWG,20190711,2,2,1.97,2,116600
KWM,20190711,1.05,1.08,1.05,1.06,605700
KYE,20190711,386,386,384,386,3800
L&E,20190711,2.58,2.58,2.5,2.56,156200
LALIN,20190711,5.65,5.7,5.65,5.7,118800
LANNA,20190711,11.4,11.4,11.2,11.3,44100
LDC,20190711,0.99,1,0.98,1,34500
LEE,20190711,2.36,2.42,2.34,2.42,126700
LH,20190711,11.2,11.2,11.1,11.2,22768100
LHFG,20190711,1.51,1.52,1.5,1.52,4714700
LHHOTEL,20190711,20.4,20.4,20.3,20.3,72700
LHK,20190711,3.82,3.84,3.82,3.84,140400
LHPF,20190711,9.4,9.45,9.4,9.4,43000
LHSC,20190711,18.7,18.7,18.6,18.7,46400
LIT,20190711,6.05,6.1,5.95,5.95,1425100
LOXLEY,20190711,2.38,2.38,2.34,2.36,5755800
LPH,20190711,5.6,5.65,5.55,5.6,349600
LPN,20190711,7.85,8,7.75,7.8,16919000
LRH,20190711,47.25,47.25,46.25,46.25,500
LST,20190711,4.62,4.62,4.54,4.56,158500
LUXF,20190711,9,9,8.95,9,3700
M,20190711,79.5,80.75,79,79,985500
M-CHAI,20190711,211,214,211,214,300
M-PAT,20190711,6.85,7,6.85,6.95,11300
M-STOR,20190711,7.2,7.25,7.2,7.25,2700
MACO,20190711,1.53,1.55,1.52,1.53,9551700
MAJOR,20190711,28.5,28.75,28,28,1796500
MAKRO,20190711,39.5,40.75,39.5,39.5,2484500
MALEE,20190711,8.8,9,8.7,8.8,2516500
MATCH,20190711,1.98,1.99,1.95,1.99,250100
MAX,20190711,0.01,0.02,0.01,0.02,5404800
MBAX,20190711,4,4,3.94,3.96,304700
MBK,20190711,21.7,22,21.7,21.7,929700
MBKET,20190711,9.25,9.4,9.1,9.4,173900
MC,20190711,7.7,7.75,7.65,7.65,665500
MCOT,20190711,10.4,10.5,10.3,10.3,64300
MCS,20190711,7.95,8,7.8,7.95,2009000
MDX,20190711,4.14,4.2,4.12,4.12,78600
MEGA,20190711,35.25,35.5,35,35.25,1385500
META,20190711,1.48,1.49,1.47,1.48,771400
MFC,20190711,17.9,17.9,17.7,17.7,8800
MFEC,20190711,4.08,4.22,4.08,4.22,2360600
MGT,20190711,1.84,1.84,1.75,1.77,1210500
MIDA,20190711,0.61,0.61,0.6,0.6,138100
MILL,20190711,0.92,0.93,0.92,0.92,232200
MINT,20190711,41.5,41.75,41,41.25,6760000
MITSIB,20190711,2.34,2.42,2.32,2.42,7286600
MJD,20190711,3.4,3.42,3.38,3.4,105500
MJLF,20190711,12.8,12.8,12.8,12.8,269900
MK,20190711,3.38,3.38,3.36,3.38,44300
ML,20190711,1,1.01,1,1.01,606900
MM,20190711,2.94,2.94,2.9,2.9,402400
MNIT,20190711,1.51,1.6,1.5,1.52,16200
MNRF,20190711,3.44,3.44,3.42,3.42,84400
MODERN,20190711,3.28,3.28,3.26,3.26,116900
MONO,20190711,1.82,1.83,1.81,1.83,2473600
MONTRI,20190711,6.25,6.25,6.25,6.25,10000
MOONG,20190711,5.9,5.9,5.7,5.7,1194400
MORE,20190711,0.15,0.16,0.14,0.16,1961500
MPG,20190711,0.48,0.48,0.46,0.46,7200
MPIC,20190711,1.54,1.61,1.54,1.61,1800
MSC,20190711,7.6,7.6,7.5,7.6,79400
MTC,20190711,56.25,56.5,55.75,56,7092900
MTI,20190711,94.25,94.25,94.25,94.25,100
MVP,20190711,1.93,2.14,1.93,2.08,2684500
NBC,20190711,0.48,0.51,0.48,0.49,724500
NCH,20190711,1,1,1,1,54600
NCL,20190711,1.25,1.25,1.22,1.24,77600
NDR,20190711,1.81,1.92,1.81,1.84,3048600
NEP,20190711,0.29,0.3,0.29,0.29,2515900
NER,20190711,2.6,2.78,2.58,2.74,185883200
NETBAY,20190711,33.75,34,33.25,33.75,647400
NEWS,20190711,0.01,0.01,0.01,0.01,67176300
NEX,20190711,3.34,3.64,3.34,3.64,4802500
NFC,20190711,4,4.6,4,4.6,11300
NINE,20190711,2.02,2.04,2,2.02,74700
NKI,20190711,60.25,60.25,60.25,60.25,500
NMG,20190711,0.11,0.12,0.1,0.11,5982900
NNCL,20190711,1.89,1.89,1.86,1.88,2139200
NOBLE,20190711,21.9,22.4,21.8,22,2108900
NOK,20190711,2.4,2.42,2.4,2.4,71900
NPPG,20190711,1.04,1.1,1.04,1.07,18046100
NSI,20190711,67.75,68.5,67.75,68.5,500
NTV,20190711,52.5,52.5,52,52.5,10000
