<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190529,10.88,10.95,10.88,10.91,13000
BMSCG,20190529,7.96,8,7.96,7.98,3700
BMSCITH,20190529,12.43,12.43,12.29,12.29,396300
BSET100,20190529,10.55,10.55,10.46,10.46,129200
CHINA,20190529,5.31,5.35,5.27,5.32,24100
ENGY,20190529,6.1,6.1,6.1,6.1,1100
ESET50,20190529,5.72,5.72,5.72,5.72,400
GLD,20190529,1.72,1.73,1.72,1.73,11300
TDEX,20190529,10.67,10.72,10.67,10.68,21100
TGOLDETF,20190529,3.78,3.79,3.78,3.79,36600
2S,20190529,2.2,2.2,2.14,2.16,114600
7UP,20190529,0.27,0.27,0.26,0.26,946000
A,20190529,6.35,6.35,6.3,6.3,9000
AAV,20190529,4.02,4.04,3.98,3.98,11480800
ABICO,20190529,4,4.02,3.94,3.94,25700
ABM,20190529,0.89,0.9,0.87,0.89,139900
ABPIF,20190529,5.95,5.95,5.9,5.95,38300
ACAP,20190529,3.6,3.76,3.6,3.7,854700
ACC,20190529,0.69,0.69,0.68,0.68,550800
ADB,20190529,0.82,0.85,0.82,0.82,42700
ADVANC,20190529,191.5,192,190,192,3644200
AEC,20190529,0.55,0.56,0.55,0.56,743200
AEONTS,20190529,198.5,202,198,201,408000
AF,20190529,0.67,0.68,0.67,0.67,15500
AGE,20190529,1,1,0.96,0.97,2241900
AH,20190529,18.6,18.9,18.5,18.7,377400
AHC,20190529,16.9,16.9,16.9,16.9,6200
AIMIRT,20190529,12.1,12.2,12,12.1,182000
AIRA,20190529,1.29,1.32,1.29,1.3,2900
AIT,20190529,21.4,21.4,21.3,21.4,76100
AJ,20190529,9.65,9.7,9.65,9.65,10800
AJA,20190529,0.21,0.21,0.19,0.19,2867400
AKP,20190529,1.61,1.62,1.59,1.61,92100
AKR,20190529,0.7,0.71,0.69,0.69,309200
ALL,20190529,3.98,4.02,3.86,3.88,9449300
ALLA,20190529,1.35,1.36,1.34,1.36,78000
ALT,20190529,2.74,2.74,2.72,2.72,47800
ALUCON,20190529,171,171.5,171,171.5,600
AMA,20190529,4.1,4.12,4.08,4.1,69400
AMANAH,20190529,1.56,1.59,1.53,1.56,4514400
AMARIN,20190529,5,5,5,5,21600
AMATA,20190529,21.9,22.1,21.8,21.9,9497200
AMATAR,20190529,11.7,11.9,11.7,11.9,2500
AMATAV,20190529,4.98,5,4.98,4.98,59100
AMC,20190529,1.68,1.68,1.64,1.66,34500
ANAN,20190529,3.66,3.82,3.66,3.76,25103700
AOT,20190529,66.75,67,66.25,66.5,13208400
AP,20190529,7.85,7.85,7.75,7.8,5426200
APCO,20190529,3.72,3.72,3.68,3.7,35400
APCS,20190529,4.68,4.72,4.68,4.72,211500
APEX,20190529,0.17,0.17,0.17,0.17,636700
APURE,20190529,1.37,1.38,1.37,1.37,100800
AQ,20190529,0.03,0.03,0.02,0.03,8157900
AQUA,20190529,0.5,0.5,0.48,0.48,14713100
ARIP,20190529,0.41,0.41,0.41,0.41,19700
ARROW,20190529,8.15,8.15,8.1,8.1,7500
AS,20190529,0.79,0.8,0.79,0.8,14100
ASAP,20190529,2.38,2.58,2.38,2.48,2847300
ASEFA,20190529,4.78,4.78,4.72,4.74,59100
ASIA,20190529,7.3,7.3,7.3,7.3,9200
ASIAN,20190529,7.15,7.2,7.05,7.1,913400
ASIMAR,20190529,1.74,1.75,1.72,1.75,68600
ASK,20190529,23.6,23.6,23.4,23.4,126000
ASN,20190529,4,4,3.98,3.98,46400
ASP,20190529,2.6,2.62,2.58,2.6,1503500
ATP30,20190529,1.32,1.32,1.31,1.32,183100
AU,20190529,9.5,9.9,9.4,9.75,6116700
AUCT,20190529,6.65,6.7,6.6,6.7,178500
AYUD,20190529,40.75,41.5,40.75,41.25,4900
B,20190529,0.47,0.47,0.45,0.45,227100
B-WORK,20190529,11.3,11.4,11.3,11.4,64200
B52,20190529,0.29,0.29,0.28,0.28,157000
BA,20190529,11.2,11.3,11,11.2,270900
BAFS,20190529,34.25,34.5,34.25,34.5,117100
BANPU,20190529,15,15.2,14.9,14.9,32581400
BAY,20190529,37.25,37.5,36.5,36.75,354700
BBL,20190529,195.5,196,194,195,10497200
BCH,20190529,16.3,16.4,15.8,15.8,37294300
BCP,20190529,29.5,29.5,29,29,2271900
BCPG,20190529,17.5,17.6,17.3,17.3,2617200
BCT,20190529,47,47.75,47,47.25,18800
BDMS,20190529,26,26.5,25.75,26,129637500
BEAUTY,20190529,4.08,4.18,3.94,4.04,435052300
BEC,20190529,9.4,9.9,9.35,9.9,36352900
BEM,20190529,11.2,11.4,11.1,11.2,49902800
BFIT,20190529,17.7,17.8,17.7,17.8,127000
BGC,20190529,11.5,11.5,11.4,11.4,91000
BGRIM,20190529,33,33.25,32.5,32.5,3183000
