<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190924,10.56,10.61,10.55,10.58,13100
ABFTH,20190924,1398,1398,1398,1398,100
BMSCG,20190924,8.04,8.04,8,8,2000
BMSCITH,20190924,11.88,11.97,11.88,11.95,153900
BSET100,20190924,10.52,10.57,10.52,10.56,26000
CHINA,20190924,5.4,5.4,5.39,5.39,3500
EBANK,20190924,5.15,5.15,5.15,5.15,2000
EICT,20190924,5.23,5.23,5.23,5.23,100
ESET50,20190924,5.76,5.76,5.76,5.76,100
GLD,20190924,1.95,1.96,1.94,1.96,117100
TDEX,20190924,10.75,10.8,10.75,10.78,106000
TGOLDETF,20190924,4.25,4.26,4.24,4.24,35000
2S,20190924,2.3,2.3,2.26,2.26,147900
7UP,20190924,0.58,0.59,0.56,0.57,18103300
A,20190924,6.25,6.25,6.25,6.25,12000
AAV,20190924,3.06,3.08,3.04,3.06,3610400
ABICO,20190924,4.2,4.26,4.2,4.22,26700
ABM,20190924,0.83,0.83,0.83,0.83,39300
ABPIF,20190924,4.86,4.86,4.84,4.86,175200
ACAP,20190924,1.62,1.9,1.59,1.77,27584100
ACC,20190924,0.65,0.65,0.62,0.64,93500
ACG,20190924,1.38,1.43,1.37,1.38,265600
ADB,20190924,0.6,0.6,0.59,0.6,343000
ADVANC,20190924,212,218,212,218,10148900
AEC,20190924,0.29,0.3,0.28,0.28,571400
AEONTS,20190924,197.5,205,197.5,204,472600
AF,20190924,0.67,0.67,0.67,0.67,100
AFC,20190924,7.3,7.3,6.95,6.95,3500
AGE,20190924,0.97,0.97,0.95,0.96,530200
AH,20190924,17.8,17.8,17.6,17.7,65100
AHC,20190924,15.5,15.6,15.5,15.6,1200
AI,20190924,1.19,1.23,1.19,1.22,1857900
AIE,20190924,0.4,0.42,0.4,0.42,1998700
AIMCG,20190924,10,10.1,10,10.1,247100
AIMIRT,20190924,14.9,15.1,14.9,15,889100
AIRA,20190924,1.28,1.3,1.27,1.3,110700
AIT,20190924,20.8,21.1,20.8,21.1,80600
AJ,20190924,8.05,8.15,8.05,8.15,15200
AJA,20190924,0.17,0.18,0.17,0.18,7269600
AKP,20190924,1.38,1.39,1.38,1.38,740600
AKR,20190924,0.75,0.75,0.73,0.73,478800
ALL,20190924,4.12,4.14,4.1,4.12,539300
ALLA,20190924,1.16,1.17,1.15,1.16,198900
ALT,20190924,2.48,2.56,2.48,2.56,25800
AMA,20190924,6.25,6.6,6.25,6.5,885900
AMANAH,20190924,3.18,3.22,3.14,3.14,10180800
AMARIN,20190924,4.82,4.86,4.82,4.86,44700
AMATA,20190924,24.3,24.8,24.3,24.8,9406600
AMATAR,20190924,12.7,12.9,12.7,12.8,26700
AMATAV,20190924,4.84,4.96,4.84,4.84,47700
AMC,20190924,1.84,1.84,1.82,1.82,100800
ANAN,20190924,3.14,3.2,3.12,3.18,2012300
AOT,20190924,72.75,73.75,72.75,73,12067500
AP,20190924,6.4,6.65,6.35,6.55,10332400
APCO,20190924,3.32,3.4,3.3,3.4,102200
APCS,20190924,4.08,4.08,4,4.06,48900
APEX,20190924,0.16,0.16,0.16,0.16,1255000
APURE,20190924,0.84,0.86,0.84,0.84,40400
AQ,20190924,0.02,0.02,0.01,0.02,83596700
AQUA,20190924,0.51,0.51,0.5,0.5,2515000
ARIN,20190924,0.57,0.6,0.57,0.59,2417800
ARIP,20190924,0.43,0.44,0.42,0.44,292700
ARROW,20190924,8.85,9.05,8.85,9.05,167200
AS,20190924,0.82,0.83,0.81,0.83,1300
ASAP,20190924,2.8,2.84,2.74,2.74,431200
ASEFA,20190924,4.64,4.64,4.62,4.62,38300
ASIA,20190924,6.45,6.45,6.35,6.4,12200
ASIAN,20190924,5.7,5.8,5.7,5.7,174100
ASIMAR,20190924,1.46,1.47,1.44,1.46,53300
ASK,20190924,26,26.25,26,26,131100
ASN,20190924,5.75,5.75,5.7,5.7,2700
ASP,20190924,2,2.02,1.99,2,1471400
ATP30,20190924,1.38,1.38,1.37,1.38,166600
AU,20190924,14,14.4,11.8,12.3,19637800
AUCT,20190924,8.75,8.95,8.75,8.85,953000
AYUD,20190924,40.75,41.5,40.75,41.25,22800
B,20190924,0.28,0.28,0.27,0.27,253500
B-WORK,20190924,12.8,12.8,12.8,12.8,4400
B52,20190924,0.24,0.24,0.23,0.24,116800
BA,20190924,8.7,8.85,8.7,8.75,471700
BAFS,20190924,33,33.25,32.75,32.75,274800
BANPU,20190924,11.9,12.2,11.8,12,27034000
BAY,20190924,33.75,34,33.5,33.75,262700
BBL,20190924,177.5,179.5,177.5,179,3070600
BCH,20190924,15.2,15.3,15,15.2,5803900
BCP,20190924,27.25,27.5,26.75,26.75,2989200
