<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190510,11.24,11.24,11.17,11.19,18400
BMSCG,20190510,8.14,8.14,8.09,8.14,25100
BMSCITH,20190510,12.55,12.56,12.45,12.52,341800
BSET100,20190510,10.69,10.69,10.6,10.66,75700
CHINA,20190510,5.43,5.5,5.38,5.5,217900
EFOOD,20190510,5.71,5.71,5.71,5.71,300
ENGY,20190510,6.11,6.3,6.1,6.3,2800
ENY,20190510,7.48,7.48,7.48,7.48,100
GLD,20190510,1.74,1.74,1.73,1.73,12000
TDEX,20190510,10.88,10.88,10.8,10.85,37700
TGOLDETF,20190510,3.76,3.77,3.75,3.77,42800
TH100,20190510,4.8,4.8,4.8,4.8,1000
2S,20190510,2.18,2.18,2.14,2.14,41100
7UP,20190510,0.26,0.27,0.26,0.27,766000
A,20190510,6.3,6.35,6.3,6.35,10000
AAV,20190510,4.26,4.28,4.2,4.22,5608400
ABICO,20190510,4.38,4.4,3.92,3.92,185900
ABM,20190510,0.96,0.97,0.94,0.94,179000
ABPIF,20190510,5.9,5.95,5.85,5.9,127400
ACAP,20190510,3.84,3.86,3.8,3.86,1838600
ACC,20190510,0.73,0.73,0.69,0.72,2183500
ADB,20190510,0.95,0.99,0.9,0.9,3264600
ADVANC,20190510,191,191,188,190,5290900
AEC,20190510,0.5,0.52,0.49,0.51,2911300
AEONTS,20190510,195.5,195.5,190.5,192.5,564100
AF,20190510,0.65,0.69,0.65,0.69,10100
AGE,20190510,0.9,0.9,0.88,0.88,380600
AH,20190510,20.3,20.3,19.6,19.8,806900
AHC,20190510,18,18.2,17.9,18.2,7400
AIMIRT,20190510,11.9,12,11.9,12,235000
AIRA,20190510,1.43,1.43,1.43,1.43,300
AIT,20190510,21.9,21.9,21.6,21.7,108500
AJ,20190510,9.7,10.1,9.7,10,83300
AJA,20190510,0.21,0.22,0.2,0.21,4121900
AKP,20190510,1.89,1.9,1.86,1.87,471200
AKR,20190510,0.81,0.82,0.8,0.81,1833100
ALL,20190510,4.8,4.84,4.72,4.74,14613400
ALLA,20190510,1.46,1.46,1.41,1.43,2297000
ALT,20190510,2.9,2.9,2.88,2.9,77600
ALUCON,20190510,173.5,173.5,173,173.5,4200
AMA,20190510,4.24,4.26,4.18,4.22,310600
AMANAH,20190510,1.64,1.64,1.62,1.63,1210200
AMARIN,20190510,5.05,5.15,5.05,5.1,38200
AMATA,20190510,21.8,21.9,21.3,21.7,9349100
AMATAR,20190510,11.7,11.7,11.7,11.7,1000
AMATAV,20190510,5.05,5.1,5,5.1,339900
AMC,20190510,1.76,1.78,1.74,1.78,80900
ANAN,20190510,3.6,3.6,3.5,3.54,13718600
AOT,20190510,68,68.25,67.5,67.75,13658400
AP,20190510,7.35,7.4,7.25,7.25,7763400
APCO,20190510,3.96,3.98,3.88,3.94,139800
APCS,20190510,4.74,4.82,4.74,4.82,12200
APEX,20190510,0.19,0.2,0.19,0.2,446500
APURE,20190510,1.35,1.36,1.3,1.3,1724900
AQ,20190510,0.03,0.03,0.02,0.03,3730600
AQUA,20190510,0.54,0.55,0.53,0.53,7293800
ARIP,20190510,0.48,0.48,0.45,0.45,81600
ARROW,20190510,8.85,8.9,8.75,8.75,74500
AS,20190510,0.88,0.91,0.88,0.91,11100
ASAP,20190510,2.88,2.92,2.72,2.82,1387700
