<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190927,10.61,10.63,10.61,10.63,3300
ABFTH,20190927,1418,1418,1418,1418,300
BMSCG,20190927,8.05,8.1,8.05,8.06,116000
BMSCITH,20190927,11.96,12.06,11.92,12.04,228400
BSET100,20190927,10.6,10.68,10.58,10.67,66900
CHINA,20190927,5.34,5.34,5.32,5.34,2100
EBANK,20190927,5.12,5.12,5.12,5.12,1000
ECOMM,20190927,8.5,8.57,8.5,8.53,9700
ENGY,20190927,6.42,6.42,6.41,6.41,200
GLD,20190927,1.96,1.96,1.96,1.96,115100
TDEX,20190927,10.82,10.89,10.8,10.88,25700
TGOLDETF,20190927,4.24,4.25,4.23,4.24,32700
2S,20190927,2.32,2.36,2.32,2.36,438200
7UP,20190927,0.6,0.6,0.58,0.58,7816100
A,20190927,6.2,6.25,6.2,6.25,10100
AAV,20190927,3.02,3.06,3.02,3.02,5445500
ABICO,20190927,4.22,4.3,4.22,4.28,6800
ABM,20190927,0.83,0.84,0.82,0.84,32700
ABPIF,20190927,4.86,4.88,4.84,4.88,422300
ACAP,20190927,1.7,1.84,1.69,1.72,16126500
ACC,20190927,0.67,0.67,0.64,0.67,14500
ACG,20190927,1.37,1.38,1.34,1.37,466600
ADB,20190927,0.6,0.62,0.6,0.62,165400
ADVANC,20190927,221,222,217,221,6610000
AEC,20190927,0.27,0.28,0.26,0.27,252700
AEONTS,20190927,207,209,206,207,283500
AF,20190927,0.67,0.67,0.66,0.67,9500
AFC,20190927,7,7,7,7,200
AGE,20190927,0.96,0.96,0.95,0.96,373600
AH,20190927,17.9,18,17.7,17.8,35500
AHC,20190927,15.4,15.6,15.3,15.6,700
AI,20190927,1.21,1.22,1.2,1.22,1539200
AIE,20190927,0.41,0.42,0.4,0.42,3366600
AIMCG,20190927,9.95,10,9.95,10,381600
AIMIRT,20190927,15,15.1,15,15,217000
AIRA,20190927,1.32,1.32,1.29,1.3,128300
AIT,20190927,21.1,21.1,20.9,21,45600
AJ,20190927,8,8.1,7.95,8.1,15300
AJA,20190927,0.17,0.17,0.16,0.16,1308000
AKP,20190927,1.39,1.39,1.37,1.37,61000
AKR,20190927,0.74,0.75,0.74,0.75,32100
ALL,20190927,4.12,4.14,4.1,4.14,327000
ALLA,20190927,1.17,1.26,1.17,1.21,5471800
ALT,20190927,2.38,2.54,2.38,2.48,14000
ALUCON,20190927,167.5,167.5,167.5,167.5,100
AMA,20190927,6.5,6.5,6.4,6.5,238300
AMANAH,20190927,3.6,3.78,3.54,3.62,38417800
AMARIN,20190927,4.92,4.92,4.86,4.92,15600
AMATA,20190927,25,25.5,24.9,25,3174100
AMATAR,20190927,12.8,12.8,12.7,12.8,7200
AMATAV,20190927,4.86,4.9,4.82,4.82,211700
AMC,20190927,1.82,1.82,1.81,1.81,20400
ANAN,20190927,3.24,3.26,3.18,3.2,1419500
AOT,20190927,73.5,74.5,73.5,74.25,20748600
AP,20190927,6.65,6.9,6.6,6.75,7596800
APCO,20190927,3.42,3.42,3.34,3.42,24300
APCS,20190927,4,4,4,4,2500
APEX,20190927,0.17,0.17,0.16,0.16,327200
APURE,20190927,0.85,0.86,0.84,0.86,134000
AQ,20190927,0.02,0.03,0.02,0.02,8137800
AQUA,20190927,0.5,0.51,0.5,0.51,1287900
ARIN,20190927,0.66,0.66,0.64,0.64,1661600
ARIP,20190927,0.43,0.43,0.42,0.43,38500
