<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190820,10.75,10.79,10.74,10.75,24200
BMSCG,20190820,8.31,8.31,8.23,8.23,4900
BMSCITH,20190820,11.98,11.98,11.82,11.84,460800
BSET100,20190820,10.57,10.58,10.44,10.44,346900
CHINA,20190820,5.27,5.28,5.27,5.28,4900
ECOMM,20190820,8.89,8.89,8.88,8.88,2100
GLD,20190820,1.93,1.95,1.93,1.94,594500
TDEX,20190820,10.75,10.75,10.61,10.64,301100
TGOLDETF,20190820,4.24,4.25,4.22,4.23,127300
2S,20190820,2.48,2.48,2.4,2.42,387100
7UP,20190820,0.5,0.52,0.48,0.49,68451500
A,20190820,6.25,6.25,6.2,6.25,8200
AAV,20190820,3.28,3.3,3.22,3.22,8984600
ABICO,20190820,4.14,4.28,4.14,4.2,123500
ABM,20190820,0.85,0.85,0.84,0.84,73600
ABPIF,20190820,6.25,6.25,6.15,6.25,343000
ACAP,20190820,2.3,2.36,2.22,2.24,2840100
ACC,20190820,0.67,0.68,0.67,0.67,6279800
ACG,20190820,1.49,1.5,1.48,1.48,221700
ADB,20190820,0.68,0.68,0.65,0.66,22400
ADVANC,20190820,223,224,220,224,6785900
AEC,20190820,0.29,0.29,0.28,0.29,1052100
AEONTS,20190820,218,218,213,214,155200
AF,20190820,0.68,0.68,0.66,0.66,27400
AFC,20190820,7.45,7.45,7.45,7.45,1000
AGE,20190820,1.03,1.07,1.02,1.03,4414900
AH,20190820,17.6,17.7,17.3,17.5,226600
AHC,20190820,15.4,15.4,15.4,15.4,500
AI,20190820,1.25,1.25,1.22,1.22,1910100
AIE,20190820,0.39,0.4,0.38,0.38,8491000
AIMCG,20190820,9.75,9.75,9.7,9.7,155200
AIMIRT,20190820,12.9,13.4,12.9,13.3,1299800
AIT,20190820,22.9,23,22.7,22.7,142900
AJ,20190820,8.85,8.85,8.75,8.75,16800
AJA,20190820,0.2,0.2,0.19,0.19,7787800
AKP,20190820,1.4,1.43,1.37,1.37,237700
AKR,20190820,0.77,0.78,0.76,0.76,2170900
ALL,20190820,4.3,4.3,4.18,4.18,1251300
ALLA,20190820,1.28,1.29,1.26,1.26,976900
ALT,20190820,2.68,2.68,2.52,2.64,58500
ALUCON,20190820,167,167,167,167,1000
AMA,20190820,7.75,7.75,7.45,7.5,1093800
AMANAH,20190820,2.42,2.44,2.3,2.3,10514700
AMARIN,20190820,4.9,4.9,4.88,4.9,1700
AMATA,20190820,25,25.25,24.1,24.3,13882300
AMATAR,20190820,12.4,12.4,12.3,12.3,109700
