<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
HSI28P1910C,20190916,0.55,0.55,0.53,0.53,436100
HSI28P1910D,20190916,0.93,0.93,0.9,0.91,753800
INTU01C1912A,20190916,0.59,0.63,0.59,0.63,9615200
INTU01C1912B,20190916,0.39,0.42,0.39,0.42,20703500
INTU01P1912A,20190916,0.52,0.53,0.5,0.52,9644200
INTU01P1912B,20190916,0.28,0.28,0.26,0.27,12588700
INTU11C2001A,20190916,0.64,0.67,0.63,0.65,4373400
INTU13C1912A,20190916,0.41,0.46,0.41,0.46,21943300
INTU16C2001A,20190916,0.57,0.62,0.56,0.62,11016600
INTU19C1912A,20190916,0.28,0.31,0.28,0.31,5138900
INTU19P2002A,20190916,0.42,0.42,0.41,0.41,2729600
INTU24C1909A,20190916,0.21,0.28,0.21,0.28,1366000
INTU41C1912A,20190916,0.4,0.41,0.4,0.41,2000000
INTU41P2001A,20190916,0.3,0.3,0.3,0.3,600000
INTU42C1910A,20190916,0.16,0.2,0.16,0.18,2039200
IRPC01C1911A,20190916,0.15,0.15,0.12,0.12,30578300
IRPC01C1911B,20190916,0.02,0.02,0.02,0.02,200
IRPC01C2002A,20190916,0.52,0.53,0.46,0.46,26599300
IRPC01P1911A,20190916,0.46,0.5,0.46,0.5,14284100
IRPC01P2002A,20190916,0.48,0.52,0.48,0.52,13216200
IRPC11C2005A,20190916,0.19,0.2,0.17,0.17,5005500
IRPC13C1912A,20190916,0.03,0.03,0.02,0.02,390000
IRPC13C2001A,20190916,0.39,0.39,0.32,0.32,40888000
IRPC19C2001A,20190916,0.25,0.25,0.2,0.2,7574100
IRPC24C1911A,20190916,0.05,0.05,0.04,0.04,11800
IRPC24C2002A,20190916,0.41,0.41,0.35,0.35,748800
IRPC28C2003A,20190916,0.5,0.51,0.44,0.44,12902200
IRPC41C1911B,20190916,0.02,0.02,0.02,0.02,100
IRPC41C2002A,20190916,0.37,0.37,0.35,0.35,2400000
IRPC41C2002B,20190916,0.33,0.33,0.28,0.28,530100
IRPC41P2002A,20190916,0.42,0.47,0.42,0.46,1056200
IRPC42C2002A,20190916,0.39,0.4,0.35,0.35,972000
IVL01C1911A,20190916,0.12,0.12,0.06,0.06,9239500
IVL01C1911B,20190916,0.04,0.04,0.02,0.02,600
IVL01C2002A,20190916,0.29,0.29,0.2,0.2,40405800
IVL01C2002B,20190916,0.15,0.15,0.09,0.09,27428700
IVL01P1911A,20190916,0.78,1,0.78,0.98,9998600
IVL01P1911B,20190916,0.73,0.98,0.73,0.98,7937400
IVL01P2002A,20190916,0.7,0.88,0.7,0.86,13219500
IVL01P2002B,20190916,0.51,0.69,0.51,0.67,15106200
IVL06C1910A,20190916,0.01,0.01,0.01,0.01,500
IVL06C2001A,20190916,0.4,0.4,0.26,0.26,5185100
IVL06P1910A,20190916,0.52,0.9,0.52,0.87,2736200
IVL08C2002A,20190916,0.23,0.23,0.14,0.14,6417600
IVL08P2003A,20190916,0.57,0.61,0.57,0.61,2150000
IVL11C2005A,20190916,0.26,0.26,0.18,0.18,6419000
IVL13C1912A,20190916,0.04,0.04,0.03,0.03,931400
IVL13C2001A,20190916,0.11,0.11,0.07,0.07,8738800
IVL13C2002A,20190916,0.33,0.33,0.21,0.22,50644400
IVL13P1911A,20190916,0.51,0.62,0.51,0.62,45200
IVL13P2001A,20190916,0.16,0.24,0.16,0.24,24414000
IVL16C2001A,20190916,0.03,0.03,0.03,0.03,1203000
IVL19C2001A,20190916,0.08,0.08,0.06,0.06,330700
IVL19C2002A,20190916,0.49,0.49,0.36,0.36,1774000
IVL19P1910A,20190916,0.19,0.34,0.18,0.34,5055700
IVL24C2001A,20190916,0.13,0.13,0.08,0.08,1123600
IVL27P1912A,20190916,0.38,0.52,0.38,0.52,2442000
IVL28C1910A,20190916,0.01,0.01,0.01,0.01,115000
IVL28C2001A,20190916,0.09,0.09,0.08,0.08,130000
IVL28C2002A,20190916,0.16,0.16,0.11,0.11,5669000
IVL28C2003A,20190916,0.4,0.4,0.29,0.29,8052400
IVL28P1912A,20190916,0.45,0.59,0.45,0.57,6100400
IVL28P2003A,20190916,0.08,0.11,0.08,0.11,2657300
IVL41C1912A,20190916,0.47,0.47,0.32,0.32,4001600
IVL41C2002A,20190916,0.22,0.22,0.22,0.22,30000
IVL41P1912A,20190916,0.95,0.99,0.95,0.99,2100
IVL41P2001A,20190916,0.47,0.62,0.47,0.62,9566500
IVL42C2001A,20190916,0.09,0.09,0.08,0.08,440000
JAS06C1912A,20190916,0.14,0.15,0.14,0.15,210100
JAS08C1912A,20190916,0.25,0.25,0.25,0.25,600000
JAS13C1912A,20190916,0.17,0.18,0.17,0.17,557200
JAS13C2001A,20190916,0.32,0.32,0.31,0.31,2206500
JAS16C2002A,20190916,0.3,0.3,0.3,0.3,600000
JAS19C1912A,20190916,0.1,0.1,0.1,0.1,197900
JAS19C2002A,20190916,0.29,0.29,0.29,0.29,300000
JAS19P2001A,20190916,0.12,0.12,0.12,0.12,273400
JAS28C2002A,20190916,0.25,0.25,0.25,0.25,402800
KBAN01C1911A,20190916,0.23,0.23,0.19,0.2,7590500
KBAN01C1911B,20190916,0.04,0.04,0.04,0.04,1397900
KBAN01C2002A,20190916,0.52,0.52,0.45,0.49,4596100
KBAN01C2002B,20190916,0.24,0.24,0.22,0.23,5266300
KBAN01P1911A,20190916,1.62,1.74,1.62,1.67,2234200
KBAN01P1911B,20190916,1.09,1.2,1.09,1.14,5845300
KBAN01P2002A,20190916,1.32,1.42,1.32,1.36,3714200
KBAN01P2002B,20190916,0.89,1,0.89,0.94,10648000
KBAN08C2001A,20190916,0.17,0.17,0.15,0.17,1740300
KBAN08C2002A,20190916,0.54,0.54,0.47,0.51,3487300
KBAN08P1912A,20190916,0.9,0.96,0.9,0.96,42000
KBAN08P2002A,20190916,0.53,0.58,0.53,0.57,918000
KBAN13C1912A,20190916,0.18,0.18,0.16,0.18,3021100
KBAN13C2001A,20190916,0.54,0.54,0.47,0.51,15484900
KBAN13P1911A,20190916,1.05,1.05,1.04,1.04,1100
KBAN13P2001A,20190916,0.46,0.52,0.46,0.48,23074600
KBAN16C2001A,20190916,0.1,0.1,0.1,0.1,1557600
KBAN19C1911A,20190916,0.02,0.02,0.01,0.02,25400
KBAN19C2001A,20190916,0.36,0.36,0.32,0.34,2026600
KBAN19P1910A,20190916,0.12,0.15,0.12,0.13,874000
KBAN24C1912A,20190916,0.07,0.07,0.06,0.06,103000
KBAN24C2001A,20190916,0.49,0.49,0.43,0.48,2933200
KBAN24P1909A,20190916,0.51,0.51,0.47,0.47,400
KBAN27P2001A,20190916,0.62,0.68,0.62,0.67,754600
KBAN28C2001A,20190916,0.11,0.11,0.1,0.1,250000
KBAN28C2002A,20190916,0.25,0.25,0.21,0.23,5496600
KBAN28C2002B,20190916,0.45,0.45,0.4,0.42,2559400
KBAN28P1912A,20190916,0.8,0.89,0.8,0.88,2130000
KBAN28P2003A,20190916,0.26,0.3,0.26,0.3,692500
KBAN41C2002A,20190916,0.47,0.47,0.43,0.46,3599100
KBAN41P2002A,20190916,0.5,0.51,0.5,0.51,2000000
KBAN42C1911A,20190916,0.02,0.02,0.02,0.02,85000
KBAN42C2003A,20190916,0.49,0.49,0.48,0.49,851200
KCE01C1911A,20190916,0.57,0.61,0.54,0.54,7389700
KCE01C1911B,20190916,0.28,0.3,0.26,0.26,9444200
KCE06C1911A,20190916,0.2,0.23,0.17,0.17,1895300
KCE08C2002A,20190916,0.65,0.7,0.64,0.64,6707000
KCE11C2004A,20190916,0.58,0.62,0.58,0.59,4200100
KCE13C1911A,20190916,0.16,0.18,0.14,0.14,2211400
KCE13C2001A,20190916,0.54,0.57,0.49,0.49,5301500
KCE16C2001A,20190916,0.28,0.31,0.26,0.26,5531100
KCE19C1910B,20190916,0.13,0.13,0.11,0.11,1491400
KCE19C2002A,20190916,0.57,0.61,0.57,0.57,2422200
KCE23C1911A,20190916,0.18,0.19,0.18,0.18,1529600
KCE24C1911A,20190916,0.3,0.34,0.28,0.28,4643300
KCE28C1911A,20190916,0.24,0.27,0.24,0.25,1106600
KCE41C2002A,20190916,0.52,0.54,0.49,0.49,1812600
KKP01C2001A,20190916,0.5,0.5,0.49,0.5,1254500
KKP01P2001A,20190916,0.85,0.85,0.85,0.85,1750900
KKP08C2003A,20190916,0.39,0.39,0.38,0.38,1010000
KKP11C1911A,20190916,0.18,0.18,0.16,0.16,1400000
KKP13C1910A,20190916,0.08,0.08,0.07,0.07,5884300
KKP13C2001A,20190916,0.27,0.27,0.26,0.26,6658400
KKP16C2002A,20190916,0.5,0.5,0.49,0.49,3314800
KKP19C1911A,20190916,0.18,0.18,0.18,0.18,90000
KKP27P2002A,20190916,0.4,0.4,0.4,0.4,1048400
KTB01C1909A,20190916,0.1,0.11,0.1,0.11,772200
KTB01C2003A,20190916,0.43,0.43,0.42,0.42,1752200
KTB01P1909A,20190916,0.36,0.38,0.36,0.38,877000
KTB01P2003A,20190916,0.38,0.38,0.38,0.38,2389400
KTB19C2002A,20190916,0.24,0.24,0.23,0.24,1234500
KTB24C2004A,20190916,0.22,0.22,0.22,0.22,20000
KTC01C1910A,20190916,0.53,0.54,0.53,0.53,5611500
KTC01C1910B,20190916,0.21,0.21,0.21,0.21,13432700
KTC01C2001A,20190916,0.54,0.55,0.53,0.54,6325800
KTC01C2001B,20190916,0.27,0.27,0.26,0.27,9669600
KTC01P1910A,20190916,0.05,0.05,0.05,0.05,934000
KTC01P2001A,20190916,0.38,0.38,0.37,0.37,7759100
KTC06C1911A,20190916,0.37,0.37,0.36,0.36,665000
KTC08C1910A,20190916,0.23,0.23,0.23,0.23,1439900
KTC11C1911A,20190916,0.73,0.73,0.73,0.73,2309000
KTC13C1909A,20190916,0.02,0.03,0.02,0.02,10046600
KTC13C1912A,20190916,0.43,0.43,0.41,0.42,34588900
KTC13P1911A,20190916,0.25,0.25,0.24,0.24,6883600
KTC16C1911A,20190916,0.5,0.5,0.5,0.5,5000
