<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190724,11.55,11.55,11.53,11.53,60600
BMSCG,20190724,8.9,8.9,8.88,8.89,19800
BMSCITH,20190724,12.65,12.65,12.57,12.61,1905700
BSET100,20190724,11.12,11.13,11.07,11.1,87100
CHINA,20190724,5.52,5.52,5.5,5.5,100800
ECOMM,20190724,9.04,9.04,9.04,9.04,100
EICT,20190724,5.39,5.39,5.35,5.35,200
ENGY,20190724,6.48,6.48,6.48,6.48,100
GLD,20190724,1.84,1.84,1.84,1.84,88800
TDEX,20190724,11.27,11.27,11.24,11.26,80800
TGOLDETF,20190724,4.04,4.05,4.04,4.05,13400
2S,20190724,2.32,2.38,2.3,2.32,456600
7UP,20190724,0.4,0.44,0.38,0.41,32490500
A,20190724,6.3,6.3,6.25,6.3,12200
A5,20190724,1.28,1.35,1.26,1.35,375200
AAV,20190724,3.94,3.96,3.92,3.92,3140400
ABICO,20190724,4.62,4.84,4.62,4.68,3224200
ABM,20190724,0.98,0.98,0.96,0.96,47600
ABPIF,20190724,6.4,6.45,6.4,6.45,109700
ACAP,20190724,2.78,2.82,2.76,2.82,663300
ACC,20190724,0.69,0.7,0.69,0.7,290100
ACG,20190724,1.6,1.6,1.56,1.56,3529400
ADB,20190724,0.77,0.77,0.76,0.77,256500
ADVANC,20190724,213,216,211,216,4140200
AEC,20190724,0.52,0.53,0.52,0.52,180700
AEONTS,20190724,229,230,228,228,155800
AF,20190724,0.68,0.68,0.67,0.68,29700
AGE,20190724,1.04,1.04,1.02,1.02,2157700
AH,20190724,18.6,19.1,18.5,19,1213200
AHC,20190724,14.3,14.5,14.3,14.3,27700
AI,20190724,1.4,1.4,1.36,1.39,11606500
AIE,20190724,0.66,0.67,0.64,0.66,4375100
AIMCG,20190724,9.85,9.9,9.85,9.9,1459700
AIMIRT,20190724,12.7,12.9,12.6,12.8,692800
AIRA,20190724,1.31,1.31,1.31,1.31,300
AIT,20190724,23.9,23.9,23.5,23.6,247900
AJ,20190724,8.85,9,8.85,8.85,62100
AJA,20190724,0.21,0.22,0.2,0.21,7511200
AKP,20190724,1.54,1.56,1.53,1.54,142500
AKR,20190724,0.81,0.82,0.8,0.8,1098600
ALL,20190724,4.9,4.94,4.86,4.88,2928300
ALLA,20190724,1.56,1.56,1.51,1.51,6615900
ALT,20190724,2.9,2.9,2.86,2.86,12000
ALUCON,20190724,173.5,173.5,173,173,900
AMA,20190724,9.3,9.3,9.1,9.1,2148800
AMANAH,20190724,2.32,2.5,2.32,2.5,51942100
AMARIN,20190724,4.98,4.98,4.94,4.94,1700
AMATA,20190724,24.4,24.6,24.1,24.2,12810200
AMATAR,20190724,12.1,12.2,12.1,12.2,43500
AMATAV,20190724,4.9,4.92,4.88,4.9,2886800
AMC,20190724,1.74,1.74,1.74,1.74,200
ANAN,20190724,3.8,3.88,3.76,3.82,14139900
AOT,20190724,72.5,72.75,72,72.25,19738400
AP,20190724,7.9,8.05,7.85,7.9,10977300
APCO,20190724,3.68,3.68,3.62,3.68,20300
APCS,20190724,4.58,4.58,4.48,4.5,56300
APEX,20190724,0.18,0.18,0.18,0.18,54600
APURE,20190724,1.36,1.37,1.35,1.36,65000
AQ,20190724,0.02,0.03,0.02,0.02,13812500
AQUA,20190724,0.58,0.59,0.56,0.57,74417600
ARIN,20190724,0.99,1.01,0.99,0.99,12921700
ARIP,20190724,0.49,0.53,0.49,0.5,3081300
ARROW,20190724,8.3,8.7,8.3,8.5,732500
AS,20190724,0.72,0.76,0.72,0.76,137000
ASAP,20190724,3.46,3.56,3.44,3.48,2167700
ASEFA,20190724,5.2,5.3,5.2,5.25,450700
ASIA,20190724,7.1,7.1,7,7,16700
ASIAN,20190724,6.95,7.4,6.95,7.3,6430700
ASIMAR,20190724,1.98,2.04,1.98,2,706900
ASK,20190724,24.5,24.6,24.3,24.3,44300
ASN,20190724,5.75,5.8,5.55,5.55,26500
ASP,20190724,2.8,2.82,2.8,2.8,893000
ATP30,20190724,1.54,1.54,1.5,1.52,1968900
AU,20190724,16.5,17.5,16.5,17.3,6945200
AUCT,20190724,7.5,7.6,7.45,7.55,872900
AYUD,20190724,41.25,41.75,41.25,41.75,117000
B,20190724,0.58,0.6,0.57,0.57,2016200
B-WORK,20190724,12.1,12.1,12.1,12.1,17200
B52,20190724,0.22,0.22,0.21,0.22,1044200
BA,20190724,11,11.1,10.9,11,931500
BAFS,20190724,36,36,35.75,36,78500
BANPU,20190724,14.9,14.9,14.6,14.8,25326500
BAY,20190724,39.25,40.5,39.25,40,1423100
BBL,20190724,186,187.5,185,186.5,6512500
BCH,20190724,15.5,15.6,15.3,15.5,6238100
BCP,20190724,31,31.5,30.75,31.5,2538100
BCPG,20190724,19.1,19.1,18.8,18.8,3968600
BCT,20190724,47.75,48,46.5,48,30800
BDMS,20190724,24.8,25,24.7,24.8,12504800
BEAUTY,20190724,3.86,3.92,3.84,3.88,47717900
BEC,20190724,10.3,10.6,10.2,10.4,23065100
BEM,20190724,10.7,10.7,10.5,10.5,53421500
BFIT,20190724,17.8,17.8,17.4,17.6,233400
BGC,20190724,13,13.2,12.8,13,3361700
BGRIM,20190724,35.5,35.5,34.75,35.25,3338900
BGT,20190724,1.07,1.07,1.04,1.07,26000
BH,20190724,171.5,172,171,171.5,452700
BIG,20190724,1.18,1.2,1.17,1.18,11652200
BIZ,20190724,2.64,2.64,2.6,2.64,189700
BJC,20190724,52.25,52.75,51.75,52,3770400
BJCHI,20190724,2.76,2.78,2.7,2.74,4241200
BKD,20190724,2.82,2.9,2.82,2.88,420300
BKI,20190724,331,331,331,331,2800
BKKCP,20190724,13.4,13.5,13.4,13.4,51800
BLA,20190724,26,26,25.75,25.75,335600
BLAND,20190724,1.73,1.73,1.71,1.71,27022600
BLISS,20190724,0.13,0.14,0.12,0.12,21929700
BM,20190724,2.3,2.4,2.24,2.38,773000
BOFFICE,20190724,15.7,15.7,15.5,15.6,80800
BOL,20190724,2.64,2.64,2.56,2.58,309000
BPP,20190724,22,22.1,21.9,22,2254100
BR,20190724,3.3,3.42,3.3,3.4,4218900
BROCK,20190724,2.02,2.1,2.02,2.1,6300
BROOK,20190724,0.54,0.55,0.53,0.54,4151200
BRR,20190724,6,6.05,6,6.05,62500
BRRGIF,20190724,9.8,9.85,9.75,9.8,55000
BSBM,20190724,0.9,0.9,0.89,0.9,318800
BSM,20190724,0.45,0.45,0.42,0.44,1177900
BTS,20190724,12.9,12.9,12.7,12.8,40926300
BTSGIF,20190724,11.1,11.1,11,11.1,1586500
BTW,20190724,1.43,1.44,1.39,1.44,168900
BUI,20190724,12.3,12.5,12.2,12.5,286300
BWG,20190724,0.88,0.88,0.86,0.87,4401600
CAZ,20190724,2.64,2.64,2.56,2.58,4798400
