<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20191016,10.49,10.49,10.43,10.49,104000
BMSCG,20191016,8,8,7.93,7.99,11000
BMSCITH,20191016,11.88,11.91,11.87,11.91,269700
BSET100,20191016,10.62,10.65,10.61,10.65,128200
CHINA,20191016,5.4,5.43,5.39,5.39,107800
EBANK,20191016,4.94,4.94,4.94,4.94,200
ESET50,20191016,5.78,5.82,5.78,5.82,10700
GLD,20191016,1.92,1.92,1.9,1.91,613100
TDEX,20191016,10.85,10.86,10.61,10.86,308100
TGOLDETF,20191016,4.16,4.17,4.16,4.17,78400
TH100,20191016,4.73,4.77,4.73,4.77,900
2S,20191016,2.28,2.5,2.28,2.3,1861500
7UP,20191016,0.53,0.53,0.51,0.52,5492300
A,20191016,6.25,6.25,6.2,6.2,9100
AAV,20191016,2.82,2.84,2.7,2.72,22797200
ABICO,20191016,4.1,4.16,3.16,4.14,7600
ABM,20191016,0.85,0.85,0.82,0.85,69000
ABPIF,20191016,4.88,4.9,4.86,4.88,276300
ACAP,20191016,1.63,1.65,1.61,1.61,802600
ACC,20191016,0.65,0.7,0.64,0.7,70000
ACG,20191016,1.18,1.2,1.18,1.18,110200
ADB,20191016,0.62,0.63,0.61,0.63,415000
ADVANC,20191016,235,237,232,236,5109000
AEC,20191016,0.3,0.32,0.3,0.3,1136500
AEONTS,20191016,212,214,209,212,438500
AF,20191016,0.67,0.67,0.65,0.65,31600
AGE,20191016,0.91,0.93,0.91,0.91,266800
AH,20191016,15.2,15.6,15.2,15.4,247700
AHC,20191016,15.5,15.5,15.5,15.5,6500
AI,20191016,1.16,1.18,1.15,1.16,2141900
AIE,20191016,0.39,0.4,0.39,0.39,1774000
AIMCG,20191016,9.95,10,9.95,10,101200
AIMIRT,20191016,14.9,14.9,14.8,14.9,236500
AIRA,20191016,1.3,1.31,1.29,1.31,30500
AIT,20191016,20.3,20.8,20.3,20.6,76800
AJ,20191016,7.95,9.2,7.8,8.2,87100
AJA,20191016,0.18,0.18,0.17,0.17,2718600
AKP,20191016,1.31,1.31,1.29,1.3,998300
AKR,20191016,0.74,0.74,0.72,0.73,291400
ALL,20191016,4.42,4.5,4.42,4.44,2989300
ALLA,20191016,1.17,1.22,1.15,1.15,1499200
ALT,20191016,2.32,2.32,2.3,2.3,8500
ALUCON,20191016,160.5,160.5,160.5,160.5,1000
AMA,20191016,6.5,6.6,6.45,6.5,179500
AMANAH,20191016,3.04,3.18,3.02,3.12,41811200
AMARIN,20191016,4.78,4.82,4.78,4.8,35500
AMATA,20191016,25.25,25.5,24.9,25,5791500
AMATAR,20191016,12.6,12.7,12.6,12.7,33600
AMATAV,20191016,4.92,4.92,4.84,4.86,2210000
AMC,20191016,1.81,1.81,1.8,1.81,17100
ANAN,20191016,3.14,3.16,3,3.02,18805200
AOT,20191016,75.75,77.25,75.5,77,52013700
AP,20191016,6.55,6.7,6.55,6.6,2458700
