<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190404,11.22,11.25,11.19,11.23,2900
BMSCG,20190404,8.11,8.11,8.09,8.11,4700
BMSCITH,20190404,12.47,12.47,12.39,12.42,187000
BSET100,20190404,10.59,10.59,10.53,10.55,485400
CHINA,20190404,6.08,6.08,6.02,6.03,116300
EBANK,20190404,5.75,5.75,5.75,5.75,100
EFOOD,20190404,5.69,5.69,5.65,5.65,400
ENGY,20190404,6.36,6.39,6.36,6.39,2500
ENY,20190404,7.46,7.46,7.45,7.45,500
ESET50,20190404,5.77,5.77,5.77,5.77,300
GLD,20190404,1.72,1.74,1.72,1.73,136300
TDEX,20190404,10.76,10.8,10.74,10.74,258600
TGOLDETF,20190404,3.79,3.8,3.79,3.8,800
2S,20190404,2.28,2.32,2.28,2.28,26000
7UP,20190404,0.32,0.33,0.32,0.32,14615900
A,20190404,6.3,6.35,6.3,6.3,12200
AAV,20190404,4.08,4.12,4.08,4.1,6071600
ABICO,20190404,4.36,4.36,4.34,4.36,19700
ABM,20190404,0.96,0.96,0.94,0.96,32000
ABPIF,20190404,5.65,6,5.65,6,2766100
ACAP,20190404,3.94,4,3.86,3.88,1088600
ACC,20190404,0.73,0.75,0.72,0.73,944600
ADB,20190404,0.94,0.95,0.93,0.94,466800
ADVANC,20190404,186.5,186.5,184,185.5,3064200
AEC,20190404,0.49,0.5,0.49,0.5,24600
AEONTS,20190404,184.5,184.5,178,178.5,519100
AF,20190404,0.64,0.67,0.64,0.67,400
AFC,20190404,8.8,8.8,8.8,8.8,1200
AGE,20190404,0.89,0.89,0.88,0.89,328100
AH,20190404,20.1,20.2,19.7,19.7,807300
AHC,20190404,17.2,17.2,17.2,17.2,2000
AIMIRT,20190404,11.5,11.5,11.3,11.5,624100
AIRA,20190404,1.44,1.44,1.44,1.44,5200
AIT,20190404,21.8,21.9,21.8,21.8,15800
AJ,20190404,8.7,8.9,8.65,8.75,222100
AJA,20190404,0.21,0.21,0.2,0.21,4674700
AKP,20190404,1.85,1.88,1.85,1.87,608400
AKR,20190404,0.82,0.82,0.8,0.81,499900
ALLA,20190404,1.73,1.75,1.67,1.68,8174200
ALT,20190404,2.96,3.1,2.96,2.96,48500
ALUCON,20190404,178.5,178.5,177.5,178,1900
AMA,20190404,4.36,4.42,4.36,4.4,194400
AMANAH,20190404,1.66,1.66,1.59,1.62,3888400
AMARIN,20190404,5,5.05,5,5.05,1300
AMATA,20190404,21.8,21.9,21.5,21.7,6717000
AMATAR,20190404,11.6,11.6,11.6,11.6,6600
AMATAV,20190404,5.2,5.25,5.15,5.2,192700
AMC,20190404,1.77,1.77,1.76,1.76,47000
ANAN,20190404,3.72,3.74,3.66,3.66,7826500
AOT,20190404,67.5,67.75,67,67.25,11838600
AP,20190404,7.2,7.2,7.05,7.1,7701200
APCO,20190404,4.1,4.12,4.08,4.1,66700
APCS,20190404,4.68,4.68,4.62,4.62,93600
APEX,20190404,0.19,0.2,0.19,0.2,70600
APURE,20190404,1.29,1.3,1.28,1.29,110600
AQ,20190404,0.02,0.03,0.02,0.03,2405100
AQUA,20190404,0.5,0.51,0.49,0.5,15173900
ARIP,20190404,0.49,0.49,0.48,0.49,198000
ARROW,20190404,8.5,8.5,8.5,8.5,33000
AS,20190404,0.8,0.89,0.8,0.8,2400
ASAP,20190404,2.92,2.96,2.9,2.9,403300
ASEFA,20190404,5.55,5.6,5.5,5.55,124300
ASIA,20190404,7.95,7.95,7.85,7.85,12600
ASIAN,20190404,7.7,7.75,7.6,7.6,1347400
ASIMAR,20190404,2.02,2.02,2,2,497000
ASK,20190404,23,23,22.8,22.8,168100
ASN,20190404,3.4,3.5,3.4,3.5,200
ASP,20190404,3.08,3.08,3.06,3.08,1552400
ATP30,20190404,1.47,1.5,1.47,1.49,22600
AU,20190404,8.55,8.55,8.4,8.45,508000
AUCT,20190404,6.05,6.15,5.95,6,603400
AYUD,20190404,48.75,49,48.5,48.75,146400
B,20190404,0.49,0.5,0.48,0.49,147000
B-WORK,20190404,11,11,11,11,5000
BA,20190404,11.9,12,11.8,12,182500
BAFS,20190404,35.5,35.5,35,35.5,222100
BANPU,20190404,16.5,16.6,16.2,16.3,20118800
BAT-3K,20190404,224,224,224,224,100
BAY,20190404,37.5,37.75,37.5,37.75,57700
BBL,20190404,208,209,207,209,2450700
BCH,20190404,17.1,17.3,17.1,17.2,12392900
BCP,20190404,32.75,33,32.5,32.75,3525000
BCPG,20190404,16.6,16.6,16.5,16.5,1590100
BCT,20190404,43,43,42.75,43,7200
BDMS,20190404,25.25,25.5,25,25,21957800
BEAUTY,20190404,6.6,6.65,6.55,6.55,11930300
BEC,20190404,6.75,6.8,6.6,6.6,4166100
BEM,20190404,9.8,9.85,9.7,9.8,80415900
BFIT,20190404,17.7,17.8,17.6,17.7,9000
BGC,20190404,11.3,11.4,11.2,11.4,354700
BGRIM,20190404,31.5,31.75,31,31.5,4746400
BGT,20190404,1.02,1.03,1.01,1.03,76500
BH,20190404,180,180,178,178.5,424500
BIG,20190404,1.21,1.22,1.2,1.21,7647300
BIZ,20190404,2.84,2.86,2.84,2.84,169500
BJC,20190404,50.25,50.75,50,50.25,3332900
BJCHI,20190404,1.96,1.97,1.95,1.95,22500
BKD,20190404,3.02,3.02,3.02,3.02,38300
BKI,20190404,325,325,325,325,200
BKKCP,20190404,12.6,12.7,12.6,12.6,52100
BLA,20190404,29.25,29.5,29,29,812700
BLAND,20190404,1.55,1.57,1.54,1.54,34481000
BM,20190404,2.9,2.9,2.84,2.88,16500
BOFFICE,20190404,14.3,14.5,14,14,421000
BOL,20190404,2.14,2.16,2.12,2.12,87200
BPP,20190404,23.1,23.4,23,23.3,8500900
BR,20190404,3.86,3.86,3.8,3.82,903900
BROCK,20190404,2.02,2.02,2.02,2.02,200
BROOK,20190404,0.51,0.51,0.5,0.5,330600
BRR,20190404,6.15,6.2,6.1,6.15,6100
BRRGIF,20190404,10,10.1,10,10.1,22100
BSBM,20190404,0.9,0.91,0.89,0.91,186300
BSM,20190404,0.58,0.6,0.56,0.58,440100
BTNC,20190404,18.2,18.2,18.1,18.1,200
BTS,20190404,10.8,10.9,10.7,10.9,34651100
BTSGIF,20190404,12.1,12.1,12,12.1,1650000
BTW,20190404,1.5,1.5,1.49,1.49,17000
BWG,20190404,1.11,1.12,1.1,1.1,5524100
CAZ,20190404,2.98,3.12,2.98,3.02,5163100
CBG,20190404,54.5,54.5,51.75,52.25,3261100
CCET,20190404,1.77,1.84,1.77,1.83,3725000
CCP,20190404,0.36,0.36,0.35,0.36,186800
CEN,20190404,1.07,1.09,1.07,1.08,65000
CENTEL,20190404,44.5,44.5,43.5,43.75,3703500
CFRESH,20190404,3.88,3.9,3.86,3.88,39900
CGD,20190404,1.13,1.14,1.1,1.1,2163200
CGH,20190404,0.92,0.93,0.91,0.93,280000
CHARAN,20190404,32.75,32.75,32.75,32.75,10000
CHAYO,20190404,4.26,4.3,4.18,4.26,3984000
CHEWA,20190404,1.13,1.13,1.12,1.12,1824500
CHG,20190404,1.94,1.94,1.92,1.92,13674600
CHO,20190404,1.13,1.17,1.13,1.14,2514200
CHOTI,20190404,126,126,126,126,100
CHOW,20190404,2.7,2.72,2.62,2.62,1831200
CI,20190404,1.3,1.3,1.3,1.3,23500
CIG,20190404,0.28,0.28,0.27,0.27,577800
CIMBT,20190404,0.76,0.77,0.75,0.75,1305200
CITY,20190404,2.26,2.26,2.24,2.26,4700
CK,20190404,24.8,25,24.7,24.8,4138700
CKP,20190404,5.1,5.1,5,5.05,37354100
CM,20190404,4.16,4.18,4.12,4.14,83200
CMAN,20190404,2.66,2.68,2.64,2.64,336400
CMC,20190404,1.69,1.69,1.67,1.67,901400
CMO,20190404,1.55,1.69,1.54,1.67,33339400
CMR,20190404,2.32,2.36,2.32,2.36,30000
CNS,20190404,1.88,1.9,1.88,1.89,83100
CNT,20190404,2,2,1.96,1.98,157000
COL,20190404,24.8,24.9,24.5,24.5,113900
COLOR,20190404,1.32,1.32,1.32,1.32,1000
COM7,20190404,18.6,18.7,18.2,18.4,2865200
COMAN,20190404,4.18,4.22,4.18,4.2,2700
COTTO,20190404,2.18,2.18,2.14,2.14,843600
CPALL,20190404,76,76,75,75.25,16639400
CPF,20190404,26,26.25,25.75,26,11656000
CPH,20190404,6.8,6.9,6.8,6.9,1200
CPI,20190404,1.41,1.42,1.39,1.42,2500
CPL,20190404,2.04,2.1,2.04,2.1,10600
CPN,20190404,74,74.25,72.5,73,11630300
CPNCG,20190404,15.2,15.3,15.2,15.2,320500
CPNREIT,20190404,29.5,29.75,29.5,29.75,908000
CPR,20190404,4.96,5,4.96,5,24900
CPT,20190404,1.17,1.2,1.17,1.2,20124300
CPTGF,20190404,13.1,13.1,13,13,505100
CRANE,20190404,1.71,1.76,1.71,1.75,25300
CRD,20190404,1,1.01,1,1.01,210500
CRYSTAL,20190404,9,9,8.95,9,74900
CSP,20190404,1.22,1.24,1.22,1.24,92300
CSS,20190404,2,2,1.99,1.99,277300
CTARAF,20190404,4.7,4.74,4.68,4.72,65300
CTW,20190404,7.9,8,7.9,7.9,25400
CWT,20190404,3.08,3.1,2.98,3.06,138300
D,20190404,7.3,7.3,7.25,7.25,241500
DCC,20190404,2.18,2.18,2.12,2.14,4826600
DCON,20190404,0.49,0.49,0.47,0.48,1156800
DCORP,20190404,0.6,0.63,0.59,0.59,7401800
DDD,20190404,31.25,31.25,30,30.25,360800
DELTA,20190404,68,80,67.75,80,3149600
DEMCO,20190404,2.96,2.96,2.9,2.9,543500
DIF,20190404,15.5,15.5,15.4,15.4,8768700
DIGI,20190404,0.3,0.31,0.3,0.31,408000
DIMET,20190404,0.9,0.92,0.89,0.9,346800
DOD,20190404,10.3,10.5,10.2,10.3,903900
DREIT,20190404,5.85,5.9,5.85,5.85,67900
DRT,20190404,5.4,5.45,5.4,5.45,197500
DTAC,20190404,54,54.5,53.75,54.5,3617200
DTC,20190404,11.2,11.2,10.9,10.9,433700
EA,20190404,49.5,49.5,48.5,48.75,9539000
EASON,20190404,2.26,2.26,2.2,2.22,622200
EASTW,20190404,11.4,11.5,11.3,11.3,1336200
ECF,20190404,2.42,2.42,2.4,2.4,1084500
ECL,20190404,1.67,1.68,1.65,1.66,1215900
EE,20190404,0.56,0.57,0.56,0.57,1113400
EFORL,20190404,0.05,0.06,0.05,0.05,314400
EGATIF,20190404,11.9,11.9,11.8,11.8,3749600
EGCO,20190404,294,295,291,294,1060700
EIC,20190404,0.05,0.05,0.04,0.04,9159600
EKH,20190404,5.65,5.7,5.6,5.65,406400
EMC,20190404,0.32,0.33,0.31,0.31,14686800
EPCO,20190404,3.4,3.44,3.38,3.44,951300
EPG,20190404,6.3,6.4,6.25,6.35,6223900
ERW,20190404,7.1,7.15,7.05,7.05,796700
ERWPF,20190404,5.1,5.1,5.1,5.1,2000
ESSO,20190404,11.5,11.7,11.3,11.5,26861300
ESTAR,20190404,0.54,0.54,0.52,0.53,2350100
ETE,20190404,1.39,1.39,1.37,1.37,887400
EVER,20190404,0.56,0.59,0.56,0.58,54615600
FANCY,20190404,0.75,0.76,0.75,0.75,18900
FC,20190404,0.35,0.36,0.34,0.36,411100
FLOYD,20190404,2,2.02,1.99,2,125000
FMT,20190404,24,24,24,24,1000
FN,20190404,2.04,2.06,1.97,1.97,7073100
FNS,20190404,3.62,3.64,3.62,3.64,1100
FOCUS,20190404,1.54,1.58,1.5,1.5,825500
FORTH,20190404,6.1,6.1,6.05,6.1,158800
FPI,20190404,2.32,2.32,2.32,2.32,500
FPT,20190404,17.3,17.5,17.3,17.4,16400
FSMART,20190404,7.05,7.1,7,7.1,413600
FSS,20190404,1.79,1.83,1.79,1.8,29700
FTE,20190404,2.28,2.3,2.28,2.3,398300
FTREIT,20190404,13.4,13.7,13.3,13.7,901100
FUTUREPF,20190404,23.2,23.3,23.2,23.3,189700
FVC,20190404,0.8,0.83,0.79,0.83,15242800
GAHREIT,20190404,9.35,9.35,9.35,9.35,20100
GBX,20190404,0.6,0.61,0.59,0.59,276900
GC,20190404,5.3,5.3,5.3,5.3,3300
GCAP,20190404,2.5,2.5,2.46,2.48,442300
GEL,20190404,0.28,0.28,0.26,0.27,867900
GENCO,20190404,0.78,0.78,0.77,0.78,598600
GFPT,20190404,14.6,14.8,14.5,14.7,2380800
GGC,20190404,11.3,11.5,11.2,11.3,4316400
GIFT,20190404,3.78,3.84,3.78,3.84,70700
GJS,20190404,0.13,0.13,0.13,0.13,80000
GL,20190404,6.7,6.9,6.7,6.75,724500
GLAND,20190404,2.68,2.68,2.64,2.64,9900
GLANDRT,20190404,12.6,12.9,12.6,12.9,779200
GLOBAL,20190404,17.1,17.2,17,17.2,1961900
GLOW,20190404,91,91.25,91,91,647900
GOLD,20190404,8.4,8.4,8.35,8.35,886200
GPI,20190404,2.12,2.12,2.08,2.1,2824200
GPSC,20190404,59,59,57.5,57.75,2086300
GRAND,20190404,0.94,0.94,0.93,0.94,334500
GREEN,20190404,1.13,1.13,1.13,1.13,144600
GSC,20190404,1.65,1.69,1.64,1.64,6690900
GTB,20190404,0.62,0.62,0.6,0.6,25200
GULF,20190404,97,97.25,96.5,97.25,2744900
GUNKUL,20190404,3.12,3.14,3.06,3.08,10748900
GVREIT,20190404,15.5,15.5,15.5,15.5,266700
HANA,20190404,32.75,32.75,32.25,32.75,1307600
HARN,20190404,2.36,2.38,2.34,2.38,175800
HFT,20190404,2.92,2.94,2.92,2.92,710800
HMPRO,20190404,15.3,15.3,15.2,15.3,9151200
HPF,20190404,5.25,5.25,5.2,5.2,191700
HPT,20190404,0.97,0.97,0.94,0.94,171100
HREIT,20190404,7.75,7.75,7.65,7.7,279400
HTC,20190404,14.4,14.5,14.4,14.5,16900
HTECH,20190404,5.05,5.1,5,5,293200
HUMAN,20190404,8.9,8.9,8.75,8.8,1469800
HYDRO,20190404,0.67,0.68,0.66,0.66,32600
ICC,20190404,39.5,39.5,39.25,39.25,2400
ICHI,20190404,3.56,3.58,3.5,3.52,1069000
ICN,20190404,1.93,1.94,1.92,1.92,165300
IFS,20190404,2.98,3,2.96,3,155100
IHL,20190404,7.7,7.75,7.7,7.75,150200
III,20190404,6.65,6.7,6.35,6.35,4157800
ILINK,20190404,4.78,4.88,4.78,4.86,669300
IMPACT,20190404,21.9,22.3,21.9,22.2,497500
INET,20190404,3.26,3.28,3.2,3.28,126800
INGRS,20190404,0.7,0.7,0.69,0.69,2382400
INOX,20190404,0.89,0.9,0.89,0.9,47300
INSURE,20190404,46,46,46,46,400
INTUCH,20190404,58,58.25,56.5,57.75,10136100
IRC,20190404,18.9,19,18.8,19,7300
IRCP,20190404,0.8,0.82,0.8,0.8,275600
IRPC,20190404,5.95,5.95,5.85,5.85,44363100
IT,20190404,2.64,2.64,2.62,2.62,2400
ITD,20190404,2.2,2.24,2.18,2.24,11783400
ITEL,20190404,3.34,3.34,3.28,3.34,35900
IVL,20190404,49,49.25,48,48.5,15929400
J,20190404,1.19,1.19,1.17,1.19,1400
JAS,20190404,5.5,5.5,5.4,5.45,7306800
JASIF,20190404,10.3,10.4,10.3,10.3,4759600
JCK,20190404,1.62,1.63,1.61,1.62,625700
JCKH,20190404,0.99,1,0.99,0.99,50000
JKN,20190404,8.25,8.3,8.1,8.15,1645300
JMART,20190404,8.05,8.1,7.85,7.9,2437700
JMT,20190404,14,14,13.8,13.9,1231300
JSP,20190404,0.44,0.44,0.42,0.42,1234400
