<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190122,11.1,11.15,11.04,11.15,5500
BMSCG,20190122,7.67,7.7,7.66,7.7,9400
BMSCITH,20190122,12.12,12.21,12.1,12.21,493500
BSET100,20190122,10.13,10.22,10.11,10.22,387100
CHINA,20190122,4.76,4.78,4.76,4.76,18700
ENY,20190122,7.3,7.3,7.3,7.3,10000
ESET50,20190122,5.59,5.59,5.59,5.59,600
GLD,20190122,1.73,1.74,1.72,1.74,83200
TDEX,20190122,10.6,10.64,10.58,10.62,93900
TGOLDETF,20190122,3.79,3.79,3.79,3.79,3200
2S,20190122,2.3,2.3,2.24,2.26,158600
7UP,20190122,0.38,0.39,0.37,0.37,1152100
A,20190122,6.3,6.4,6.3,6.35,16100
AAV,20190122,4,4.02,3.98,4,3236400
ABICO,20190122,4.26,4.26,4.16,4.18,7200
ABM,20190122,0.9,0.95,0.89,0.9,897000
ABPIF,20190122,6.35,6.45,6.35,6.45,99700
ACAP,20190122,2.6,2.76,2.6,2.72,2207700
ACC,20190122,0.5,0.5,0.49,0.5,383800
ADB,20190122,0.88,0.88,0.86,0.86,13900
ADVANC,20190122,170.5,171.5,169.5,171.5,4445000
AEC,20190122,0.47,0.47,0.46,0.46,1600
AEONTS,20190122,163,164,161.5,163.5,550800
AF,20190122,0.62,0.63,0.62,0.62,22200
AGE,20190122,0.98,0.98,0.96,0.96,257600
AH,20190122,19.1,19.4,18.9,19.4,444400
AHC,20190122,16.9,16.9,16.9,16.9,8600
AIMIRT,20190122,10.2,10.3,10.2,10.2,58100
AIRA,20190122,1.5,1.8,1.48,1.8,4600
AIT,20190122,20.1,20.1,20,20,62500
AJ,20190122,8.1,8.1,8.1,8.1,21200
AJA,20190122,0.3,0.3,0.28,0.29,19620500
AKP,20190122,1.85,1.86,1.84,1.84,14300
AKR,20190122,0.79,0.79,0.78,0.78,354900
ALLA,20190122,1.34,1.34,1.3,1.32,339000
ALT,20190122,3.28,3.32,3.28,3.28,202800
AMA,20190122,4.52,4.54,4.44,4.44,40200
AMANAH,20190122,1.59,1.69,1.59,1.64,13589100
AMARIN,20190122,5,5,5,5,138700
AMATA,20190122,20.9,21.9,20.9,21.9,25788000
AMATAR,20190122,11,11,11,11,13400
AMATAV,20190122,4.6,4.64,4.5,4.56,495800
AMC,20190122,1.88,1.88,1.86,1.86,74000
ANAN,20190122,3.24,3.34,3.24,3.32,6798000
AOT,20190122,68.5,68.75,68.25,68.5,17083200
AP,20190122,6.55,6.65,6.45,6.65,13283400
APCO,20190122,4.12,4.14,4.12,4.12,112800
APEX,20190122,0.19,0.2,0.19,0.2,369100
APURE,20190122,1.27,1.28,1.27,1.27,4900
AQ,20190122,0.02,0.03,0.02,0.03,18815300
AQUA,20190122,0.41,0.41,0.4,0.41,3150700
ARIP,20190122,0.45,0.45,0.43,0.44,842800
ARROW,20190122,7.8,7.9,7.75,7.85,32800
AS,20190122,0.74,0.8,0.74,0.77,8100
ASAP,20190122,3.18,3.24,3.14,3.16,1316100
ASEFA,20190122,4.78,4.84,4.76,4.8,109600
ASIA,20190122,6.8,6.8,6.8,6.8,12100
ASIAN,20190122,8.1,8.25,8.1,8.2,2678000
ASIMAR,20190122,1.94,1.95,1.94,1.95,128100
ASK,20190122,23.8,23.9,23.8,23.9,41800
ASN,20190122,3.62,3.62,3.62,3.62,8700
ASP,20190122,3.16,3.16,3.12,3.16,862600
ATP30,20190122,1.51,1.52,1.5,1.51,169000
AU,20190122,7.5,7.5,7.45,7.45,431700
AUCT,20190122,5.05,5.1,5.05,5.1,315000
AYUD,20190122,40.75,40.75,40.5,40.5,6600
B,20190122,0.43,0.43,0.41,0.42,113500
B-WORK,20190122,10.8,10.8,10.8,10.8,100
BA,20190122,11.7,11.9,11.6,11.8,2227200
BAFS,20190122,33.25,33.25,32.75,33.25,102700
BANPU,20190122,16.3,16.6,16.2,16.6,10646600
BAY,20190122,37.75,38,37.5,37.75,52600
BBL,20190122,205,209,204,208,5689400
BCH,20190122,14.6,15.9,14.5,15.9,58733500
BCP,20190122,32.75,33.25,32.5,33.25,2056300
BCPG,20190122,15.3,15.8,15.3,15.8,4730800
BCT,20190122,47,47,45.75,47,12300
BDMS,20190122,21.8,22.9,21.8,22.7,227112000
BEAUTY,20190122,6.6,6.9,6.55,6.85,56554400
BEC,20190122,5.5,5.55,5.4,5.55,4881700
BEM,20190122,9.9,10.1,9.9,9.95,55219000
BFIT,20190122,17.9,17.9,17.4,17.7,50800
BGC,20190122,11,11.5,10.8,11.5,6958800
BGRIM,20190122,28.75,29,28.25,29,8307200
BGT,20190122,1.01,1.04,1,1.03,532800
BH,20190122,178,184.5,177,184,2740300
BIG,20190122,1.21,1.21,1.2,1.2,1335300
BIZ,20190122,2.36,2.44,2.34,2.44,559100
BJC,20190122,46.25,47.5,46,47.5,8761500
BJCHI,20190122,1.89,1.9,1.89,1.9,13800
BKD,20190122,3.08,3.08,3.06,3.06,46500
BKI,20190122,328,329,328,329,1000
BKKCP,20190122,12.2,12.2,12.2,12.2,32400
BLA,20190122,26.5,26.75,26.25,26.75,400900
BLAND,20190122,1.54,1.55,1.53,1.55,10970900
BM,20190122,3,3.02,2.98,3,28100
BOFFICE,20190122,12.9,12.9,12.9,12.9,13400
BOL,20190122,2,2.02,2,2.02,45600
BPP,20190122,22.3,22.5,22.2,22.5,588700
BR,20190122,3.94,3.96,3.92,3.92,834200
BROCK,20190122,1.98,1.98,1.96,1.96,93700
BROOK,20190122,0.44,0.44,0.43,0.43,125500
BRR,20190122,6.05,6.15,6.05,6.15,60800
BSBM,20190122,0.95,0.95,0.93,0.93,49200
BSM,20190122,0.53,0.55,0.53,0.53,1465900
BTS,20190122,9.55,9.6,9.5,9.6,13160600
BTSGIF,20190122,11.8,11.8,11.7,11.7,792200
BTW,20190122,1.34,1.35,1.3,1.3,178400
BWG,20190122,1.06,1.07,1.05,1.06,4797400
CAZ,20190122,3.6,3.9,3.6,3.9,41484800
CBG,20190122,32.75,35,32.5,35,3355900
CCET,20190122,1.68,1.69,1.67,1.68,178700
CCP,20190122,0.38,0.4,0.38,0.4,8125100
CEN,20190122,0.97,0.98,0.97,0.98,600200
