<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190911,10.79,10.85,10.79,10.85,22500
BMSCG,20190911,8.34,8.35,8.32,8.35,70400
BMSCITH,20190911,12.27,12.36,12.23,12.36,377000
BSET100,20190911,10.83,10.89,10.79,10.89,173400
CHINA,20190911,5.49,5.52,5.47,5.52,9100
EBANK,20190911,5.27,5.27,5.27,5.27,1000
ECOMM,20190911,8.9,8.9,8.9,8.9,3000
ENGY,20190911,6.45,6.45,6.4,6.4,700
ENY,20190911,7.34,7.34,7.34,7.34,200
ESET50,20190911,5.9,5.9,5.86,5.86,600
GLD,20190911,1.94,1.94,1.93,1.94,233100
TDEX,20190911,11.05,11.05,10.99,11.04,128300
TGOLDETF,20190911,4.22,4.22,4.18,4.19,521200
2S,20190911,2.26,2.26,2.24,2.26,142200
7UP,20190911,0.6,0.6,0.56,0.6,53505400
A,20190911,6.25,6.25,6.25,6.25,11500
AAV,20190911,3.18,3.24,3.18,3.24,6945700
ABICO,20190911,4.2,4.22,4.2,4.2,82100
ABM,20190911,0.83,0.83,0.82,0.83,50100
ABPIF,20190911,6.15,6.15,6.1,6.15,812500
ACAP,20190911,2.12,2.14,1.99,2,15876500
ACC,20190911,0.66,0.68,0.63,0.63,209200
ACG,20190911,1.42,1.44,1.42,1.42,249300
ADB,20190911,0.59,0.6,0.59,0.6,234300
ADVANC,20190911,228,230,224,229,9752800
AEC,20190911,0.29,0.3,0.28,0.3,258000
AEONTS,20190911,219,220,216,216,190800
AF,20190911,0.65,0.65,0.65,0.65,44000
AGE,20190911,0.99,1.02,0.99,1,3524900
AH,20190911,18,18.1,17.6,17.7,420700
AHC,20190911,15.1,15.7,15.1,15.7,800
AI,20190911,1.22,1.23,1.2,1.21,6059800
AIE,20190911,0.44,0.46,0.44,0.44,5193100
AIMCG,20190911,10,10,9.95,10,443900
AIMIRT,20190911,14.7,14.7,14.5,14.7,389000
AIRA,20190911,1.2,1.3,1.2,1.3,515300
AIT,20190911,21.9,22,21.8,21.9,201100
AJ,20190911,8.1,8.3,8.1,8.25,57400
AJA,20190911,0.19,0.19,0.18,0.18,6768100
AKP,20190911,1.37,1.4,1.37,1.39,931700
AKR,20190911,0.76,0.78,0.76,0.76,528000
ALL,20190911,4.16,4.2,4.14,4.18,468300
ALLA,20190911,1.25,1.25,1.22,1.22,307200
ALT,20190911,2.48,2.54,2.48,2.54,41100
AMA,20190911,8,8.05,7.7,7.8,3413500
AMANAH,20190911,2.84,2.86,2.76,2.76,12112300
AMARIN,20190911,4.98,4.98,4.88,4.94,20400
AMATA,20190911,26.25,26.5,25,25.25,17297100
AMATAR,20190911,12.4,12.5,12.4,12.5,4400
AMATAV,20190911,4.88,4.9,4.86,4.86,501700
AMC,20190911,1.82,1.82,1.81,1.82,8700
ANAN,20190911,3.46,3.48,3.36,3.38,7196100
AOT,20190911,74.5,74.5,74,74.25,11774100
AP,20190911,7,7.1,6.95,6.95,5544300
APCO,20190911,3.3,3.34,3.3,3.3,22100
APCS,20190911,4.18,4.18,4.12,4.18,57400
APEX,20190911,0.17,0.17,0.16,0.17,2182400
APURE,20190911,0.91,0.91,0.9,0.91,223500
