<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190709,11.52,11.52,11.43,11.43,6200
BMSCG,20190709,8.66,8.72,8.66,8.72,228500
BMSCITH,20190709,12.97,12.99,12.93,12.93,274800
BSET100,20190709,11.13,11.15,11.09,11.09,93400
CHINA,20190709,5.5,5.5,5.46,5.46,17100
EBANK,20190709,5.68,5.73,5.68,5.73,40200
ECOMM,20190709,8.98,8.98,8.98,8.98,100
ENGY,20190709,6.54,6.54,6.54,6.54,100
ENY,20190709,7.57,7.57,7.57,7.57,36200
GLD,20190709,1.81,1.81,1.8,1.8,64700
TDEX,20190709,11.25,11.32,11.25,11.26,332700
TGOLDETF,20190709,3.97,3.98,3.95,3.97,66900
2S,20190709,2.26,2.28,2.24,2.26,182900
7UP,20190709,0.28,0.29,0.28,0.29,2496100
A,20190709,6.3,6.3,6.25,6.25,12000
A5,20190709,1.21,1.22,0.96,1.06,940600
AAV,20190709,3.98,4,3.94,3.94,15631800
ABICO,20190709,4.54,4.82,4.48,4.52,1027000
ABM,20190709,0.93,0.95,0.92,0.93,528500
ABPIF,20190709,6.4,6.5,6.4,6.4,461100
ACAP,20190709,3.08,3.1,2.92,2.92,3247600
ACC,20190709,0.67,0.67,0.67,0.67,458100
ACG,20190709,1.5,1.52,1.49,1.5,5911700
ADB,20190709,0.79,0.79,0.77,0.77,260000
ADVANC,20190709,211,213,211,212,4564300
AEC,20190709,0.57,0.57,0.55,0.55,317200
AEONTS,20190709,237,237,231,231,422300
AF,20190709,0.69,0.69,0.68,0.68,97500
AFC,20190709,7.75,7.95,7.6,7.75,31000
AGE,20190709,1.03,1.04,1.02,1.02,1120200
AH,20190709,19.1,19.1,18.5,18.8,938600
AHC,20190709,15.4,15.4,15.2,15.2,11200
AI,20190709,1.5,1.5,1.45,1.45,15192700
AIE,20190709,0.6,0.6,0.57,0.57,6192900
AIMIRT,20190709,13.7,13.9,13.7,13.9,298700
AIRA,20190709,1.32,1.32,1.32,1.32,500
AIT,20190709,23.5,23.5,23.2,23.2,261000
AJ,20190709,8.75,8.75,8.65,8.65,30600
AJA,20190709,0.21,0.21,0.2,0.2,8864700
AKP,20190709,1.59,1.6,1.51,1.52,1680000
AKR,20190709,0.82,0.83,0.79,0.79,1637300
ALL,20190709,4.44,4.5,4.44,4.44,3943600
ALLA,20190709,1.36,1.36,1.35,1.35,1606300
ALT,20190709,2.98,3,2.9,2.9,366300
ALUCON,20190709,173,174,173,174,600
AMA,20190709,7.1,7.15,6.8,6.9,2507000
AMANAH,20190709,2.38,2.44,2.26,2.3,15506200
AMARIN,20190709,4.92,5,4.92,4.96,1000
AMATA,20190709,23.8,23.9,23.6,23.6,9246900
AMATAR,20190709,12.6,12.6,12.6,12.6,27500
AMATAV,20190709,5,5,4.96,4.98,844900
AMC,20190709,1.8,1.8,1.75,1.75,63600
ANAN,20190709,4.06,4.08,3.96,3.96,19310200
AOT,20190709,73.5,74.25,73.5,73.5,16444800
AP,20190709,8.1,8.1,8,8,6964200
APCO,20190709,3.7,3.74,3.7,3.74,52800
APCS,20190709,4.6,4.6,4.56,4.58,71400
APEX,20190709,0.19,0.19,0.18,0.19,650200
APURE,20190709,1.36,1.4,1.36,1.38,1179000
AQ,20190709,0.02,0.03,0.02,0.02,10849100
AQUA,20190709,0.53,0.53,0.52,0.52,2998000
ARIP,20190709,0.5,0.51,0.49,0.49,535400
ARROW,20190709,8.45,8.45,8.4,8.4,51000
AS,20190709,0.73,0.74,0.72,0.72,30700
ASAP,20190709,2.7,3.18,2.7,3.08,20803700
ASEFA,20190709,4.9,4.94,4.9,4.94,19300
ASIA,20190709,7.15,7.15,7.1,7.1,14700
ASIAN,20190709,7.3,7.35,7.25,7.25,357500
ASIMAR,20190709,1.92,1.94,1.88,1.9,216900
ASK,20190709,24,24.1,24,24.1,84200
ASN,20190709,5.6,6.75,5.35,6,1333800
ASP,20190709,2.78,2.82,2.78,2.78,1619300
ATP30,20190709,1.41,1.42,1.38,1.38,1514700
AU,20190709,13.8,15.1,13.5,15.1,13195500
AUCT,20190709,7.45,7.75,7.45,7.65,5756700
AYUD,20190709,42,42,41.5,41.5,32400
B,20190709,0.53,0.54,0.5,0.5,832900
B-WORK,20190709,12.5,12.5,12.4,12.5,219400
B52,20190709,0.29,0.29,0.27,0.28,1305500
BA,20190709,11.3,11.3,11.2,11.3,400500
BAFS,20190709,35.5,35.75,35.25,35.25,90500
BANPU,20190709,14.7,14.7,14.3,14.4,62295400
BAY,20190709,38.25,38.75,38,38.5,348700
BBL,20190709,197,197.5,196,196,2183400
BCH,20190709,16.1,16.3,16,16.1,6655300
BCP,20190709,30.75,30.75,30.25,30.25,1772200
BCPG,20190709,19.5,19.6,18.9,18.9,21650100
BCT,20190709,48.25,48.25,47,47,23700
BDMS,20190709,25.25,25.5,25,25,34310200
BEAUTY,20190709,3.98,4.04,3.94,3.94,73911000
BEC,20190709,9.05,9.65,9.05,9.55,51966300
BEM,20190709,11.2,11.4,11.2,11.2,36836100
BFIT,20190709,18,18.1,17.9,17.9,142400
BGC,20190709,13.1,13.6,13.1,13.2,12097400
BGRIM,20190709,36.75,37.5,36.25,36.5,24617000
BGT,20190709,0.99,1.01,0.98,1,481900
BH,20190709,174,175,172.5,174.5,2174900
BIG,20190709,1.06,1.07,1.03,1.03,4483800
BIZ,20190709,2.56,2.58,2.56,2.56,20800
BJC,20190709,49.5,50,49.25,49.5,3485500
BJCHI,20190709,2.56,2.6,2.52,2.52,722100
BKD,20190709,2.86,2.86,2.82,2.84,92600
BKI,20190709,331,332,331,331,23400
BKKCP,20190709,13.4,13.4,13.4,13.4,77300
BLA,20190709,26,26,25.75,25.75,666700
BLAND,20190709,1.75,1.75,1.73,1.74,14579700
BLISS,20190709,0.12,0.13,0.1,0.12,112111100
BM,20190709,2.08,2.08,2.04,2.04,73400
BOFFICE,20190709,16.8,16.9,16.6,16.9,335100
BOL,20190709,2.54,2.58,2.5,2.54,102800
BPP,20190709,21.8,21.8,21.1,21.3,8241800
BR,20190709,3.28,3.48,3.26,3.34,18096200
BROCK,20190709,2.02,2.06,2.02,2.06,3900
BROOK,20190709,0.51,0.51,0.49,0.5,3737500
BRR,20190709,6.1,6.1,6,6.1,67200
BRRGIF,20190709,9.65,9.75,9.65,9.75,403800
BSBM,20190709,0.91,0.91,0.9,0.91,70500
BSM,20190709,0.44,0.46,0.44,0.44,972600
BTS,20190709,12.8,12.8,12.6,12.7,26749200
BTSGIF,20190709,11.1,11.4,11.1,11.4,6822100
BTW,20190709,1.47,1.47,1.41,1.46,60200
BUI,20190709,12.4,12.4,11.9,12,28500
BWG,20190709,0.91,0.92,0.89,0.89,11072500
CAZ,20190709,2.42,2.52,2.4,2.42,2369100
CBG,20190709,76.25,76.25,74.25,74.25,3207700
CCET,20190709,1.77,1.83,1.77,1.8,6106600
CCP,20190709,0.37,0.37,0.36,0.36,914900
CEN,20190709,0.99,1.01,0.99,1.01,102200
CENTEL,20190709,35.5,35.5,35,35.25,2242200
CFRESH,20190709,3.02,3.02,3,3,34000
CGD,20190709,1.07,1.07,1.06,1.06,661200
CGH,20190709,0.94,0.95,0.91,0.95,426800
CHAYO,20190709,5.05,5.1,4.88,4.9,7475000
CHEWA,20190709,0.81,0.81,0.79,0.8,5135500
CHG,20190709,2.3,2.34,2.24,2.32,54232500
CHO,20190709,0.92,0.92,0.91,0.91,207700
CHOW,20190709,2.24,2.28,2.22,2.22,94400
CHUO,20190709,0.23,0.23,0.19,0.2,3185700
CI,20190709,1.28,1.28,1.27,1.27,117800
CIG,20190709,0.26,0.26,0.25,0.25,292500
CIMBT,20190709,0.72,0.72,0.71,0.71,158000
CITY,20190709,2.24,2.24,2.24,2.24,63300
CK,20190709,29,29,27.25,27.5,23445400
CKP,20190709,7.15,7.25,7.1,7.1,30902900
CM,20190709,3.7,3.76,3.7,3.76,53900
CMAN,20190709,2.5,2.52,2.42,2.44,1483600
CMC,20190709,1.38,1.38,1.34,1.35,1716700
CMO,20190709,1.42,1.42,1.4,1.4,510700
CMR,20190709,2.32,2.44,2.3,2.38,815600
CNS,20190709,1.82,1.82,1.8,1.8,75800
CNT,20190709,1.96,1.96,1.94,1.94,195500
COL,20190709,22.6,24,22.6,23,1014600
COLOR,20190709,1.23,1.23,1.23,1.23,22900
COM7,20190709,22.7,24.6,22.7,24.5,55332400
COMAN,20190709,3.24,3.26,3.18,3.18,22400
COTTO,20190709,2.04,2.06,2.04,2.04,154500
CPALL,20190709,86.25,86.5,85.75,86.25,20143200
CPF,20190709,30,30.25,29.75,30,36245000
CPH,20190709,5,5,4.84,4.84,33500
CPI,20190709,1.44,1.44,1.41,1.41,125100
CPL,20190709,1.46,1.54,1.46,1.5,33500
CPN,20190709,74.25,74.75,74,74.25,4569800
CPNCG,20190709,15.8,15.8,15.6,15.8,521000
CPNREIT,20190709,32.5,33.25,32.5,33,2559300
CPR,20190709,5.05,5.15,5.05,5.05,60800
CPT,20190709,1.1,1.1,1.08,1.08,1250200
CPTGF,20190709,14.1,14.2,14,14.2,123700
CRANE,20190709,2.02,2.08,2,2.02,504100
CRD,20190709,1.01,1.01,0.99,1,41700
CRYSTAL,20190709,8.95,9,8.95,9,95200
CSC,20190709,49.5,50,49.5,50,800
CSP,20190709,1.11,1.11,1.11,1.11,200
CSS,20190709,1.92,1.98,1.9,1.9,12570300
CTARAF,20190709,5.85,5.85,5.8,5.85,95200
CTW,20190709,7.8,7.8,7.7,7.8,42000
CWT,20190709,3.02,3.04,2.98,2.98,385400
D,20190709,6.65,6.7,6.65,6.65,313000
DCC,20190709,2.04,2.1,2.04,2.1,10306800
DCON,20190709,0.41,0.42,0.4,0.41,2220200
DCORP,20190709,0.55,0.6,0.55,0.57,2310300
DDD,20190709,24.7,25.5,24.7,24.8,1070500
DELTA,20190709,60.75,61.5,59.5,60,1488000
DEMCO,20190709,3.58,3.62,3.52,3.52,2288900
DIF,20190709,17.5,17.9,17.5,17.9,18166900
DIMET,20190709,0.67,0.71,0.67,0.68,184400
DOD,20190709,13.9,14.5,12.1,12.8,41224600
DREIT,20190709,6.4,6.6,6.4,6.6,363800
DRT,20190709,6.05,6.05,5.95,5.95,507800
DTAC,20190709,52.25,52.25,50.75,50.75,7287600
DTC,20190709,9.9,9.9,9.8,9.8,332100
EA,20190709,54.75,55.5,54.25,54.25,18974800
EARTH,20190709,0.6,0.61,0.48,0.49,200301800
EASON,20190709,1.89,1.9,1.87,1.87,147000
EASTW,20190709,13.1,13.3,13.1,13.3,2978000
ECF,20190709,2.48,2.48,2.42,2.42,1647700
ECL,20190709,1.85,1.85,1.72,1.72,23860500
EE,20190709,0.54,0.56,0.54,0.54,5649200
EFORL,20190709,0.05,0.05,0.04,0.05,2878000
EGATIF,20190709,12.7,12.9,12.6,12.8,7234800
EGCO,20190709,329,332,327,330,845700
EIC,20190709,0.04,0.05,0.04,0.04,3750900
EKH,20190709,7.05,7.1,6.95,7,2824300
EMC,20190709,0.27,0.28,0.27,0.27,1549600
EPCO,20190709,3.62,3.68,3.48,3.5,7088400
EPG,20190709,6.25,6.35,6.2,6.25,4500000
ERW,20190709,6.4,6.4,6.25,6.3,5337900
ERWPF,20190709,5.55,5.6,5.5,5.5,20300
ESSO,20190709,10.6,10.7,10.2,10.2,18238400
ESTAR,20190709,0.5,0.5,0.49,0.49,1644500
ETE,20190709,1.17,1.17,1.15,1.15,147400
EVER,20190709,0.44,0.45,0.43,0.44,4112500
FANCY,20190709,0.65,0.65,0.63,0.63,1245500
FC,20190709,0.3,0.3,0.28,0.28,3814000
FLOYD,20190709,1.74,1.75,1.73,1.74,70800
FMT,20190709,24.2,24.2,24.1,24.2,24000
FN,20190709,2.2,2.2,2.06,2.08,11943600
FNS,20190709,3.28,3.28,3.24,3.26,23900
FORTH,20190709,5.95,6,5.85,5.9,501700
FPI,20190709,2.8,2.82,2.78,2.82,932700
FPT,20190709,18.7,18.7,18.5,18.6,45700
FSMART,20190709,7.95,7.95,7.7,7.7,4620200
FSS,20190709,2,2.04,1.98,2.02,272600
FTE,20190709,2.32,2.36,2.3,2.36,1187000
FTREIT,20190709,16.9,17.1,16.8,17,1709500
FUTUREPF,20190709,26.75,27,26.5,26.75,287800
FVC,20190709,0.61,0.61,0.59,0.6,865600
GAHREIT,20190709,9.15,9.4,9.15,9.25,652100
GBX,20190709,0.55,0.55,0.54,0.55,407200
GC,20190709,5.3,5.3,5.25,5.3,54600
GCAP,20190709,2.44,2.54,2.44,2.48,3591600
GEL,20190709,0.23,0.23,0.22,0.22,3101200
GENCO,20190709,0.67,0.67,0.66,0.66,8501400
GFPT,20190709,17.9,18.2,17.7,18,5238200
GGC,20190709,11.8,12.3,11.8,12.1,5782300
GIFT,20190709,3.36,3.38,3.36,3.36,43000
GJS,20190709,0.17,0.18,0.17,0.18,3099300
GL,20190709,6.7,6.75,6.55,6.6,2616100
GLAND,20190709,2.82,2.82,2.68,2.74,265000
GLANDRT,20190709,14.2,14.2,14,14,329800
GLOBAL,20190709,17.5,17.7,17.4,17.5,5772900
GLOW,20190709,89,89.25,89,89.25,223600
GOLD,20190709,8.4,8.45,8.4,8.4,1655600
GOLDPF,20190709,7.45,7.5,7.45,7.5,74800
GPI,20190709,2.06,2.08,2.06,2.06,250500
GPSC,20190709,73.75,74.25,70.25,70.5,30253800
GRAMMY,20190709,11.1,12,11.1,11.6,314500
GRAND,20190709,0.85,0.86,0.82,0.82,589600
GREEN,20190709,0.99,0.99,0.98,0.99,194300
GSC,20190709,1.02,1.02,1,1.02,1230800
GSTEEL,20190709,0.07,0.08,0.07,0.07,17530700
GTB,20190709,0.6,0.61,0.59,0.6,282200
GULF,20190709,126.5,128.5,124.5,124.5,12014800
GUNKUL,20190709,3,3.06,3,3,53198500
GVREIT,20190709,17.5,17.5,17.1,17.3,284400
HANA,20190709,27.5,27.5,27,27.25,3917400
HARN,20190709,2.34,2.34,2.3,2.3,1037200
HFT,20190709,2.8,2.82,2.78,2.8,187700
HMPRO,20190709,17.3,17.7,17.3,17.6,22179800
HPF,20190709,4.94,4.94,4.88,4.9,4268000
HPT,20190709,0.8,0.82,0.75,0.75,1347800
HREIT,20190709,8.95,9.1,8.95,9.1,2520900
HTC,20190709,22.2,22.9,22.2,22.6,828500
HTECH,20190709,3.42,3.48,3.42,3.42,340600
HUMAN,20190709,7.9,8.5,7.8,8.3,9209500
HYDRO,20190709,0.57,0.6,0.56,0.58,273900
ICC,20190709,41.25,41.25,41.25,41.25,100
ICHI,20190709,6.7,7.1,6.65,7.05,29944800
ICN,20190709,1.99,2.02,1.99,1.99,821600
IEC,20190709,0.01,0.01,0.01,0.01,163097800
IFEC,20190709,0.46,0.48,0.35,0.35,251058400
IFS,20190709,3.36,3.36,3.32,3.34,189300
IHL,20190709,4.92,5,4.9,4.94,1665000
III,20190709,6.3,6.3,6.05,6.05,2224800
ILINK,20190709,5.75,5.85,5.75,5.75,856700
IMPACT,20190709,26.75,27,26.5,27,380600
INET,20190709,3.22,3.24,3.2,3.22,219400
INGRS,20190709,0.64,0.64,0.63,0.64,434400
INOX,20190709,0.85,0.85,0.83,0.84,39600
INTUCH,20190709,62.75,63,62.25,62.75,4662200
IRC,20190709,18.2,18.2,17.9,18,6000
IRCP,20190709,0.72,0.72,0.69,0.7,303800
IRPC,20190709,4.8,4.82,4.72,4.76,170340800
IT,20190709,2.86,2.9,2.86,2.9,404500
ITD,20190709,2.3,2.32,2.28,2.28,6715500
ITEL,20190709,3.4,3.44,3.32,3.36,1404200
IVL,20190709,43.5,44,41.25,41.75,60840000
J,20190709,1.08,1.11,1.05,1.07,754900
JAS,20190709,7.6,7.75,7.45,7.5,174871300
JASIF,20190709,11.3,11.4,11.2,11.3,14827400
JCK,20190709,1.25,1.29,1.24,1.29,2421400
JCKH,20190709,0.66,0.66,0.63,0.63,199600
JCT,20190709,86.5,86.5,86.5,86.5,100
JKN,20190709,9.75,9.9,9.5,9.5,12946600
JMART,20190709,12.2,12.5,12,12.1,7738100
JMT,20190709,18.6,18.8,18.2,18.8,7253400
JSP,20190709,0.41,0.42,0.41,0.42,2317900
JTS,20190709,1.41,1.44,1.4,1.4,270300
JUBILE,20190709,16.8,16.9,16.6,16.7,274400
JUTHA,20190709,0.79,0.81,0.73,0.81,110600
JWD,20190709,9.8,9.95,9.7,9.95,12637900
K,20190709,1.43,1.46,1.43,1.44,43000
KAMART,20190709,5.75,5.9,5.55,5.65,4446300
KASET,20190709,1.89,1.89,1.84,1.84,49100
KBANK,20190709,186.5,187.5,186.5,186.5,3169900
KBS,20190709,4.02,4.06,4.02,4.02,6700
KC,20190709,0.27,0.29,0.22,0.23,15432900
KCAR,20190709,11.6,11.6,11.5,11.6,30700
KCE,20190709,18.4,18.9,18.4,18.4,5188400
KCM,20190709,0.88,0.9,0.84,0.87,3698600
KGI,20190709,4.74,4.74,4.72,4.72,1475400
KIAT,20190709,0.41,0.41,0.4,0.41,397200
KKC,20190709,1.08,1.1,1.08,1.1,15500
KKP,20190709,71.25,71.5,71,71.5,3009400
KOOL,20190709,1.21,1.21,1.19,1.2,807100
KSL,20190709,2.82,2.86,2.78,2.86,1895600
KTB,20190709,19.2,19.3,19.1,19.1,20221100
KTC,20190709,42.5,43,42.25,42.5,6437300
KTECH,20190709,0.2,0.2,0.16,0.18,80989000
KTIS,20190709,5.55,5.55,5.35,5.4,52200
KWG,20190709,2,2.04,2,2,181300
KWM,20190709,1.09,1.09,1.06,1.06,232600
KYE,20190709,386,386,385,385,1900
L&E,20190709,2.56,2.56,2.56,2.56,12300
LALIN,20190709,5.75,5.75,5.65,5.65,520700
LANNA,20190709,11.3,11.4,11.2,11.2,27700
LDC,20190709,0.98,0.99,0.97,0.98,162500
LEE,20190709,2.32,2.36,2.32,2.34,191200
LH,20190709,11.1,11.2,11,11.2,35535000
LHFG,20190709,1.51,1.52,1.5,1.5,893700
LHHOTEL,20190709,20.4,20.5,20.4,20.5,297000
LHK,20190709,3.8,3.82,3.8,3.8,255900
LHPF,20190709,9.3,9.45,9.3,9.45,491000
LHSC,20190709,18.8,18.9,18.8,18.9,91000
LIT,20190709,6.1,6.15,5.7,5.7,5367100
LOXLEY,20190709,2.38,2.4,2.32,2.32,9632200
LPH,20190709,5.65,5.7,5.5,5.55,1135100
LPN,20190709,7.85,7.85,7.7,7.75,7373800
LRH,20190709,48,48,46,46.75,7300
LST,20190709,4.6,4.64,4.6,4.64,91300
LVT,20190709,0.02,0.02,0.01,0.01,82601100
M,20190709,77,80.5,76.75,80.25,2523600
M-CHAI,20190709,212,212,212,212,100
M-II,20190709,8.5,8.5,8.5,8.5,1700
M-PAT,20190709,7.1,7.15,6.9,7,81400
M-STOR,20190709,7.1,7.3,7.1,7.3,3100
MACO,20190709,1.53,1.53,1.5,1.5,8308500
MAJOR,20190709,28.5,28.75,28,28.25,1579700
MAKRO,20190709,39.25,39.25,38.25,38.5,740600
MALEE,20190709,8.55,9,8.5,8.85,3194500
MATCH,20190709,1.99,2,1.95,1.95,237900
MAX,20190709,0.02,0.02,0.01,0.02,6961600
MBAX,20190709,4,4,3.96,4,33000
MBK,20190709,21.8,22.1,21.7,21.9,1037700
MBKET,20190709,9.15,9.15,9.1,9.15,17200
MC,20190709,7.5,7.7,7.45,7.55,1754400
MCOT,20190709,10.3,10.4,10.2,10.4,26700
MCS,20190709,8.2,8.2,8.05,8.05,1312100
MDX,20190709,4.2,4.2,4.16,4.16,92600
MEGA,20190709,34.5,35,34.5,34.5,878500
META,20190709,1.48,1.49,1.47,1.47,394400
METCO,20190709,178,178,178,178,100
MFC,20190709,17.8,17.8,17.4,17.7,62900
MFEC,20190709,3.96,3.98,3.92,3.94,502400
MGT,20190709,1.86,1.87,1.84,1.85,340700
MIDA,20190709,0.6,0.61,0.6,0.61,212400
MILL,20190709,0.93,0.93,0.91,0.92,35800
MINT,20190709,41,41.5,40.75,41,9157500
MIPF,20190709,16.8,17.1,16.8,17.1,5000
MITSIB,20190709,2.24,2.34,2.14,2.32,21750700
MJD,20190709,3.48,3.48,3.44,3.48,96400
MJLF,20190709,12.9,13,12.8,12.9,677100
MK,20190709,3.4,3.4,3.38,3.38,216400
ML,20190709,1,1.01,1,1.01,319400
MM,20190709,2.96,2.96,2.94,2.96,58300
MNRF,20190709,3.42,3.56,3.42,3.44,323700
MODERN,20190709,3.28,3.3,3.26,3.28,125000
MONO,20190709,1.85,1.85,1.81,1.81,5017800
MONTRI,20190709,6.25,6.25,6.25,6.25,10000
MOONG,20190709,5.7,5.7,5.55,5.55,648900
MORE,20190709,0.15,0.15,0.15,0.15,1051300
MPG,20190709,0.47,0.48,0.45,0.45,148400
MPIC,20190709,1.66,1.68,1.62,1.62,29900
MSC,20190709,7.55,7.65,7.5,7.55,229500
MTC,20190709,56,56.75,55.5,55.5,3547900
MTI,20190709,94,94,94,94,500
MVP,20190709,1.92,1.95,1.9,1.91,222100
NBC,20190709,0.51,0.51,0.43,0.45,177400
NCH,20190709,1,1.01,1,1,21800
NCL,20190709,1.26,1.26,1.21,1.25,88800
NDR,20190709,1.8,1.81,1.78,1.81,104500
NEP,20190709,0.3,0.3,0.26,0.26,141500
NER,20190709,2.58,2.62,2.56,2.58,14211600
NETBAY,20190709,33.75,34.5,32.5,33,3662100
NEWS,20190709,0.01,0.02,0.01,0.01,33765000
NEX,20190709,3.3,3.34,3.2,3.3,1915400
NFC,20190709,3.7,4,3.7,3.8,15200
