<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
1DIV,20190906,10.79,10.82,10.77,10.79,35600
BMSCG,20190906,8.4,8.4,8.34,8.34,415400
BMSCITH,20190906,12.27,12.29,12.21,12.22,264800
BSET100,20190906,10.87,10.88,10.82,10.83,159900
CHINA,20190906,5.59,5.59,5.46,5.47,25300
ENGY,20190906,6.38,6.38,6.35,6.35,600
ENY,20190906,7.1,7.3,7.1,7.28,9500
ESET50,20190906,5.87,5.87,5.87,5.87,200
GLD,20190906,1.97,1.98,1.96,1.96,884400
TDEX,20190906,11,11.06,10.98,11,784500
TGOLDETF,20190906,4.28,4.3,4.28,4.29,120500
2S,20190906,2.24,2.28,2.24,2.24,146400
7UP,20190906,0.63,0.64,0.61,0.62,29858600
A,20190906,6.25,6.25,6.25,6.25,12000
AAV,20190906,3.22,3.24,3.18,3.2,2924300
ABICO,20190906,4.2,4.26,4.2,4.24,153300
ABM,20190906,0.85,0.85,0.83,0.83,224600
ABPIF,20190906,6.3,6.35,6.25,6.35,351600
ACAP,20190906,2.16,2.2,2.02,2.06,10216000
ACC,20190906,0.66,0.67,0.66,0.66,213300
ACG,20190906,1.48,1.49,1.47,1.47,402000
ADB,20190906,0.6,0.61,0.59,0.61,553600
ADVANC,20190906,238,238,235,235,4318400
AEC,20190906,0.3,0.31,0.29,0.3,404800
AEONTS,20190906,221,221,218,220,151200
AF,20190906,0.65,0.65,0.65,0.65,10000
AGE,20190906,0.97,0.98,0.96,0.96,2819500
AH,20190906,18.1,18.2,17.8,17.9,164600
AHC,20190906,15.6,15.7,15.6,15.7,30400
AI,20190906,1.21,1.22,1.2,1.21,1723400
AIE,20190906,0.46,0.46,0.44,0.45,8557000
AIMCG,20190906,10,10.1,10,10.1,163100
AIMIRT,20190906,14.2,14.3,14.1,14.3,592300
AIRA,20190906,1.3,1.31,1.29,1.31,78600
AIT,20190906,22.3,22.3,22.2,22.2,294400
AJ,20190906,8.65,8.65,8.65,8.65,5000
AJA,20190906,0.19,0.2,0.19,0.19,3226700
AKP,20190906,1.39,1.4,1.38,1.4,1025200
AKR,20190906,0.77,0.77,0.76,0.77,130400
ALL,20190906,4.16,4.16,4.12,4.14,504500
ALLA,20190906,1.24,1.24,1.19,1.21,1677600
ALT,20190906,2.52,2.68,2.52,2.66,223400
ALUCON,20190906,167,168,166,166,400
AMA,20190906,7.8,7.95,7.8,7.8,2426500
AMANAH,20190906,2.68,2.86,2.66,2.8,46958400
AMARIN,20190906,4.88,4.9,4.82,4.9,34700
AMATA,20190906,27,27.75,26.75,26.75,9979100
AMATAR,20190906,12.3,12.3,12.2,12.2,51300
AMATAV,20190906,4.92,4.92,4.84,4.86,441100
AMC,20190906,1.82,1.83,1.82,1.82,70600
ANAN,20190906,3.4,3.44,3.36,3.44,7427300
AOT,20190906,74.5,74.75,73.75,74.25,17310000
AP,20190906,7,7.25,7,7.1,6220800
APCO,20190906,3.34,3.36,3.26,3.34,34300
APCS,20190906,4.18,4.18,4.18,4.18,27700
APEX,20190906,0.17,0.18,0.16,0.18,1934800
APURE,20190906,0.92,0.92,0.92,0.92,82600
AQ,20190906,0.02,0.03,0.02,0.03,26932100
AQUA,20190906,0.52,0.53,0.51,0.52,82414500
ARIN,20190906,0.73,0.74,0.72,0.73,2055200
ARIP,20190906,0.44,0.45,0.43,0.44,326500
ARROW,20190906,9.3,9.3,9.05,9.15,103500
AS,20190906,0.87,0.87,0.85,0.85,48100
ASAP,20190906,2.72,2.76,2.7,2.72,844600
ASEFA,20190906,4.7,4.7,4.66,4.66,123700
ASIA,20190906,6.7,6.7,6.65,6.65,27500
ASIAN,20190906,6.25,6.25,6.1,6.15,298500
ASIMAR,20190906,1.54,1.56,1.54,1.55,52300
ASK,20190906,27,27,26.25,26.5,117400
ASN,20190906,6.1,6.1,5.65,6,55400
ASP,20190906,2.34,2.36,2.34,2.36,893100
ATP30,20190906,1.45,1.46,1.44,1.44,331600
AU,20190906,14.6,14.6,14.3,14.4,709100
AUCT,20190906,9.05,9.15,8.75,8.85,7215300
AYUD,20190906,40.75,41.25,40.5,41,38900
B,20190906,0.32,0.34,0.31,0.32,2755100
B-WORK,20190906,12.3,12.6,12.3,12.5,669100
B52,20190906,0.24,0.24,0.22,0.23,202000
BA,20190906,9.8,9.8,9.6,9.75,562600
BAFS,20190906,33.75,34,33.5,33.75,337800
BANPU,20190906,12.7,12.8,12.6,12.7,21607600
BAY,20190906,34.75,35,34.25,34.25,571000
BBL,20190906,168,169,167,168,2616100
BCH,20190906,16.4,16.5,16.1,16.2,9835000
BCP,20190906,27.25,27.5,26.75,26.75,2243300
BCPG,20190906,19.1,19.3,19,19,5373000
BCT,20190906,42.25,42.25,41.5,42,3900
